date,open,high,low,close,volume
2018-01-02,49.454,50.7111,48.4663,49.883,206631
2018-01-03,49.9528,50.1025,49.2545,49.4041,107423
2018-01-04,49.5837,50.0925,48.9352,49.3941,189417
2018-01-05,50.9006,55.3901,50.2422,54.9312,419461
2018-01-08,54.991,55.3801,52.6764,52.7862,125604
2018-01-09,53.9135,62.5533,53.0655,61.376,568487
2018-01-10,61.5157,61.8449,59.4905,61.5057,240412
2018-01-11,61.7552,62.8326,61.396,62.1343,142280
2018-01-12,62.1442,62.7628,61.5158,62.2939,235965
2018-01-16,62.1243,63.0322,61.7951,62.0644,128818
2018-01-17,62.6331,62.9523,60.3587,60.8473,227784
2018-01-18,60.7575,61.0767,59.9594,60.6677,270505
2018-01-19,60.5979,61.2463,60.5181,61.0169,144591
2018-01-22,61.416,62.7927,61.2364,62.5732,177485
2018-01-23,62.4036,64.2992,62.0722,64.1695,252707
2018-01-24,64.1695,65.3567,62.2795,64.9177,202189
2018-01-25,65.5163,66.5938,63.7405,64.2892,291505
2018-01-26,65.5762,77.9671,65.5762,75.5328,981221
2018-01-29,75.5727,78.3462,74.8544,75.8222,474121
2018-01-30,74.0164,75.5129,73.6273,74.0463,479805
2018-01-31,74.8245,75.2335,71.0733,71.4823,439358
2018-02-01,71.2329,73.0287,70.1155,72.5099,235578
2018-02-02,71.9911,72.0054,70.0158,70.4448,215339
2018-02-05,68.8286,69.3274,65.9254,66.7534,531818
2018-02-06,65.2769,67.2822,63.9501,65.4664,360028
2018-02-07,65.3467,66.3993,64.4987,64.8379,205964
2018-02-08,65.0275,65.0674,62.683,62.693,202936
2018-02-09,63.3315,65.2968,61.815,64.4389,314354
2018-02-12,65.2669,67.811,64.4189,65.3866,264107
2018-02-13,64.8679,65.9553,64.3491,65.3567,179976
2018-02-14,64.7082,67.7411,64.7082,67.6314,192258
2018-02-15,68.0803,69.1279,67.1525,68.8485,142745
2018-02-16,68.5991,69.8162,68.5991,68.8984,125234
2018-02-20,68.4594,68.9233,67.1127,67.2722,112178
2018-02-21,67.5117,69.2077,67.2224,68.3198,144884
2018-02-22,68.5492,68.5492,66.1947,66.7933,108024
2018-02-23,66.7534,68.5791,66.4142,68.4894,145607
2018-02-26,68.5093,69.6067,67.5117,69.1578,173533
2018-02-27,69.1478,69.2875,67.771,68.22,181708
2018-02-28,68.54,68.91,66.56,66.67,126925
2018-03-01,66.64,67.8,65.23,66.14,155562
2018-03-02,65.61,68.9,65.61,68.64,169897
2018-03-05,68.17,69.9699,67.57,69.51,98193
2018-03-06,69.77,71.5899,68.31,71.18,246545
2018-03-07,70.59,71.46,68.01,71.44,86895
2018-03-08,71.54,72.44,70.68,71.12,85307
2018-03-09,71.55,72.04,70.04,71.69,117283
2018-03-12,71.7,74.375,71.7,74.12,131048
2018-03-13,74.47,74.6,72.16,72.68,85580
2018-03-14,73.21,74.14,72.835,73.74,102539
2018-03-15,73.73,75.54,73.3,74.34,193698
2018-03-16,74.34,75.3399,74.12,74.97,455834
2018-03-19,74.81,74.81,72.27,73.06,168299
2018-03-20,73.31,74.31,72.3301,72.8,128502
2018-03-21,73.01,74.27,72.52,73.81,99313
2018-03-22,73.11,74.58,72.19,72.49,123019
2018-03-23,72.89,73.5,72.22,72.45,137359
2018-03-26,73.27,74.35,72.31,74.26,124976
2018-03-27,74.45,74.45,69.47,69.75,253846
2018-03-28,69.85,71.0,67.96,68.61,176622
2018-03-29,69.04,71.44,68.34,70.62,162807
2018-04-02,70.51,71.485,67.8,68.52,124917
2018-04-03,68.89,70.76,67.89,68.8,112331
2018-04-04,67.77,70.57,67.77,70.17,90290
2018-04-05,70.68,71.16,69.82,70.91,104839
2018-04-06,70.39,71.15,68.21,68.85,123432
2018-04-09,69.48,70.58,68.96,69.43,99347
2018-04-10,70.35,71.75,69.58,71.08,93461
2018-04-11,70.71,72.25,70.29,71.75,91338
2018-04-12,72.28,72.7199,71.35,72.13,45839
2018-04-13,72.49,72.49,71.03,72.21,63163
2018-04-16,72.85,73.87,72.31,73.78,110847
2018-04-17,74.21,74.85,72.71,73.86,144968
2018-04-18,74.0,74.15,73.275,73.44,120646
2018-04-19,73.42,73.99,72.35,73.3,77322
2018-04-20,72.72,73.61,72.45,72.72,71177
2018-04-23,72.8,73.4125,72.16,72.51,119246
2018-04-24,72.66,73.56,71.215,72.44,147122
2018-04-25,72.22,72.22,69.665,70.86,151819
2018-04-26,71.05,73.395,70.37,73.0,161737
2018-04-27,71.73,73.43,64.96,66.36,494081
2018-04-30,66.51,67.54,65.315,66.57,234275
2018-05-01,66.62,67.66,66.3,67.49,119323
2018-05-02,67.32,68.79,67.0,67.32,142208
2018-05-03,67.01,67.2198,65.92,66.99,110174
2018-05-04,66.78,69.91,66.78,68.99,115428
2018-05-07,69.69,69.69,68.38,68.77,139463
2018-05-08,68.71,68.71,65.51,68.27,148661
2018-05-09,68.38,68.97,67.72,68.4,137285
2018-05-10,68.49,70.08,68.49,69.86,207982
2018-05-11,69.87,72.9523,69.87,70.85,118943
2018-05-14,70.95,72.44,70.95,72.17,219790
2018-05-15,71.96,72.06,71.045,71.75,147398
2018-05-16,82.25,83.78,82.19,83.34,4300302
2018-05-17,83.26,83.77,83.0,83.72,1106452
