date,open,high,low,close,volume
2018-01-02,43.3012,43.3012,42.9339,43.2317,201203
2018-01-03,42.9339,42.9538,42.9339,42.9538,64278
2018-01-04,43.0133,43.0629,42.9637,43.0629,2214
2018-01-05,42.9736,42.9736,42.9736,42.9736,223
2018-01-08,43.0828,43.0828,43.0251,43.0251,1425
2018-01-09,43.1027,43.2218,43.0928,43.2218,8256
2018-01-10,43.3806,43.3806,43.2913,43.2913,1015
2018-01-11,43.2785,43.5493,43.2785,43.2863,1312
2018-01-12,43.29,43.4104,43.29,43.4104,1007
2018-01-16,43.4402,43.4402,43.3062,43.3401,1208
2018-01-17,43.4501,43.4501,43.3806,43.3806,4112
2018-01-18,43.4898,43.4998,43.4551,43.465,3102
2018-01-19,43.5494,43.599,43.4352,43.599,15068
2018-01-22,43.5544,43.6387,43.4204,43.4204,8132
2018-01-23,,,,43.4999,41
2018-01-24,43.4762,43.5795,43.4762,43.4847,1873
2018-01-25,43.5894,43.5894,43.4601,43.4601,766
2018-01-26,43.6491,43.6491,43.6491,43.6491,461
2018-01-29,43.6988,43.6988,43.6103,43.6938,650
2018-01-30,43.7187,43.7784,43.5805,43.5805,3114
2018-01-31,43.5577,43.6277,43.5577,43.6277,822
2018-02-01,43.6988,43.7585,43.6722,43.7485,195427
2018-02-02,44.0568,44.1563,43.842,44.1563,14643
2018-02-05,44.1563,44.2856,43.5596,44.2856,79954
2018-02-06,43.8874,44.1265,43.7585,44.1196,6889
2018-02-07,44.0668,44.0668,43.7983,43.9078,3459
2018-02-08,44.1232,44.1927,43.8271,43.8271,2071
2018-02-09,44.1463,44.3055,44.0668,44.2955,7952
2018-02-12,44.753,44.753,43.7485,43.7485,14644
2018-02-13,44.2359,44.2359,43.9621,44.0369,5813
2018-02-14,44.1762,44.344,43.9484,44.2953,8621
2018-02-15,44.8723,44.8723,44.1961,44.206,2200
2018-02-16,44.0071,44.206,44.0071,44.1364,2736
2018-02-20,44.3331,44.3331,44.1787,44.2734,2345
2018-02-21,44.2534,44.3431,44.2385,44.3431,1265
2018-02-22,44.4925,44.4925,44.1935,44.2534,4415
2018-02-23,44.066,44.066,43.7852,44.0041,3998
2018-02-26,44.094,44.1238,43.7952,43.9147,6834
2018-02-27,44.1139,44.1139,43.8448,44.094,1423
2018-02-28,43.9645,43.9645,43.9645,43.9645,170
2018-03-01,44.017,44.017,43.8749,43.8749,128156
2018-03-02,43.8911,44.0442,43.8347,44.0442,47015
2018-03-05,43.9645,43.9745,43.9038,43.9038,8493
2018-03-06,43.7852,43.8152,43.7852,43.8152,330
2018-03-08,43.8235,43.968,43.8235,43.9645,1748
2018-03-09,44.104,44.104,43.9764,44.094,4959
2018-03-12,43.845,44.1012,43.8251,43.9247,11270
2018-03-13,43.9695,43.9695,43.9695,43.9695,183
2018-03-14,43.8948,43.9247,43.7852,43.7852,3087
2018-03-15,43.7852,43.845,43.4315,43.835,6635
2018-03-16,43.845,43.9346,43.845,43.9048,5144
2018-03-19,43.8128,43.8128,43.6557,43.6557,1536
2018-03-21,43.9736,44.1248,43.9736,44.0849,1517
2018-03-22,43.9252,43.9252,43.544,43.544,3692
2018-03-23,43.7555,43.7555,43.7555,43.7555,588
2018-03-26,43.6707,43.8453,43.6707,43.7169,3076
2018-03-27,43.7038,43.7056,43.5286,43.6457,3216
2018-03-28,43.6256,43.6657,43.5659,43.6657,492
2018-03-29,43.5359,43.5359,43.4361,43.5342,2389
2018-04-02,43.6457,43.6457,43.3263,43.3263,150586
2018-04-03,43.5108,43.511,43.3862,43.3862,53777
2018-04-04,43.4963,43.7006,43.4963,43.5556,5825
2018-04-05,43.6655,43.8054,43.6655,43.8054,1357
2018-04-06,43.7156,43.7605,43.6117,43.6117,1505
2018-04-09,43.5559,43.6988,43.5161,43.6988,1690
2018-04-10,43.7755,43.7855,43.7755,43.7855,844
2018-04-11,43.6055,43.8354,43.6055,43.8354,1418
2018-04-12,43.6956,43.6956,43.5809,43.5809,565
2018-04-13,43.5606,43.6557,43.5606,43.6557,446
2018-04-16,43.7855,43.8445,43.695,43.8054,4536
2018-04-17,43.8054,43.8054,43.6906,43.7246,1979
2018-04-18,43.7954,43.8753,43.7556,43.8753,1631
2018-04-19,44.005,44.005,43.8453,43.9633,983
2018-04-20,44.015,44.0599,43.9899,44.0549,2731
2018-04-23,44.045,44.1148,44.025,44.025,3152
2018-04-24,,,,44.025,90
2018-04-25,44.22,44.26,44.1376,44.24,7672
2018-04-26,44.09,44.16,44.055,44.1057,1018
2018-04-27,43.9,44.04,43.9,43.97,7160
2018-04-30,43.98,44.04,43.98,43.99,2897
2018-05-01,43.98,43.99,43.94,43.94,143297
2018-05-02,43.8361,44.0,43.8361,44.0,52473
2018-05-03,44.05,44.05,43.8224,43.8224,1119
2018-05-04,43.7601,43.7601,43.7601,43.7601,1235
2018-05-07,43.9,43.92,43.9,43.92,1167
2018-05-08,43.85,43.9549,43.85,43.94,3710
2018-05-09,43.9342,44.0084,43.92,43.94,17460
2018-05-10,43.98,43.98,43.98,43.98,114
2018-05-11,43.9,44.0,43.9,43.9759,2911
2018-05-14,43.95,44.015,43.91,43.95,4602
2018-05-15,44.17,44.17,44.16,44.16,903
2018-05-16,44.17,44.2899,44.14,44.17,9206
2018-05-17,44.255,44.3196,44.255,44.3196,1283
