date,open,high,low,close,volume
2018-01-29,0.87,0.8799,0.83,0.84,381651
2018-01-30,0.84,0.8799,0.84,0.86,209341
2018-01-31,0.9421,1.47,0.94,1.36,21923858
2018-02-01,1.22,1.37,1.14,1.21,3728544
2018-02-02,1.35,1.5,1.17,1.18,2333035
2018-02-05,1.17,1.34,1.0,1.08,1914170
2018-02-06,1.01,1.1323,0.99,1.07,700945
2018-02-07,1.08,1.14,1.05,1.1055,504943
2018-02-08,1.13,1.17,1.1,1.16,432675
2018-02-09,1.15,1.15,1.01,1.11,768102
2018-02-12,1.1,1.27,1.0901,1.13,877548
2018-02-13,1.15,1.1601,1.06,1.09,437547
2018-02-14,1.11,1.15,1.07,1.11,293327
2018-02-15,1.1,1.159,1.07,1.1001,423988
2018-02-16,1.1,1.13,1.07,1.1,287814
2018-02-20,1.1,1.12,1.07,1.07,219008
2018-02-21,1.07,1.1895,1.03,1.11,917894
2018-02-22,1.1,1.149,1.08,1.09,163361
2018-02-23,1.09,1.1,1.06,1.079,126157
2018-02-26,1.09,1.16,1.05,1.15,504794
2018-02-27,1.17,1.25,1.13,1.1395,779265
2018-02-28,1.14,1.15,1.12,1.13,175505
2018-03-01,1.14,1.19,1.081,1.1,266339
2018-03-02,1.09,1.1199,1.05,1.1,107954
2018-03-05,1.09,1.18,1.09,1.17,192762
2018-03-06,1.18,1.29,1.1568,1.24,1020583
2018-03-07,1.23,1.29,1.23,1.27,219613
2018-03-08,1.28,1.3,1.25,1.27,183784
2018-03-09,1.27,1.37,1.22,1.3476,648985
2018-03-12,1.37,1.4665,1.26,1.39,580641
2018-03-13,1.37,1.47,1.34,1.36,538315
2018-03-14,1.39,1.398,1.27,1.27,282244
2018-03-15,1.27,1.3065,1.1901,1.22,211575
2018-03-16,1.25,1.26,1.17,1.26,279957
2018-03-19,1.24,1.2754,1.1,1.16,297379
2018-03-20,1.15,1.16,1.06,1.07,468255
2018-03-21,1.09,1.1759,1.09,1.13,180975
2018-03-22,1.11,1.1616,1.1,1.12,180459
2018-03-23,1.14,1.14,1.08,1.1,224324
2018-03-26,1.1,1.11,1.05,1.09,147198
2018-03-27,1.09,1.19,1.09,1.12,418102
2018-03-28,1.11,1.16,1.1,1.15,152157
2018-03-29,1.18,1.34,1.09,1.1,1354283
2018-04-02,1.11,1.159,1.05,1.12,222891
2018-04-03,1.07,1.07,0.81,0.81,1046791
2018-04-04,0.82,1.25,0.81,1.01,4234462
2018-04-05,1.02,1.03,0.92,0.965,531717
2018-04-06,0.95,0.95,0.9,0.9186,181956
2018-04-09,0.9186,0.95,0.87,0.8901,259795
2018-04-10,0.91,0.9499,0.87,0.87,548688
2018-04-11,0.86,0.918,0.86,0.9011,147002
2018-04-12,0.861,0.9278,0.86,0.9278,162322
2018-04-13,0.8801,0.92,0.8801,0.913,82557
2018-04-16,0.9,0.9529,0.8801,0.9055,234750
2018-04-17,0.92,0.93,0.882,0.892,67393
2018-04-18,0.882,0.90175,0.882,0.8955,34701
2018-04-19,0.91,0.91,0.85,0.885,93007
2018-04-20,0.8983,0.8983,0.85,0.889,57117
2018-04-23,0.85,0.93,0.8111,0.835,264135
2018-04-24,0.835,0.91,0.835,0.9,171822
2018-04-25,0.87,0.98,0.87,0.9583,355478
2018-04-26,0.958,1.04,0.9301,1.01,248179
2018-04-27,1.0,1.15,0.9821,1.01,237083
2018-04-30,1.0,1.04,0.95,0.987,101157
2018-05-01,0.9747,0.990741,0.936256,0.95,156664
2018-05-02,0.93,0.988,0.93,0.983,49089
2018-05-03,0.9326,0.98,0.93,0.9785,41962
2018-05-04,0.99,1.01,0.9549,0.99,83242
2018-05-07,0.985,1.04,0.985,0.9976,86523
2018-05-08,0.985,0.9993,0.9451,0.9838,80101
2018-05-09,0.98,0.9996,0.93575,0.95,67016
2018-05-10,1.05,1.16,0.962,0.982,827076
2018-05-11,0.985,1.002,0.95,0.965,109029
2018-05-14,0.98,0.99,0.96,0.97,64933
2018-05-15,1.0,1.0299,0.9557,0.988,107793
2018-05-16,0.96,0.988,0.950213,0.97,154322
2018-05-17,0.99,0.990264,0.955,0.9802,69081
