date,open,high,low,close,volume
2018-01-02,6.65,7.05,6.55,7.0,341626
2018-01-03,7.4,7.4,6.95,7.15,425264
2018-01-04,7.15,7.2,6.6,7.05,269458
2018-01-05,7.1,7.15,7.0,7.1,297599
2018-01-08,7.05,7.1,6.7,6.85,224942
2018-01-09,6.85,7.1,6.8,7.05,178810
2018-01-10,7.05,7.25,6.95,7.15,293312
2018-01-11,7.1,7.6,7.05,7.4,301979
2018-01-12,7.5,7.575,7.25,7.35,187763
2018-01-16,7.3,7.55,7.0,7.1,303773
2018-01-17,7.25,7.25,6.9,7.15,145856
2018-01-18,7.15,7.225,6.95,7.1,236823
2018-01-19,7.1,7.4,7.05,7.3,275564
2018-01-22,7.3,7.85,7.3,7.6,356263
2018-01-23,7.65,8.1,7.6,7.9,295319
2018-01-24,8.0,8.05,7.425,7.7,264077
2018-01-25,7.8,7.9,7.45,7.85,210161
2018-01-26,7.85,8.05,7.405,7.65,246959
2018-01-29,7.55,7.85,7.55,7.7,233177
2018-01-30,7.6,7.7,7.35,7.45,163929
2018-01-31,7.45,7.45,7.0,7.25,264358
2018-02-01,7.2,7.4,6.9,7.0,277408
2018-02-02,7.0,7.0,6.3,6.4,434508
2018-02-05,6.25,6.75,6.05,6.25,511136
2018-02-06,6.25,6.4,6.0,6.2,358694
2018-02-07,6.2,6.725,6.15,6.6,253272
2018-02-08,6.5,6.5,6.05,6.15,341890
2018-02-09,6.2,6.2,5.5,5.675,481011
2018-02-12,5.8,6.05,5.605,5.7,434726
2018-02-13,5.65,5.85,5.525,5.8,420238
2018-02-14,5.75,6.0,5.6,5.75,376040
2018-02-15,5.85,6.1,5.6,6.0,365510
2018-02-16,6.0,6.15,5.7,5.8,346392
2018-02-20,5.7,6.0,5.7,5.85,310357
2018-02-21,5.9,5.95,5.6,5.6,356625
2018-02-22,5.6,5.75,5.35,5.5,360840
2018-02-23,5.5,5.9,5.5,5.75,262057
2018-02-26,5.85,5.9,5.5,5.8,200740
2018-02-27,5.75,5.9,5.4,5.5,352587
2018-02-28,5.5,5.8,5.35,5.375,343988
2018-03-01,5.35,5.5,5.15,5.35,279144
2018-03-02,5.2,5.5,5.105,5.5,361850
2018-03-05,5.05,5.45,5.015,5.35,325507
2018-03-06,5.4,5.5,5.1,5.35,166825
2018-03-07,5.25,5.6,5.25,5.4,192624
2018-03-08,5.4,5.65,5.15,5.55,234810
2018-03-09,5.55,5.55,5.4,5.45,134842
2018-03-12,5.45,5.75,5.35,5.6,173134
2018-03-13,5.65,5.7,5.5,5.6,135235
2018-03-14,5.6,5.7,5.4,5.55,144073
2018-03-15,5.75,5.85,5.2,5.3,384046
2018-03-16,5.35,5.55,5.25,5.45,562836
2018-03-19,5.55,5.55,5.25,5.35,338834
2018-03-20,5.4,5.65,5.3,5.55,391676
2018-03-21,5.5,5.65,5.4,5.5,160290
2018-03-22,5.45,5.65,5.45,5.6,293431
2018-03-23,5.65,5.7,5.45,5.5,270070
2018-03-26,5.6,5.6,5.4,5.5,189450
2018-03-27,5.55,5.718,5.25,5.25,235493
2018-03-28,5.25,5.45,5.2,5.25,190114
2018-03-29,5.2,5.35,5.05,5.05,508522
2018-04-02,5.05,5.1,4.75,4.95,324490
2018-04-03,4.95,5.1,4.875,5.0,268520
2018-04-04,4.95,5.15,4.9,5.1,266160
2018-04-05,5.2,5.3,5.05,5.15,360522
2018-04-06,5.1,5.3,4.8,4.95,212765
2018-04-09,4.95,5.2,4.925,5.0,206667
2018-04-10,5.1,5.25,5.0,5.15,459337
2018-04-11,5.15,5.275,5.05,5.2,448694
2018-04-12,5.25,5.45,5.15,5.25,422865
2018-04-13,5.25,5.35,5.1,5.25,390746
2018-04-16,5.25,5.25,4.95,5.1,356918
2018-04-17,5.15,5.85,5.05,5.65,778064
2018-04-18,5.65,5.65,5.05,5.075,424095
2018-04-19,5.1,5.15,4.85,4.9,434798
2018-04-20,4.85,5.1,4.8,4.85,420881
2018-04-23,4.85,4.875,4.65,4.65,328018
2018-04-24,4.7,4.825,4.45,4.7,413399
2018-04-25,4.75,4.9,4.65,4.85,132527
2018-04-26,4.85,5.0,4.75,4.95,363949
2018-04-27,4.95,4.95,4.8,4.9,139073
2018-04-30,4.9,4.95,4.75,4.8,142633
2018-05-01,4.8,5.05,4.75,5.0,201518
2018-05-02,4.95,5.15,4.95,5.05,260165
2018-05-03,5.05,5.1,4.95,5.05,171919
2018-05-04,5.0,5.15,5.0,5.05,229949
2018-05-07,5.05,5.1,5.0,5.05,131289
2018-05-08,5.05,5.1,5.0,5.05,106488
2018-05-09,5.0,5.1,4.9,5.05,224989
2018-05-10,5.1,5.35,5.05,5.2,354595
2018-05-11,5.15,5.35,5.1,5.175,318597
2018-05-14,5.2,5.5,5.195,5.45,401057
2018-05-15,5.45,5.7,5.4,5.65,351579
2018-05-16,5.6,5.85,5.6,5.7,181061
2018-05-17,5.7,5.8,5.65,5.75,103895
