symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
ARTW,2017-06-27,3.1000,3.3000,False,2.9500,3.0415,reg,10335
ARTW,2017-06-28,3.0500,3.1470,False,3.0500,3.0500,reg,11638
ARTW,2017-06-29,3.0000,3.1000,False,2.9000,2.9000,reg,11911
ARTW,2017-06-30,2.9500,3.0000,False,2.9500,2.9510,reg,6472
ARTW,2017-07-05,3.0680,3.1000,False,3.0000,3.1000,reg,13689
ARTW,2017-07-06,3.0500,3.1000,False,3.0000,3.0055,reg,5828
ARTW,2017-07-07,3.0500,3.0750,False,3.0500,3.0500,reg,948
ARTW,2017-07-10,3.0000,3.0194,False,3.0000,3.0194,reg,5353
ARTW,2017-07-11,3.0682,3.0682,False,3.0000,3.0055,reg,1932
ARTW,2017-07-12,3.0341,3.0374,False,3.0000,3.0000,reg,5734
ARTW,2017-07-13,2.6000,3.0000,False,2.6000,3.0000,reg,42663
ARTW,2017-07-14,2.7090,2.8500,False,2.6000,2.8500,reg,7416
ARTW,2017-07-17,2.6500,2.6540,False,2.6500,2.6540,reg,10485
ARTW,2017-07-18,2.6000,2.6887,False,2.6000,2.6500,reg,14739
ARTW,2017-07-19,2.6000,2.8000,False,2.6000,2.6960,reg,11963
ARTW,2017-07-20,2.6500,2.7000,False,2.6000,2.7000,reg,14295
ARTW,2017-07-21,2.7499,2.7505,False,2.6990,2.6990,reg,32967
ARTW,2017-07-24,2.7500,2.7500,False,2.7500,2.7500,reg,727
ARTW,2017-07-25,2.6000,2.7500,False,2.6000,2.7000,reg,6160
ARTW,2017-07-26,2.6510,2.7500,False,2.6000,2.6999,reg,13005
ARTW,2017-07-27,2.7103,2.7500,False,2.6500,2.6500,reg,8870
ARTW,2017-07-28,2.7500,2.8700,False,2.6500,2.7080,reg,24292
ARTW,2017-07-31,2.8000,2.8000,False,2.8000,2.8000,reg,200
ARTW,2017-08-01,2.7500,2.8000,False,2.6500,2.7500,reg,34131
ARTW,2017-08-02,2.6000,2.8500,False,2.6000,2.7000,reg,29539
ARTW,2017-08-03,2.7010,2.7959,False,2.7010,2.7070,reg,425
ARTW,2017-08-04,2.7000,2.7000,False,2.6500,2.6500,reg,679
ARTW,2017-08-07,2.7000,2.7000,False,2.7000,2.7000,reg,69
ARTW,2017-08-08,2.7550,2.7550,False,2.7550,2.7550,reg,619
ARTW,2017-08-09,2.7550,2.7550,False,2.7550,2.7550,reg,80
ARTW,2017-08-10,2.7000,2.7000,False,2.6000,2.7000,reg,13360
ARTW,2017-08-11,2.6000,2.7000,False,2.6000,2.6100,reg,12003
ARTW,2017-08-14,2.6000,2.6461,False,2.6000,2.6000,reg,14537
ARTW,2017-08-15,2.3000,2.6000,False,2.3000,2.6000,reg,33578
ARTW,2017-08-16,2.1500,2.5458,False,2.1000,2.3000,reg,14366
ARTW,2017-08-17,2.2000,2.3020,False,2.1500,2.1618,reg,1673
ARTW,2017-08-18,2.1500,2.2000,False,2.1500,2.2000,reg,1442
ARTW,2017-08-21,2.1000,2.2700,False,2.0500,2.2000,reg,12080
ARTW,2017-08-22,2.1500,2.2000,False,2.1000,2.1042,reg,3848
ARTW,2017-08-23,2.1500,2.2127,False,2.1500,2.1966,reg,5901
ARTW,2017-08-24,2.0500,2.1499,False,2.0500,2.1200,reg,9763
ARTW,2017-08-25,2.1000,2.1490,False,2.0880,2.0880,reg,4384
ARTW,2017-08-28,2.0500,2.1820,False,2.0500,2.0500,reg,3433
ARTW,2017-08-29,2.0500,2.1500,False,2.0500,2.1000,reg,2564
ARTW,2017-08-30,2.1000,2.1001,False,2.0511,2.1001,reg,4199
ARTW,2017-08-31,2.1000,2.2000,False,2.1000,2.1000,reg,1873
ARTW,2017-09-01,2.1450,2.1450,False,2.1450,2.1450,reg,569
ARTW,2017-09-05,2.1500,2.1500,False,2.0500,2.0500,reg,5417
ARTW,2017-09-06,2.1000,2.1500,False,2.1000,2.1000,reg,3923
ARTW,2017-09-07,2.1000,2.1500,False,2.1000,2.1500,reg,4251
ARTW,2017-09-08,2.0500,2.1500,False,2.0500,2.1500,reg,11008
ARTW,2017-09-11,2.1500,2.2500,False,2.0000,2.0000,reg,18854
ARTW,2017-09-12,2.4250,2.4850,False,2.2500,2.4500,reg,8041
ARTW,2017-09-13,2.4000,2.4000,False,2.2500,2.3000,reg,5769
