date,open,high,low,close,volume
2018-01-02,68.2316,68.8018,66.8927,67.2398,19412
2018-01-03,67.2894,67.7357,66.1985,67.4382,21343
2018-01-04,67.4382,67.5374,66.5456,66.5456,12508
2018-01-05,66.4465,67.3886,66.2482,67.2894,21329
2018-01-08,67.2398,68.3308,66.4886,67.7357,13859
2018-01-09,67.7853,68.5291,67.1652,68.2812,23499
2018-01-10,68.2812,70.4134,68.2812,70.3638,22894
2018-01-11,70.4134,71.3556,70.0167,71.1076,45488
2018-01-12,71.4051,72.0498,70.463,70.6613,13490
2018-01-16,71.2564,71.7523,70.3142,71.1076,12872
2018-01-17,70.7605,70.8597,69.7688,70.3142,17237
2018-01-18,69.4713,70.5622,64.5126,69.62,36955
2018-01-19,69.4217,71.4051,68.6779,70.9093,29239
2018-01-22,70.8597,70.8597,66.5803,69.2729,41424
2018-01-23,69.1241,70.1645,65.3069,69.2729,26175
2018-01-24,69.5208,70.0663,67.5374,69.5704,23360
2018-01-25,69.0746,69.5208,68.0838,69.3225,10754
2018-01-26,69.5208,69.5208,68.7027,69.025,12339
2018-01-29,68.2812,68.9754,67.7853,68.5291,16386
2018-01-30,68.2316,68.7275,68.2316,68.5291,23032
2018-01-31,68.4795,68.4795,66.9919,68.1324,12461
2018-02-01,67.7739,69.0188,67.7739,68.471,20636
2018-02-02,68.3714,68.6204,68.1224,68.3216,23774
2018-02-05,67.8237,68.4212,65.533,65.8318,25805
2018-02-06,64.9354,67.1602,63.2423,66.3297,27117
2018-02-07,65.6824,66.5289,65.1346,65.9314,11028
2018-02-08,65.3338,66.3795,65.035,65.2342,22074
2018-02-09,65.7322,67.2261,65.3338,66.7779,17635
2018-02-12,66.9771,66.9771,65.3836,66.4293,22981
2018-02-13,66.4293,67.7241,66.4293,66.8775,29853
2018-02-14,66.3297,67.7241,66.3297,67.7241,23420
2018-02-15,67.7241,68.1722,67.4751,67.973,7016
2018-02-16,67.5747,69.4172,67.5747,68.8196,9165
2018-02-20,68.1722,68.1722,66.6285,66.9273,18041
2018-02-21,67.8623,69.6163,67.8623,68.969,10541
2018-02-22,68.9192,69.0437,68.2967,68.5706,10374
2018-02-23,68.72,68.72,67.973,68.222,21613
2018-02-26,68.1722,69.3674,67.3257,68.9192,53696
2018-02-27,69.1184,70.3633,67.6744,68.222,12363
2018-02-28,68.0228,68.8943,65.533,65.8816,14033
2018-03-01,66.3795,67.2261,65.4832,66.8775,20258
2018-03-02,66.0808,68.471,66.0808,68.1722,11184
2018-03-05,67.6245,69.5168,67.6245,68.8694,10048
2018-03-06,68.72,70.1641,68.1722,70.0147,15250
2018-03-07,69.6163,71.2099,69.6163,70.9609,10467
2018-03-08,70.3633,71.5335,69.2678,69.7657,27136
2018-03-09,69.7657,72.405,69.6163,71.7576,24140
2018-03-12,72.0066,72.8532,70.5127,72.7038,14791
2018-03-13,72.903,73.6499,72.0961,72.7038,17885
2018-03-14,72.7038,73.3511,72.2058,72.7038,19715
2018-03-15,72.8034,73.8491,72.7536,73.6997,14507
2018-03-16,73.8989,75.7912,71.8572,72.6042,109612
2018-03-19,72.405,73.0498,71.5584,72.2556,27096
2018-03-20,72.5046,72.5046,71.0605,71.1601,12371
2018-03-21,71.1103,72.1062,70.3683,70.7119,35823
2018-03-22,70.2139,70.6621,67.973,69.2678,22198
2018-03-23,69.1682,69.1682,66.7779,66.9273,20910
2018-03-26,67.8237,69.9649,67.7739,69.218,12327
2018-03-27,69.2678,69.6163,67.5249,67.973,8580
2018-03-28,68.9192,68.9192,66.2799,68.5208,11606
2018-03-29,68.6702,70.5376,68.2718,68.6702,29291
2018-04-02,68.6702,70.4629,67.0059,68.0726,23805
2018-04-03,67.9232,68.1722,67.1763,67.7241,33909
2018-04-04,67.2759,69.0686,67.1265,68.969,60735
2018-04-05,69.3176,71.0107,68.468,70.6621,26001
2018-04-06,70.2139,71.1601,68.72,69.0686,48415
2018-04-09,69.2678,70.2637,68.7698,69.1682,20311
2018-04-10,69.7657,70.3135,69.3176,69.7159,39013
2018-04-11,69.3674,70.2886,69.0686,69.467,9817
2018-04-12,69.6661,71.1601,69.6661,70.6123,14234
2018-04-13,71.0605,71.0605,69.2678,69.8155,8477
2018-04-16,70.3633,71.2596,69.467,70.7119,19411
2018-04-17,70.9609,71.0605,69.1184,69.6163,15638
2018-04-18,69.6163,69.9151,69.2678,69.467,21933
2018-04-19,69.218,70.1143,69.218,69.8155,22061
2018-04-20,69.4172,70.0147,69.1184,69.3674,31598
2018-04-23,70.6123,73.6997,70.3633,73.0025,24774
2018-04-24,74.0981,75.4426,73.3511,75.1936,25486
2018-04-25,75.592,76.6875,74.4444,75.2932,20352
2018-04-26,75.592,77.4843,72.8456,74.5961,27994
2018-04-27,74.6957,74.6957,73.9487,74.2973,10934
2018-04-30,74.4467,74.4467,72.1062,72.2556,16673
2018-05-01,72.3054,74.3969,71.0356,74.2475,37198
2018-05-02,74.3969,76.3888,73.6748,76.09,18196
2018-05-03,75.85,76.45,74.825,76.05,20208
2018-05-04,75.7,78.45,75.7,76.35,25555
2018-05-07,76.3,77.95,75.75,76.55,7624
2018-05-08,76.6,77.625,76.6,77.3,11479
2018-05-09,77.55,77.6,76.25,76.6,11851
2018-05-10,76.85,77.449,76.05,76.7,7435
2018-05-11,76.8,76.849,75.0,75.3,15796
2018-05-14,76.1,76.275,75.2,75.8,14141
2018-05-15,75.55,78.75,75.5012,78.75,23143
2018-05-16,78.05,78.05,76.55,77.3,15123
2018-05-17,76.9477,79.55,76.9477,79.25,14997
