date,open,high,low,close,volume
2018-01-02,11.8,12.05,11.7,12.0,351531
2018-01-03,12.1,13.0,12.05,12.95,653025
2018-01-04,13.0,13.2,12.85,13.05,426215
2018-01-05,13.15,13.25,13.05,13.15,342519
2018-01-08,13.15,13.15,12.45,12.55,784237
2018-01-09,12.5,12.65,12.1,12.3,686610
2018-01-10,12.3,12.5,12.15,12.3,666594
2018-01-11,12.35,12.8,12.3,12.7,415252
2018-01-12,12.7,12.8,12.55,12.7,308004
2018-01-16,12.65,12.75,11.75,12.0,834490
2018-01-17,12.05,12.25,12.0,12.15,472540
2018-01-18,12.2,12.2,12.0,12.15,266308
2018-01-19,12.2,12.45,12.1,12.35,272362
2018-01-22,12.25,12.299,12.0,12.1,269817
2018-01-23,12.15,12.35,12.1,12.2,290432
2018-01-24,12.3,12.3,12.05,12.1,195355
2018-01-25,12.1,12.4,11.95,12.3,506541
2018-01-26,12.35,12.35,12.05,12.15,161509
2018-01-29,12.1,12.4,12.1,12.3,378932
2018-01-30,12.3,12.45,12.05,12.2,424177
2018-01-31,12.2,12.4,12.1,12.25,360204
2018-02-01,12.2,12.25,12.0,12.1,261399
2018-02-02,12.05,12.15,11.9,12.1,423881
2018-02-05,12.0,12.05,11.65,11.85,545605
2018-02-06,11.55,11.95,11.5,11.9,836056
2018-02-07,11.85,12.0,11.6,12.0,327569
2018-02-08,12.0,12.0,11.7,11.75,333748
2018-02-09,11.9,11.9,11.5,11.65,491601
2018-02-12,11.65,11.75,11.35,11.6,312611
2018-02-13,11.65,12.05,11.6326,11.9,433777
2018-02-14,11.8,12.25,11.8,12.1,332988
2018-02-15,12.25,12.35,12.05,12.35,282543
2018-02-16,12.35,12.4,12.05,12.1,287637
2018-02-20,12.05,12.15,11.8,12.05,369395
2018-02-21,12.1,12.35,12.0,12.1,458675
2018-02-22,12.1,12.25,12.0,12.05,196869
2018-02-23,12.1,12.5,12.1,12.35,334844
2018-02-26,12.45,13.4,12.4,13.2,682709
2018-02-27,13.2,13.35,13.1,13.15,453504
2018-02-28,13.15,13.35,13.05,13.1,507027
2018-03-01,13.15,13.35,12.9,13.1,435787
2018-03-02,13.0,13.65,13.0,13.5,911545
2018-03-05,13.5,14.0,13.45,13.75,445075
2018-03-06,13.65,13.7,12.551,12.875,1067391
2018-03-07,13.3,14.05,13.0501,13.75,1536217
2018-03-08,13.7,14.4,13.3,14.3,863991
2018-03-09,14.4,14.9,14.2,14.85,667995
2018-03-12,14.95,15.1,14.825,14.9,553224
2018-03-13,15.0,15.25,14.7,14.85,376094
2018-03-14,14.95,14.95,14.55,14.55,475324
2018-03-15,14.6,14.675,14.05,14.1,479421
2018-03-16,14.0,14.15,13.8,13.85,742920
2018-03-19,13.95,14.4,13.75,14.05,698641
2018-03-20,14.15,14.325,14.05,14.1,434539
2018-03-21,14.05,14.25,13.95,14.05,285456
2018-03-22,13.85,14.0,13.75,13.8,306759
2018-03-23,13.85,13.9,13.45,13.5,328653
2018-03-26,13.6,13.85,13.45,13.8,219712
2018-03-27,13.85,14.0,13.6,13.65,237704
2018-03-28,13.7,13.95,13.55,13.65,226686
2018-03-29,13.75,13.9,13.5,13.85,468092
2018-04-02,13.75,13.85,13.35,13.4,161578
2018-04-03,13.55,13.7,13.45,13.7,184016
2018-04-04,13.55,13.95,13.5,13.8,239895
2018-04-05,13.95,14.2,13.75,14.0,367517
2018-04-06,13.9,14.1,13.65,14.0,616741
2018-04-09,14.05,14.1,13.9,14.0,179948
2018-04-10,14.15,14.3,14.0,14.1,210199
2018-04-11,14.05,14.15,13.8,13.9,136249
2018-04-12,13.9,13.95,13.7,13.85,162978
2018-04-13,13.85,14.1,13.75,14.05,253183
2018-04-16,14.05,14.35,13.9,14.15,243970
2018-04-17,14.2,14.95,14.2,14.8,728834
2018-04-18,14.9,15.5,14.85,15.35,445065
2018-04-19,15.25,15.55,15.1,15.25,400088
2018-04-20,15.15,15.25,14.75,14.9,240214
2018-04-23,15.0,15.0,14.7,14.8,211657
2018-04-24,14.35,14.55,14.1,14.5,364027
2018-04-25,14.45,14.55,14.4,14.55,124130
2018-04-26,14.65,15.0,14.65,14.9,181308
2018-04-27,14.9,15.15,14.7,15.1,340470
2018-04-30,15.1,15.1,14.75,14.75,167175
2018-05-01,14.7,14.8,14.4,14.75,153561
2018-05-02,14.8,14.95,14.55,14.7,196229
2018-05-03,14.65,14.7375,14.5,14.6,171752
2018-05-04,14.6,15.05,14.4,14.95,233966
2018-05-07,15.0,15.35,14.75,15.15,454492
2018-05-08,15.05,15.65,14.9,15.25,628057
2018-05-09,15.85,16.2,15.1,15.2,818927
2018-05-10,15.25,15.65,15.15,15.5,343466
2018-05-11,15.45,15.7,15.35,15.55,191833
2018-05-14,15.6,15.65,15.25,15.25,198751
2018-05-15,15.2,15.65,15.2,15.45,286721
2018-05-16,15.5,15.65,15.25,15.5,309093
2018-05-17,15.45,15.6,15.35,15.6,257509
