date,open,high,low,close,volume
2018-01-05,0.4,0.7,0.3873,0.6799,12400
2018-01-08,0.68,0.68,0.4499,0.462,31222
2018-01-09,0.43,0.43,0.362,0.4,21900
2018-01-10,0.4,0.4055,0.37,0.4055,18500
2018-01-11,0.38,0.38,0.371,0.38,20902
2018-01-12,0.39,0.4,0.39,0.4,8668
2018-01-17,0.41,0.4375,0.41,0.42,16400
2018-01-18,0.432,0.432,0.432,0.432,8300
2018-01-29,0.41,0.415,0.4,0.41,11502
2018-01-30,0.41,0.42,0.41,0.42,3927
2018-01-31,0.42,0.42,0.4,0.4,24826
2018-02-01,0.41,0.41,0.394,0.394,11844
2018-02-07,0.4404,0.45,0.43,0.45,6973
2018-02-22,0.42,0.42,0.41,0.41,5200
2018-03-05,0.43,0.43,0.43,0.43,94800
2018-03-06,0.41,0.411,0.41,0.41,8100
2018-03-12,0.4,0.4,0.4,0.4,15000
2018-03-16,0.4,0.42,0.4,0.42,74430
2018-03-21,0.37,0.42,0.37,0.42,42367
2018-03-23,0.4,0.42,0.4,0.42,27867
2018-03-27,0.35,0.42,0.35,0.42,11300
2018-04-03,0.4,0.41,0.4,0.41,2016
2018-04-11,0.4,0.42,0.4,0.42,9300
2018-04-13,0.41,0.42,0.41,0.42,13000
2018-04-16,0.43,0.43,0.43,0.43,100
2018-04-17,0.43,0.43,0.43,0.43,100
2018-04-18,0.43,0.43,0.43,0.43,100
2018-04-23,0.42,0.42,0.42,0.42,5900
2018-04-27,0.4436,0.45,0.43,0.43,1600
2018-04-30,0.42,0.42,0.4,0.41,89100
2018-05-01,0.41,0.41,0.41,0.41,13900
2018-05-02,0.44,0.45,0.44,0.45,1100
2018-05-04,0.43,0.43,0.43,0.43,300
2018-05-09,0.42,0.505,0.4179,0.45,16050
2018-05-15,0.45,0.45,0.4491,0.4491,7000
2018-05-16,0.45,0.45,0.45,0.45,11500
