date,open,high,low,close,volume
2018-01-02,37.4251,37.9215,36.7799,36.9784,39776
2018-01-03,37.0281,37.2762,36.5317,36.631,39695
2018-01-04,36.7302,37.5145,35.9857,36.085,36521
2018-01-05,36.085,36.2339,35.1419,35.1419,62761
2018-01-08,35.2412,36.0353,35.2412,35.7872,71964
2018-01-09,35.7872,36.2339,35.2573,35.4894,47197
2018-01-10,35.539,35.9857,35.266,35.4894,41045
2018-01-11,35.6879,36.7302,35.5886,36.3332,35529
2018-01-12,36.5317,37.723,35.7195,36.9784,18177
2018-01-16,36.7799,36.8791,34.993,35.1915,54956
2018-01-17,35.1915,36.1346,34.8441,36.1346,36521
2018-01-18,35.4397,35.5886,32.9346,35.2908,121013
2018-01-19,35.2412,37.1521,33.7521,36.9288,75813
2018-01-22,36.9784,36.9784,35.6879,36.2339,39294
2018-01-23,36.1843,36.5317,35.9609,36.2339,48702
2018-01-24,36.2835,36.5565,35.4645,35.6879,33180
2018-01-25,36.1346,36.1346,35.0923,35.2908,36552
2018-01-26,35.5886,35.7872,35.0228,35.539,45203
2018-01-29,35.4894,35.5886,34.5463,34.6952,50709
2018-01-30,34.5463,35.1419,34.1492,34.3477,42102
2018-01-31,34.6952,34.6952,33.4543,33.7025,39126
2018-02-01,33.8514,34.0499,33.355,33.7025,97158
2018-02-02,33.5536,33.9507,33.0076,33.1069,36726
2018-02-05,33.0076,33.4047,32.1141,32.1638,43343
2018-02-06,31.6674,32.7594,31.6674,32.1141,56082
2018-02-07,32.1141,33.3054,31.6178,32.7594,31105
2018-02-08,32.7694,33.5662,31.5741,31.7733,28843
2018-02-09,32.3709,32.8192,31.3749,31.5741,64318
2018-02-12,31.8729,32.9188,31.1757,32.3709,62023
2018-02-13,32.0721,32.1717,31.4247,31.6737,48561
2018-02-14,31.5741,32.4207,31.5465,32.3211,37534
2018-02-15,32.62,33.2176,32.62,33.118,29088
2018-02-16,33.2674,34.2634,33.2176,33.7654,57177
2018-02-20,33.7654,34.0642,33.2176,33.2674,53060
2018-02-21,33.4666,34.8112,32.9188,33.7654,30247
