date,open,high,low,close,volume
2018-01-02,157.894,159.7571,156.8194,158.1404,224826
2018-01-03,159.5008,163.0201,158.8107,162.8722,267366
2018-01-04,163.2369,163.9319,161.1471,161.6991,176436
2018-01-05,162.7933,165.0409,162.0047,164.8635,201707
2018-01-08,165.0705,168.7081,162.6652,168.1856,329822
2018-01-09,168.3137,172.4343,167.0125,171.8724,363610
2018-01-10,171.3303,172.7399,170.4529,171.5669,265569
2018-01-11,171.7356,174.3462,171.7356,173.5025,274092
2018-01-12,174.7135,174.7135,170.604,170.9564,433043
2018-01-16,171.1599,173.1948,168.8968,169.6908,343744
2018-01-17,170.2169,171.5073,167.5169,168.0728,380516
2018-01-18,167.4673,168.1224,165.6706,166.2761,413282
2018-01-19,166.3952,172.5988,166.3952,172.5694,513901
2018-01-22,172.7679,172.7679,169.3136,171.3981,427740
2018-01-23,171.6959,174.5944,171.6165,174.2073,301285
2018-01-24,174.7731,174.7731,170.8919,171.1301,255382
2018-01-25,171.6761,173.1253,170.475,172.8374,218596
2018-01-26,172.8871,176.0337,170.733,175.6764,345551
2018-01-29,175.2098,177.8006,175.054,176.6889,331311
2018-01-30,175.4381,176.8874,173.84,176.4308,211829
2018-01-31,177.3738,177.3738,174.1775,175.18,402699
2018-02-01,174.4058,176.0653,172.8077,174.6043,191069
2018-02-02,173.8797,173.8797,168.6783,168.9165,312796
2018-02-05,166.9809,168.3805,162.7324,164.2809,378210
2018-02-06,161.5611,167.0404,158.4343,166.0081,393916
2018-02-07,166.4846,169.8991,165.5118,168.986,153993
2018-02-08,168.986,169.4377,164.1221,164.1916,215329
2018-02-09,165.5813,167.6261,160.3302,163.8144,428663
2018-02-12,164.5092,169.522,164.5092,168.6783,418735
2018-02-13,167.5963,168.5701,165.075,166.4449,450313
2018-02-14,165.6011,169.4327,165.3033,168.9364,326405
2018-02-15,169.7404,173.6711,169.0365,173.5025,263501
2018-02-16,172.758,174.4753,171.4577,172.4602,564492
2018-02-20,163.7846,164.7772,154.9402,160.6876,1658241
2018-02-21,160.6777,169.2342,155.8634,157.3623,1520099
2018-02-22,158.1663,160.0821,156.1314,158.6725,412441
2018-02-23,159.7644,160.6926,158.71,160.1615,248566
2018-02-26,159.963,161.5787,159.0371,160.1813,240404
2018-02-27,160.1714,160.8055,155.8138,155.9229,339831
2018-02-28,155.9726,157.8784,154.8708,154.9502,231013
2018-03-01,154.8509,156.8163,153.362,155.1983,228109
2018-03-02,153.7491,157.7196,152.4278,157.2134,186857
2018-03-05,156.9851,160.3402,156.4093,158.7123,261467
2018-03-06,158.6328,158.8115,155.7422,158.6924,211430
2018-03-07,157.809,160.3898,156.7865,159.556,216332
2018-03-08,159.9034,161.0152,158.8711,159.4667,140916
2018-03-09,160.4891,162.0574,158.5237,161.1641,198320
2018-03-12,161.1442,162.7423,160.5486,161.4023,161308
2018-03-13,162.5041,163.0302,161.5413,162.8813,253126
2018-03-14,163.2784,163.3578,159.3872,159.6453,220397
2018-03-15,159.8141,160.6975,158.1862,158.6428,148963
2018-03-16,158.6626,159.8339,156.5979,158.2755,776013
2018-03-19,157.8288,159.3376,156.7865,158.7917,211699
2018-03-20,158.7718,161.1343,158.7718,159.8736,127469
2018-03-21,160.0225,161.0449,159.2781,159.7049,154672
2018-03-22,158.0273,160.5685,156.8362,156.9354,255030
2018-03-23,157.2829,159.1788,152.3792,152.409,328109
2018-03-26,153.759,156.3299,153.1336,154.3943,207268
2018-03-27,155.0097,156.4987,153.9278,154.5829,173241
2018-03-28,154.573,156.4689,154.305,156.4093,142035
2018-03-29,157.0347,158.7023,156.1612,158.0273,178173
2018-04-02,157.9578,158.4889,154.7119,156.4987,306786
2018-04-03,156.7369,160.6181,156.1115,159.7744,259897
2018-04-04,158.8214,162.2957,158.8214,161.8887,284593
2018-04-05,162.2957,163.7648,161.0072,163.6059,224501
2018-04-06,162.0376,163.8839,160.8663,161.9582,235203
2018-04-09,163.06,163.6705,159.9233,161.4122,223109
2018-04-10,161.7398,163.6357,159.3475,161.5611,317304
2018-04-11,160.8563,162.6431,160.3203,161.71,206603
2018-04-12,162.73,163.85,161.58,161.77,183330
2018-04-13,162.41,163.89,161.51,163.71,189506
2018-04-16,164.58,167.73,163.57,164.11,253524
2018-04-17,164.44,165.38,162.53,162.84,271775
2018-04-18,163.19,165.11,162.62,163.28,203462
2018-04-19,163.15,164.19,161.49,163.62,189574
2018-04-20,162.94,165.26,162.195,164.77,268001
2018-04-23,165.25,165.32,162.91,163.94,211323
2018-04-24,164.85,165.23,161.5,162.69,292899
2018-04-25,162.52,163.5195,161.61,162.83,148465
2018-04-26,163.85,167.06,163.585,163.88,233605
2018-04-27,164.12,165.37,163.49,164.58,244068
2018-04-30,165.57,166.715,163.69,164.59,366491
2018-05-01,164.58,166.82,163.74,166.31,374881
2018-05-02,166.37,166.37,161.26,164.14,335058
2018-05-03,163.87,164.64,163.106,163.56,234493
2018-05-04,163.01,165.99,162.58,165.45,199493
2018-05-07,166.44,166.46,164.15,165.45,189478
2018-05-08,166.08,166.66,164.52,166.58,170575
2018-05-09,165.67,166.325,160.92,161.15,331535
2018-05-10,161.27,163.7,160.27,162.58,235549
2018-05-11,162.44,163.06,160.66,160.77,256171
2018-05-14,160.71,161.69,155.5,157.5,482578
2018-05-15,157.07,158.21,155.11,156.29,329169
2018-05-16,156.75,158.198,155.05,156.1,293350
2018-05-17,156.17,159.05,156.06,158.85,250190
