date,open,high,low,close,volume
2018-01-02,2.61,2.7,2.5853,2.65,76770
2018-01-03,2.68,2.72,2.65,2.67,49192
2018-01-04,2.68,2.68,2.65,2.68,61429
2018-01-05,2.68,2.71,2.661,2.7,62359
2018-01-08,2.71,2.71,2.68,2.69,32291
2018-01-09,2.65,2.7,2.55,2.56,87402
2018-01-10,2.56,2.635,2.5445,2.58,72429
2018-01-11,2.56,2.614,2.52,2.56,87638
2018-01-12,2.56,2.6,2.54,2.585,29967
2018-01-16,2.6,2.6411,2.5,2.62,121740
2018-01-17,2.64,3.1,2.64,2.88,510198
2018-01-18,2.96,3.04,2.8653,2.96,144585
2018-01-19,2.99,3.03,2.931,2.99,104741
2018-01-22,3.02,3.06,2.9201,2.93,88109
2018-01-23,2.93,2.93,2.75,2.8166,79953
2018-01-24,3.31,3.57,2.99,3.0409,1299551
2018-01-25,3.04,3.09,2.861,3.01,137184
2018-01-26,3.0,3.04,2.881,2.93,88453
2018-01-29,2.95,3.0,2.8203,2.91,82487
2018-01-30,2.91,2.94,2.84,2.9,31479
2018-01-31,2.93,2.93,2.81,2.81,60059
2018-02-01,2.8,2.88,2.8,2.82,47140
2018-02-02,2.83,2.9,2.8,2.86,66757
2018-02-05,2.86,2.9146,2.8,2.81,66539
2018-02-06,2.8,2.8672,2.77,2.78,44250
2018-02-07,2.77,2.799,2.705,2.71,41541
2018-02-08,2.75,2.95,2.63,2.63,75462
2018-02-09,2.65,2.7202,2.37,2.5,184907
2018-02-12,2.52,2.6486,2.5,2.6,48342
2018-02-13,2.61,2.7655,2.5,2.74,48202
2018-02-14,2.76,2.855,2.565,2.6,175632
2018-02-15,2.69,2.7201,2.631,2.64,30418
2018-02-16,2.63,2.73,2.6,2.62,50975
2018-02-20,2.58,2.7,2.5501,2.62,41621
2018-02-21,2.62,2.62,2.5701,2.61,40962
2018-02-22,2.6011,2.65,2.54,2.56,27680
2018-02-23,2.56,2.619,2.52,2.54,59102
2018-02-26,2.58,2.6201,2.475,2.57,145104
2018-02-27,2.56,2.6,2.49,2.51,29503
2018-02-28,2.54,2.54,2.4,2.46,73334
2018-03-01,2.52,2.7,2.451,2.53,312984
2018-03-02,2.5,2.57,2.4508,2.57,41725
2018-03-05,2.59,2.59,2.5002,2.58,34075
2018-03-06,2.57,2.58,2.471,2.49,32167
2018-03-07,2.5,2.58,2.4812,2.51,16932
2018-03-08,2.54,2.5548,2.47,2.55,14754
2018-03-09,2.6,2.6,2.47,2.58,48772
2018-03-12,2.6,2.63,2.55,2.57,57206
2018-03-13,2.58,2.7,2.55,2.65,61602
2018-03-14,2.69,2.7,2.615,2.63,11870
2018-03-15,2.69,2.75,2.62,2.69,91598
2018-03-16,2.75,2.95,2.75,2.92,230824
2018-03-19,2.95,2.9767,2.8,2.91,135851
2018-03-20,2.97,2.97,2.851,2.9,45409
2018-03-21,2.92,2.92,2.7701,2.81,33850
2018-03-22,2.82,2.95,2.81,2.94,97866
2018-03-23,2.95,3.33,2.921,3.03,534597
2018-03-26,3.15,3.229,2.86,2.87,214771
2018-03-27,2.87,2.96,2.72,2.87,75119
2018-03-28,2.89,2.9567,2.843,2.93,60998
2018-03-29,3.0,3.0,2.86,2.86,38797
2018-04-02,2.81,2.8866,2.73,2.7682,40989
2018-04-03,2.76,2.9,2.7013,2.72,31967
2018-04-04,2.71,2.74,2.6501,2.72,41138
2018-04-05,2.73,2.86,2.73,2.8,25488
2018-04-06,2.77,2.87,2.7355,2.76,28813
2018-04-09,2.78,2.78,2.62,2.75,37187
2018-04-10,2.75,2.78,2.72,2.74,23866
2018-04-11,2.74,2.78,2.7,2.75,17461
2018-04-12,2.76,2.88,2.76,2.86,34314
2018-04-13,2.87,2.9301,2.76,2.87,33976
2018-04-16,2.87,2.97,2.87,2.93,33761
2018-04-17,2.94,2.94,2.77,2.82,37768
2018-04-18,2.83,2.86,2.8,2.82,12053
2018-04-19,2.82,2.87,2.82,2.85,14438
2018-04-20,2.86,2.86,2.76,2.84,18180
2018-04-23,2.82,2.85,2.811,2.84,19401
2018-04-24,2.85,2.85,2.8001,2.84,32587
2018-04-25,2.78,2.805,2.75,2.75,31431
2018-04-26,2.75,2.75,2.71,2.74,21827
2018-04-27,2.76,2.763,2.71,2.71,28437
2018-04-30,2.72,2.85,2.72,2.81,28369
2018-05-01,2.81,2.82,2.76,2.81,9714
2018-05-02,2.8128,2.84,2.7255,2.8,24620
2018-05-03,2.78,2.78,2.65,2.7,47576
2018-05-04,2.66,2.74,2.66,2.7,17958
2018-05-07,2.7,2.75,2.6743,2.71,26961
2018-05-08,2.73,2.74,2.63,2.74,18228
2018-05-09,2.74,2.74,2.6801,2.7,10978
2018-05-10,2.67,2.73,2.64,2.72,29611
2018-05-11,2.74,2.74,2.6153,2.62,45278
2018-05-14,2.62,2.6759,2.55,2.57,31518
2018-05-15,2.56,2.65,2.56,2.65,25250
2018-05-16,2.25,2.34,1.9,2.05,765480
2018-05-17,2.06,2.229,2.06,2.17,164890
