date,open,high,low,close,volume
2018-01-02,29.7105,29.7304,29.6614,29.7053,3772
2018-01-03,29.968,29.968,29.8797,29.9193,3218
2018-01-04,29.9976,30.058,29.9801,30.058,1063
2018-01-05,30.1578,30.3069,30.1578,30.3069,3394
2018-01-08,30.2568,30.3666,30.2568,30.3566,1332
2018-01-09,,,,30.3566,95
2018-01-10,30.3367,30.3367,30.123,30.2572,1989
2018-01-11,30.3169,30.3444,30.297,30.3417,877
2018-01-12,30.456,30.5204,30.4244,30.4278,1247
2018-01-16,30.7443,30.7443,30.4379,30.5157,3955
2018-01-17,30.3908,30.8581,30.3908,30.8263,2137
2018-01-18,30.7785,30.7885,30.6694,30.7487,4479
2018-01-19,30.9575,31.0271,30.8697,31.0034,4642
2018-01-22,31.0477,31.1364,31.0477,31.1166,2043
2018-01-23,31.1853,31.2855,31.1605,31.2855,4576
2018-01-24,31.5043,31.5589,31.3869,31.5589,2544
2018-01-25,31.5838,31.8025,31.3899,31.3899,18531
2018-01-26,31.385,31.8025,31.385,31.8005,3567
2018-01-29,31.4148,31.4943,31.3551,31.3551,2121
2018-01-30,31.2657,31.2657,30.9724,31.1066,3105
2018-01-31,31.0768,31.1762,31.0668,31.1102,2375
2018-02-01,31.0418,31.1861,30.9672,31.0136,7999
2018-02-02,30.6493,30.6533,30.6493,30.6533,1369
2018-02-05,30.6493,30.6493,30.0143,30.1423,2423
2018-02-06,29.8242,30.2019,29.8242,30.1423,3993
2018-02-07,29.9559,30.1622,29.7188,29.7188,8918
2018-02-08,29.2774,29.3632,29.1165,29.1165,1590
2018-02-09,28.83,29.1393,28.6031,29.1393,7847
2018-02-12,29.5657,29.6153,29.3069,29.6153,3311
2018-02-13,29.3749,29.685,29.3749,29.675,3231
2018-02-14,29.5717,30.1385,29.4621,30.0888,1798
2018-02-15,30.5046,30.5046,30.211,30.218,1518
2018-02-16,30.3672,30.407,30.1993,30.2045,2747
2018-02-20,30.1385,30.1484,29.9352,29.9539,1703
2018-02-21,30.3523,30.4356,30.0327,30.0788,3088
2018-02-22,30.1228,30.2528,29.9975,29.9975,1307
2018-02-23,30.1683,30.4368,30.1186,30.4368,230927
2018-02-26,,,,30.4368,224
2018-02-27,30.4666,30.4666,29.9771,30.1474,3053
2018-02-28,29.9941,30.0336,29.685,29.685,1321
2018-03-01,29.6712,29.6712,29.3828,29.3828,1887
2018-03-02,29.651,29.7109,29.651,29.7099,2479
2018-03-05,29.701,29.8402,29.701,29.8341,7677
2018-03-06,29.8203,30.0689,29.7258,29.9943,14576
2018-03-07,29.7104,29.7861,29.7005,29.7643,2905
2018-03-08,29.8298,29.8298,29.5636,29.8,670
2018-03-09,29.8606,29.9406,29.801,29.9406,8892
2018-03-12,30.2278,30.2278,30.0347,30.0347,1172
2018-03-13,30.3102,30.3102,29.9548,30.0885,13186
2018-03-14,,,,30.0885,135
2018-03-15,30.0288,30.0288,29.8211,29.9393,4973
2018-03-16,29.8995,29.9492,29.868,29.868,1074
2018-03-19,29.8298,29.8298,29.6014,29.6014,573
2018-03-20,29.6476,29.7654,29.6476,29.7654,1864
2018-03-21,29.6604,29.8489,29.6604,29.8126,2772
2018-03-22,29.6089,29.6885,29.422,29.6885,835
2018-03-23,29.1831,29.1831,28.9841,29.0438,7890
2018-03-26,29.6506,29.6506,29.1832,29.6209,7724
2018-03-27,29.9094,29.9094,29.5015,29.5015,2478
2018-03-28,29.2866,29.2866,29.2866,29.2866,172
2018-03-29,29.6674,29.7502,29.422,29.7502,3062
2018-04-02,29.6259,29.6259,28.9642,29.1958,2298
2018-04-03,29.4774,29.4774,29.4575,29.4575,826
2018-04-04,,,,29.4575,232
2018-04-05,29.591,29.6666,29.591,29.6666,505
2018-04-06,29.7502,29.7502,29.1532,29.1532,2858
2018-04-09,29.6905,29.6905,29.6108,29.6706,1015
2018-04-10,29.4119,29.7403,29.4119,29.7403,1241
2018-04-11,29.6726,29.6726,29.6726,29.6726,253
2018-04-12,29.8398,29.8398,29.7612,29.8398,1318
2018-04-13,29.5777,29.6652,29.5777,29.6652,525
2018-04-16,29.6246,29.6246,29.6246,29.6246,227
2018-04-17,29.6775,29.6775,29.6775,29.6775,171
2018-04-18,29.8172,29.8671,29.7904,29.8671,667
2018-04-19,29.9469,29.9469,29.5926,29.6067,1146
2018-04-20,29.5778,29.5778,29.353,29.353,636
2018-04-23,29.3268,29.3781,29.2087,29.3085,7483
2018-04-24,29.2901,29.2901,29.2087,29.2087,1565
2018-04-25,28.9294,28.9891,28.9082,28.918,5738
2018-04-26,29.2113,29.2113,29.0092,29.0795,1785
2018-04-27,29.2837,29.3566,29.2837,29.2973,2074
2018-04-30,29.3837,29.3837,29.3234,29.3284,1063
2018-05-01,29.1339,29.1339,29.1339,29.1339,337
2018-05-02,28.9826,29.123,28.9826,29.123,430
2018-05-03,28.7698,28.7698,28.7698,28.7698,382
2018-05-04,28.7099,28.8895,28.7099,28.8895,360
2018-05-07,28.4905,28.4905,28.4805,28.4848,1758
2018-05-08,28.3009,28.5902,28.2939,28.5703,2494
2018-05-09,28.5902,28.5902,28.4146,28.5154,2989
2018-05-10,28.7304,28.9094,28.7304,28.8945,3352
2018-05-11,28.8518,28.8518,28.7398,28.7398,1843
2018-05-14,29.1089,29.1089,28.9532,29.0242,2731
2018-05-15,28.5653,28.5653,28.5589,28.5589,583
2018-05-16,28.746,28.9,28.746,28.9,530
2018-05-17,28.4361,28.61,28.3266,28.367,4495
