date,open,high,low,close,volume
2018-01-02,28.3765,28.792,28.347,28.6026,190230
2018-01-03,28.6125,28.8681,28.524,28.5731,20451
2018-01-04,28.5731,28.6274,28.4453,28.4453,7382
2018-01-05,28.524,28.6689,28.524,28.5338,10779
2018-01-08,28.5338,28.7698,28.5338,28.6911,22413
2018-01-09,28.5535,28.7304,28.4158,28.6518,44619
2018-01-10,28.5731,28.6901,28.5141,28.6026,23449
2018-01-11,28.6026,28.7108,28.5364,28.7108,15302
2018-01-12,28.5731,28.8386,28.5731,28.8288,11391
2018-01-16,28.7501,28.9763,28.5667,28.9566,34079
2018-01-17,28.8878,28.9566,28.5731,28.8386,19935
2018-01-18,28.8288,28.8386,28.6223,28.8386,15487
2018-01-19,28.7901,29.3283,28.7894,28.8681,147773
2018-01-22,29.0648,29.2417,28.8189,28.9369,6615
2018-01-23,28.9861,29.1031,28.9566,28.9763,11294
2018-01-24,28.9664,28.9763,28.8139,28.9369,9702
2018-01-25,28.8411,28.9221,28.7388,28.7894,6862
2018-01-26,28.7796,28.9566,28.725,28.8189,13305
2018-01-29,28.6616,28.701,28.5141,28.6125,41744
2018-01-30,28.5141,28.5141,28.0815,28.3175,66963
2018-01-31,28.3666,28.4158,28.2096,28.288,6826
2018-02-01,28.2388,28.3372,28.1311,28.1946,17284
2018-02-02,28.17,28.2744,27.9242,27.9733,23927
2018-02-05,28.111,28.2683,28.0225,28.2192,15742
2018-02-06,28.3234,28.4011,28.1222,28.3568,12034
2018-02-07,28.3666,28.4846,28.1798,28.2295,29687
2018-02-08,28.2487,28.2487,27.934,27.934,19457
2018-02-09,27.9242,27.9242,27.4719,27.5506,63211
2018-02-12,27.639,27.6931,27.5211,27.5417,11110
2018-02-13,27.8554,27.8554,27.5702,27.5899,9382
2018-02-14,27.5604,27.6489,27.3637,27.3698,25546
2018-02-15,27.3146,27.5849,27.3146,27.4326,22487
2018-02-16,27.4326,27.816,27.4226,27.816,8094
2018-02-20,27.7177,27.8259,27.6935,27.7767,12255
2018-02-21,27.8193,27.8691,27.6391,27.6784,9497
2018-02-22,27.6784,28.0225,27.6095,28.0117,8599
2018-02-23,27.8856,28.642,27.8856,28.4846,16162
2018-02-26,28.288,28.6223,28.2609,28.3961,13549
2018-02-27,28.3741,28.5436,28.0323,28.3372,29683
2018-02-28,28.6223,28.6606,28.2193,28.4355,22942
2018-03-01,28.2978,28.7599,28.2978,28.6321,15496
2018-03-02,28.524,28.8927,28.3273,28.8927,11861
2018-03-05,28.7005,28.8582,28.6322,28.8288,29144
2018-03-06,28.8091,28.9074,28.6616,28.9074,14963
2018-03-07,28.6223,28.9566,28.6223,28.8386,8899
2018-03-08,29.0058,29.0942,28.9763,28.9773,18975
2018-03-09,29.0843,29.0942,28.7796,29.0844,4946
2018-03-12,29.1041,29.1041,28.9328,28.9566,3916
2018-03-13,29.0549,29.0549,28.8091,28.9468,34815
2018-03-14,28.8878,28.9566,28.8189,28.8853,28412
2018-03-15,29.02,29.04,28.9,28.99,8719
2018-03-16,28.999,28.999,28.81,28.908,7160
2018-03-19,28.84,28.84,28.55,28.73,11128
2018-03-20,28.75,28.82,28.657,28.67,9193
2018-03-21,28.7326,28.8316,28.59,28.78,9847
2018-03-22,28.62,28.769,28.5201,28.5201,7314
2018-03-23,28.7088,28.769,28.5301,28.7,6047
2018-03-26,28.71,28.8156,28.701,28.7927,3147
2018-03-27,28.92,29.12,28.7584,29.12,9521
2018-03-28,29.06,29.06,28.85,29.06,7278
2018-03-29,29.36,29.36,28.87,29.34,28480
2018-04-02,29.28,29.347,29.07,29.15,3558
2018-04-03,29.1,29.1,28.85,29.09,31974
2018-04-04,28.99,29.11,28.89,29.1,25477
2018-04-05,29.1,29.19,28.91,29.19,8700
2018-04-06,28.86,29.139,28.63,28.75,26592
2018-04-09,28.82,28.85,28.72,28.73,12219
2018-04-10,28.75,28.809,28.66,28.74,6576
2018-04-11,28.86,28.86,28.43,28.45,13436
2018-04-12,28.693,28.693,28.46,28.47,7963
2018-04-13,28.45,28.6,28.4261,28.51,18715
2018-04-16,28.42,28.64,28.42,28.64,15805
2018-04-17,28.66,28.77,28.42,28.77,25350
2018-04-18,28.57,28.69,28.4901,28.69,7464
2018-04-19,28.75,28.759,28.48,28.51,11188
2018-04-20,28.52,28.94,28.506,28.94,31727
2018-04-23,28.81,28.9,28.6801,28.9,17189
2018-04-24,28.88,28.88,28.74,28.87,9377
2018-04-25,28.75,28.87,28.52,28.8,14292
2018-04-26,28.8,28.84,28.71,28.76,7246
2018-04-27,28.68,28.85,28.531,28.8,8640
2018-04-30,28.86,28.86,28.46,28.51,33566
2018-05-01,28.52,28.619,28.42,28.42,9252
2018-05-02,28.42,28.5513,28.42,28.42,9394
2018-05-03,28.4931,28.4931,28.39,28.4,16618
2018-05-04,28.33,28.57,28.31,28.33,35582
2018-05-07,28.4412,28.5299,28.3801,28.51,5248
2018-05-08,28.43,28.5099,28.41,28.46,10926
2018-05-09,28.41,28.54,28.41,28.51,22869
2018-05-10,28.53,28.545,28.52,28.545,6498
2018-05-11,28.6,28.63,28.56,28.5601,15658
2018-05-14,28.47,28.62,28.47,28.5,4540
2018-05-15,28.44,28.45,28.3344,28.3344,15854
2018-05-16,28.37,28.39,28.34,28.36,19523
2018-05-17,28.36,28.43,28.35,28.38,9878
