symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
CNAT,2017-06-27,5.4600,5.7900,False,5.2100,5.7200,reg,943454
CNAT,2017-06-28,5.6000,5.6300,False,5.3190,5.5200,reg,560936
CNAT,2017-06-29,6.2000,6.2800,False,5.5000,5.6000,reg,1858614
CNAT,2017-06-30,5.7600,6.4199,False,5.7330,6.2900,reg,1316941
CNAT,2017-07-05,6.2000,6.4000,False,5.9400,6.2200,reg,672716
CNAT,2017-07-06,6.1800,6.4000,False,6.0500,6.1600,reg,768164
CNAT,2017-07-07,6.5100,6.7500,False,6.1600,6.2800,reg,1590308
CNAT,2017-07-10,6.8500,6.9200,False,6.3500,6.6300,reg,1362131
CNAT,2017-07-11,6.8200,7.0500,False,6.6500,6.9300,reg,1040635
CNAT,2017-07-12,6.8700,7.0500,False,6.7200,6.8600,reg,762460
CNAT,2017-07-13,6.5500,6.8500,False,6.3100,6.8400,reg,1301729
CNAT,2017-07-14,6.5100,6.6010,False,6.3832,6.5500,reg,437503
CNAT,2017-07-17,6.3900,6.6000,False,6.3900,6.5000,reg,301124
CNAT,2017-07-18,6.1400,6.3886,False,6.1100,6.3800,reg,542908
CNAT,2017-07-19,6.0700,6.2500,False,5.8800,6.1100,reg,619619
CNAT,2017-07-20,6.0400,6.2000,False,5.9000,6.0000,reg,416159
CNAT,2017-07-21,6.0400,6.1322,False,5.9700,6.0800,reg,438249
CNAT,2017-07-24,6.1900,6.2400,False,5.9900,6.0200,reg,386521
CNAT,2017-07-25,6.0900,6.2300,False,6.0800,6.1800,reg,260943
CNAT,2017-07-26,5.9600,6.2200,False,5.9500,6.1100,reg,319036
CNAT,2017-07-27,5.6800,6.0800,False,5.5100,5.9500,reg,661637
CNAT,2017-07-28,5.7400,5.9000,False,5.5600,5.5800,reg,316354
CNAT,2017-07-31,5.5300,5.8300,False,5.5100,5.7600,reg,304127
CNAT,2017-08-01,5.3900,5.6200,False,5.3300,5.5600,reg,401097
CNAT,2017-08-02,5.4400,5.5000,False,5.2300,5.2600,reg,344448
CNAT,2017-08-03,5.0200,5.4200,False,4.8001,5.2000,reg,800713
