symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
CSBR,2017-06-27,2.8800,2.8800,False,2.8300,2.8300,reg,3346
CSBR,2017-06-28,2.8400,2.8800,False,2.7831,2.8600,reg,9121
CSBR,2017-06-29,2.8000,2.9427,False,2.6100,2.9427,reg,18418
CSBR,2017-06-30,2.5700,2.8753,False,2.5700,2.7400,reg,21383
CSBR,2017-07-05,2.7000,2.7837,False,2.6500,2.6500,reg,14897
CSBR,2017-07-06,2.6100,2.7030,False,2.6100,2.7000,reg,24053
CSBR,2017-07-07,2.5700,2.5900,False,2.5500,2.5500,reg,7823
CSBR,2017-07-10,2.5600,2.6200,False,2.5600,2.6200,reg,1234
CSBR,2017-07-11,2.6300,2.6800,False,2.5450,2.5600,reg,10922
CSBR,2017-07-12,2.5400,2.7200,False,2.4400,2.6980,reg,4378
CSBR,2017-07-13,2.5800,2.5999,False,2.4501,2.4900,reg,7809
CSBR,2017-07-14,2.5600,2.6400,False,2.5100,2.5200,reg,1417
CSBR,2017-07-17,2.5900,2.7100,False,2.5320,2.5400,reg,3842
CSBR,2017-07-18,2.5600,2.6400,False,2.5300,2.5300,reg,2008
CSBR,2017-07-19,2.6600,2.7000,False,2.5900,2.6900,reg,21612
CSBR,2017-07-20,2.6500,2.6600,False,2.6000,2.6600,reg,4108
CSBR,2017-07-21,2.7000,2.7000,False,2.6300,2.6300,reg,7524
CSBR,2017-07-24,2.7000,2.7000,False,2.6800,2.7000,reg,1474
CSBR,2017-07-25,2.6700,2.8700,False,2.6300,2.6600,reg,52658
CSBR,2017-07-26,2.5700,2.7200,False,2.5500,2.6529,reg,50222
CSBR,2017-07-27,2.5100,2.6000,False,2.4300,2.5700,reg,43258
CSBR,2017-07-28,2.7799,2.8890,False,2.1900,2.5000,reg,128420
CSBR,2017-07-31,2.8400,2.8700,False,2.7800,2.8100,reg,15979
CSBR,2017-08-01,3.1500,3.1500,False,2.8000,2.8000,reg,32266
CSBR,2017-08-02,2.9300,3.0883,False,2.9300,3.0400,reg,45442
CSBR,2017-08-03,3.0100,3.0800,False,2.9900,2.9948,reg,25058
CSBR,2017-08-04,3.1400,3.1400,False,3.0100,3.0300,reg,18361
CSBR,2017-08-07,3.0900,3.1500,False,3.0500,3.0500,reg,28637
CSBR,2017-08-08,3.2400,3.2500,False,3.1300,3.1500,reg,99531
CSBR,2017-08-09,3.1500,3.2908,False,3.1500,3.2200,reg,11439
