symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
CYTX,2017-05-24,1.0400,1.0900,False,1.0200,1.0800,reg,1129347
CYTX,2017-05-25,1.0300,1.0800,False,1.0099,1.0500,reg,410451
CYTX,2017-05-26,1.0300,1.0440,False,1.0100,1.0400,reg,166231
CYTX,2017-05-30,0.9800,1.0200,False,0.9700,1.0200,reg,416479
CYTX,2017-05-31,1.0000,1.0400,False,0.9850,1.0400,reg,486784
CYTX,2017-06-01,1.0200,1.0800,False,1.0200,1.0400,reg,354556
CYTX,2017-06-02,1.0300,1.0500,False,1.0300,1.0300,reg,302820
CYTX,2017-06-05,1.1000,1.1200,False,1.0300,1.0300,reg,1106777
CYTX,2017-06-06,1.0600,1.1100,False,1.0300,1.1000,reg,511755
CYTX,2017-06-07,1.0500,1.0700,False,1.0300,1.0500,reg,195684
CYTX,2017-06-08,1.0900,1.1100,False,1.0600,1.0700,reg,580133
CYTX,2017-06-09,1.0600,1.0900,False,1.0400,1.0800,reg,297601
CYTX,2017-06-12,1.0900,1.1000,False,1.0500,1.0500,reg,178119
CYTX,2017-06-13,1.0800,1.0900,False,1.0500,1.0900,reg,368362
CYTX,2017-06-14,1.0200,1.0800,False,1.0100,1.0800,reg,313368
CYTX,2017-06-15,1.0200,1.0300,False,1.0000,1.0300,reg,271126
CYTX,2017-06-16,0.9800,1.0200,False,0.9800,1.0100,reg,401332
CYTX,2017-06-19,1.0538,1.0693,False,0.9750,0.9800,reg,749282
CYTX,2017-06-20,1.0300,1.0700,False,1.0200,1.0400,reg,371173
CYTX,2017-06-21,1.0100,1.0500,False,1.0100,1.0300,reg,222322
CYTX,2017-06-22,1.0400,1.0400,False,1.0000,1.0200,reg,205900
CYTX,2017-06-23,1.0400,1.0400,False,1.0100,1.0200,reg,207859
CYTX,2017-06-26,1.0800,1.0800,False,1.0200,1.0400,reg,1507010
CYTX,2017-06-27,1.1600,1.1800,False,1.0700,1.0800,reg,3000120
CYTX,2017-06-28,1.1300,1.2100,False,1.0700,1.2000,reg,1331824
CYTX,2017-06-29,1.0400,1.1300,False,1.0200,1.1300,reg,1110388
CYTX,2017-06-30,1.1000,1.1000,False,1.0200,1.0500,reg,495005
CYTX,2017-07-05,1.0100,1.0800,False,1.0000,1.0800,reg,716744
