date,open,high,low,close,volume
2018-03-02,19.43,19.54,19.43,19.51,93435
2018-03-05,19.62,19.8632,19.62,19.8632,47077
2018-03-06,20.4,20.4,19.97,20.04,26666
2018-03-07,20.0,20.09,19.99,20.0861,25083
2018-03-08,20.29,20.31,20.16,20.2,23333
2018-03-09,20.2501,20.44,20.2501,20.44,31232
2018-03-12,20.54,20.56,20.44,20.49,14756
2018-03-13,20.62,20.62,20.24,20.24,33084
2018-03-14,20.33,20.35,20.22,20.285,28899
2018-03-15,20.34,20.4,20.33,20.34,30335
2018-03-16,20.25,20.31,20.22,20.26,35419
2018-03-19,20.15,20.21,20.0,20.0,21943
2018-03-20,20.28,20.35,20.28,20.31,21010
2018-03-21,20.35,20.45,20.3498,20.43,24619
2018-03-22,20.08,20.08,19.75,19.8,22080
2018-03-23,19.8,19.8,19.38,19.38,16930
2018-03-26,19.744,19.8123,19.58,19.8123,27804
2018-03-27,19.96,19.97,19.53,19.53,28456
2018-03-28,19.6,19.6,19.41,19.5,23527
2018-03-29,19.5,19.67,19.4091,19.64,24823
2018-04-02,19.61,19.61,19.2,19.29,43803
2018-04-03,19.4,19.42,19.25,19.29,22476
2018-04-04,19.14,19.395,19.14,19.395,41124
2018-04-05,19.76,19.79,19.67,19.7127,22885
2018-04-06,19.6671,19.71,19.4741,19.4741,26233
2018-04-09,19.73,19.79,19.7292,19.7664,21785
2018-04-10,19.7937,19.88,19.78,19.88,29284
2018-04-11,19.92,19.96,19.9,19.9,26556
2018-04-12,19.9624,19.99,19.9,19.9,20376
2018-04-13,19.86,19.86,19.7284,19.7284,22028
2018-04-16,19.79,19.79,19.65,19.73,190615
2018-04-17,19.76,19.95,19.76,19.9,28460
2018-04-18,19.95,20.138,19.89,20.12,30128
2018-04-19,20.18,20.19,19.97,20.01,32329
2018-04-20,19.92,19.92,19.88,19.8893,20760
2018-04-23,19.85,19.85,19.77,19.79,31046
2018-04-24,19.91,19.91,19.52,19.67,78150
2018-04-25,19.47,19.51,19.38,19.46,26049
2018-04-26,19.61,19.67,19.61,19.66,28742
2018-04-27,19.7,19.78,19.7,19.78,32003
2018-04-30,19.84,19.84,19.71,19.72,29175
2018-05-01,19.61,19.71,19.61,19.71,30745
2018-05-02,19.75,19.75,19.69,19.7,24264
2018-05-03,19.34,19.55,19.34,19.55,23014
2018-05-04,19.45,19.74,19.44,19.74,25700
2018-05-07,19.8699,19.9499,19.81,19.84,28200
2018-05-08,19.73,19.8,19.73,19.8,63047
2018-05-09,19.94,19.94,19.8201,19.8473,33961
2018-05-10,20.01,20.07,20.01,20.05,25610
2018-05-11,20.12,20.12,20.0,20.0,30116
2018-05-14,20.18,20.19,20.1,20.1,29988
2018-05-15,20.19,20.22,20.11,20.1471,26250
2018-05-16,20.34,20.409,20.3,20.409,20625
2018-05-17,20.34,20.45,20.3,20.3,31197
