date,open,high,low,close,volume
2018-01-02,23.0,23.09,22.62,22.68,347561
2018-01-03,22.79,23.18,22.49,22.84,288033
2018-01-04,22.71,22.7701,22.36,22.64,320941
2018-01-05,22.86,22.9199,22.44,22.63,317169
2018-01-08,22.95,23.33,22.82,23.03,613635
2018-01-09,23.6,23.85,23.346,23.51,554115
2018-01-10,23.34,23.69,23.25,23.59,428650
2018-01-11,23.66,24.11,23.445,23.65,493286
2018-01-12,23.31,23.38,22.37,22.49,393870
2018-01-16,23.14,23.27,22.59,22.63,250811
2018-01-17,22.9,23.55,22.69,23.4,266403
2018-01-18,23.31,23.9,23.02,23.76,298871
2018-01-19,23.38,23.54,23.131,23.4,173363
2018-01-22,23.36,23.63,23.31,23.5,118068
2018-01-23,24.39,24.62,23.32,23.36,345744
2018-01-24,21.95,22.0398,20.95,21.16,677601
2018-01-25,21.33,22.68,20.925,22.15,452144
2018-01-26,21.95,21.96,21.5,21.79,140328
2018-01-29,22.35,22.939,22.35,22.65,272453
2018-01-30,22.16,23.09,22.16,22.95,206786
2018-01-31,22.42,22.75,21.79,22.03,391365
2018-02-01,22.84,22.96,22.37,22.43,202060
2018-02-02,23.51,25.22,23.5,25.1,442369
2018-02-05,23.88,24.74,23.76,24.58,320832
2018-02-06,24.68,25.15,24.61,25.11,143675
2018-02-07,25.75,26.59,25.5,26.3,513412
2018-02-08,25.77,26.2765,25.7,26.05,155695
2018-02-09,26.4,27.01,26.3,26.34,247977
2018-02-12,25.69,25.745,24.82,25.24,215672
2018-02-13,25.26,25.54,24.9,25.04,81845
2018-02-14,24.84,24.9295,23.35,23.58,231499
2018-02-15,23.6,24.58,23.49,23.58,162778
2018-02-16,24.01,24.7,23.7601,24.43,146960
2018-02-20,24.64,25.59,24.5,25.41,143212
2018-02-21,24.85,25.43,24.09,25.3077,356329
2018-02-22,24.94,25.09,24.48,24.72,80121
2018-02-23,24.96,25.28,24.96,25.19,76949
2018-02-26,24.82,25.26,24.68,24.7,208248
2018-02-27,24.94,26.09,24.87,25.71,194787
2018-02-28,25.5,25.91,25.3,25.83,81737
2018-03-01,26.51,26.9,25.03,25.33,345579
2018-03-02,24.98,25.58,24.89,25.2,219705
2018-03-05,25.64,25.94,25.53,25.6,134895
2018-03-06,24.53,24.56,23.5,24.06,269564
2018-03-07,24.7,25.5,24.7,25.28,287728
2018-03-08,25.25,25.51,25.13,25.21,244493
2018-03-09,25.39,25.56,24.27,24.72,412789
2018-03-12,25.27,25.37,24.86,24.92,99622
2018-03-13,24.76,25.22,24.571,24.85,155088
2018-03-14,24.88,25.09,24.78,24.93,93556
2018-03-15,25.35,25.76,25.35,25.74,226364
2018-03-16,25.63,26.57,25.61,25.96,176178
2018-03-19,26.16,26.41,25.9,26.01,129878
2018-03-20,26.38,27.07,26.35,26.68,174184
2018-03-21,25.35,25.771,24.35,24.61,375483
2018-03-22,25.29,25.91,25.24,25.66,182609
2018-03-23,24.46,24.985,24.35,24.97,137395
2018-03-26,24.25,24.32,23.8032,24.22,171621
2018-03-27,24.72,25.22,24.72,25.05,175344
2018-03-28,25.79,26.3,25.75,26.12,197359
2018-03-29,26.4,26.429,25.78,25.83,187062
2018-04-02,24.82,24.861,24.17,24.46,192331
2018-04-03,25.17,25.61,25.1,25.41,142785
2018-04-04,25.88,26.19,25.5611,25.91,301252
2018-04-05,26.41,26.42,25.37,25.51,160174
2018-04-06,25.1,25.78,25.01,25.63,134401
2018-04-09,25.38,25.52,24.72,24.96,160200
2018-04-10,24.39,24.84,24.3,24.6,192795
2018-04-11,24.36,24.36,23.21,24.18,461016
2018-04-12,24.79,25.16,24.73,24.99,185098
2018-04-13,24.44,24.44,24.03,24.24,159393
2018-04-16,23.89,24.17,23.65,24.09,159160
2018-04-17,24.05,24.18,23.53,23.66,207885
2018-04-18,22.05,22.31,21.55,21.84,714325
2018-04-19,21.52,22.23,21.22,21.61,714030
2018-04-20,22.05,22.1583,21.78,22.09,400239
2018-04-23,23.54,24.15,23.46,24.03,813364
2018-04-24,23.95,23.9698,23.49,23.56,157456
2018-04-25,24.25,24.52,24.18,24.3,136796
2018-04-26,24.23,24.95,24.2187,24.52,317550
2018-04-27,24.6,24.89,24.429,24.51,116061
2018-04-30,25.82,26.03,24.89,25.46,259998
2018-05-01,25.9,26.75,25.78,26.21,260663
2018-05-02,25.07,25.4,24.42,25.17,717687
2018-05-03,24.48,25.06,24.38,24.95,610313
2018-05-04,25.13,25.18,24.58,24.59,202395
2018-05-07,24.8,24.93,24.5503,24.73,80603
2018-05-08,24.85,25.4482,24.5,24.7,156052
2018-05-09,24.51,24.66,24.06,24.64,151355
2018-05-10,23.67,23.87,23.4551,23.63,191113
2018-05-11,23.18,23.85,23.1276,23.79,207115
2018-05-14,23.92,24.58,23.83,24.52,201010
2018-05-15,25.69,25.94,25.47,25.59,239715
2018-05-16,25.57,25.66,24.9,25.13,151927
2018-05-17,24.73,24.89,24.57,24.83,155159
