date,open,high,low,close,volume
2018-01-16,,,,77.11,73
2018-01-29,73.57,73.57,73.55,73.55,788
2018-01-30,73.72,73.72,73.72,73.72,100
2018-01-31,,,,73.72,22
2018-02-01,73.43,73.43,73.43,73.43,100
2018-02-02,,,,73.43,73
2018-02-08,73.14,73.14,73.14,73.14,100
2018-02-09,73.11,73.11,73.11,73.11,100
2018-02-12,,,,73.11,3
2018-03-01,,,,73.11,10
2018-03-14,,,,73.11,94
2018-03-15,,,,73.11,70
2018-04-06,,,,73.11,2
2018-04-09,,,,73.11,2
2018-04-26,,,,73.11,75
2018-04-27,,,,73.11,10
2018-05-02,,,,73.11,7
2018-05-04,,,,73.11,76
2018-05-07,,,,73.11,1
2018-05-11,,,,73.11,10
