date,open,high,low,close,volume
2018-01-02,28.38,28.38,28.181,28.25,6535
2018-01-03,28.4025,28.602,28.4025,28.602,6559
2018-01-04,28.57,28.6731,28.57,28.6284,5232
2018-01-05,28.8099,28.88,28.7342,28.87,6299
2018-01-08,28.86,29.1799,28.821,29.0628,5134
2018-01-09,28.83,29.23,28.83,29.23,11748
2018-01-10,28.966,29.0722,28.966,29.0202,20366
2018-01-11,29.0,29.35,29.0,29.3188,213970
2018-01-12,29.34,29.66,29.34,29.63,9737
2018-01-16,29.7503,29.7503,29.1868,29.2752,12770
2018-01-17,29.32,29.66,29.2957,29.66,10014
2018-01-18,29.6592,29.76,29.57,29.67,6944
2018-01-19,29.93,30.02,29.7435,29.996,8247
2018-01-22,29.89,30.11,29.8101,30.11,6353
2018-01-23,30.1,30.1,30.1,30.1,349
2018-01-24,30.066,30.1,29.9295,30.0328,6145
2018-01-25,29.857,30.0,29.857,29.9295,1835
2018-01-26,29.95,30.12,29.95,30.12,4736
2018-01-29,30.09,30.09,30.0088,30.0088,4265
2018-01-30,29.7056,29.7849,29.6875,29.76,1942
2018-01-31,29.7994,29.7994,29.7,29.7,939
2018-02-01,29.49,29.93,29.49,29.685,35184
2018-02-02,29.69,29.69,28.99,28.99,11257
2018-02-05,28.88,29.085,28.08,28.08,6868
2018-02-06,27.66,28.37,27.18,28.31,5950
2018-02-07,28.388,28.645,28.36,28.548,15266
2018-02-08,28.49,28.49,27.5049,27.57,10564
2018-02-09,27.2599,27.76,26.91,27.76,7368
2018-02-12,27.94,28.31,27.7182,28.0108,15057
2018-02-13,28.05,28.353,28.01,28.34,4944
2018-02-14,28.43,28.7593,28.43,28.74,1707
2018-02-15,28.94,29.179,28.88,29.12,48481
2018-02-16,29.21,29.35,29.13,29.13,11221
2018-02-20,29.08,30.3141,28.92,28.92,12283
2018-02-21,29.06,29.5,28.92,28.92,10923
2018-02-22,29.0377,29.2,28.88,28.88,15593
2018-02-23,28.98,29.28,28.97,29.28,7279
2018-02-26,29.3932,29.619,29.3502,29.619,2511
2018-02-27,29.52,29.662,29.12,29.12,4574
2018-02-28,29.4,29.4,28.84,28.86,7447
2018-03-01,28.89,28.89,28.3628,28.47,7055
2018-03-02,28.2,28.96,28.15,28.96,13908
2018-03-05,28.55,29.0124,28.52,28.9608,4908
2018-03-06,28.97,29.289,28.97,29.271,5850
2018-03-07,29.19,29.495,29.1475,29.495,3774
2018-03-08,29.43,29.5288,29.33,29.42,7446
2018-03-09,29.58,29.9999,29.58,29.93,5666
2018-03-12,30.079,30.161,30.0,30.0,24008
2018-03-13,30.1811,30.1811,29.76,29.76,35443
2018-03-14,29.857,29.857,29.7617,29.81,5916
2018-03-15,29.81,29.81,29.6466,29.75,22326
2018-03-16,29.745,29.89,29.745,29.89,6279
2018-03-19,29.65,29.65,29.2504,29.49,10410
2018-03-20,29.42,29.82,29.42,29.82,5321
2018-03-21,29.611,29.9062,29.611,29.8393,5255
2018-03-22,29.3258,29.44,28.9128,28.94,12007
2018-03-23,28.725,28.8,28.2718,28.37,4755
2018-03-26,28.74,29.11,28.5599,29.11,9624
2018-03-27,29.05,29.19,28.2,28.32,18368
2018-03-28,28.69,28.69,28.05,28.21,9886
2018-03-29,28.18,28.6227,28.18,28.6227,3965
2018-04-02,28.54,28.54,27.6716,27.8493,12425
2018-04-03,27.94,28.2299,27.94,28.2,6532
2018-04-04,28.0,28.4828,27.9137,28.4828,4001
2018-04-05,28.62,28.7844,28.5742,28.74,4120
2018-04-06,28.7008,28.7008,27.9883,28.1,10258
2018-04-09,28.17,28.5054,28.02,28.02,9817
2018-04-10,28.53,28.71,28.42,28.65,5109
2018-04-11,28.5994,28.5994,28.4786,28.5231,2973
2018-04-12,28.8899,28.9956,28.8084,28.9,3386
2018-04-13,28.86,28.9318,28.492,28.5,13260
2018-04-16,28.82,28.99,28.7519,28.96,6019
2018-04-17,29.1612,29.317,29.1612,29.25,1421
2018-04-18,29.31,29.48,29.31,29.31,1908
2018-04-19,29.24,29.2744,29.15,29.15,7607
2018-04-20,29.08,29.2119,28.831,28.86,1728
2018-04-23,29.01,29.07,28.841,28.96,3185
2018-04-24,29.0508,29.0508,28.11,28.28,12084
2018-04-25,28.0288,28.4,28.0288,28.4,2513
2018-04-26,28.5267,28.586,28.5,28.586,2196
2018-04-27,28.7,28.71,28.44,28.4969,3172
2018-04-30,28.55,28.6312,28.28,28.28,23853
2018-05-01,28.07,28.27,28.01,28.25,3548
2018-05-02,28.4533,28.4556,28.26,28.26,3140
2018-05-03,28.25,28.29,27.9003,28.275,3002
2018-05-04,27.973,28.72,27.973,28.6029,4428
2018-05-07,28.42,28.8894,28.42,28.88,8670
2018-05-08,29.0816,29.16,29.05,29.05,1008
2018-05-09,29.1788,29.3888,29.07,29.255,7826
2018-05-10,29.5052,29.6001,29.5052,29.6001,1867
2018-05-11,29.73,29.73,29.5801,29.595,6188
2018-05-14,29.68,29.785,29.495,29.57,8211
2018-05-15,29.67,29.67,29.34,29.41,8436
2018-05-16,29.7,29.83,29.6584,29.6812,4771
2018-05-17,29.7448,29.831,29.72,29.804,4640
