date,open,high,low,close,volume
2018-03-08,9.75,9.75,9.75,9.75,50000
2018-03-09,9.85,9.85,9.85,9.85,100
2018-03-12,9.85,9.85,9.85,9.85,570
2018-04-16,9.8,9.85,9.8,9.85,503180
2018-04-18,9.6,9.6,9.6,9.6,100
2018-04-24,9.8,9.85,9.8,9.85,16900
2018-04-25,9.802,9.85,9.802,9.85,609
2018-04-26,9.85,11.82,9.85,9.85,4450
2018-04-30,10.0,10.0,9.84,9.87,1800
2018-05-01,9.95,9.95,9.95,9.95,100
2018-05-03,9.815,9.815,9.815,9.815,700
2018-05-07,9.8,9.876,9.8,9.876,800
2018-05-09,,,,9.876,299999
2018-05-10,9.8,9.86,9.705,9.86,12900
2018-05-11,9.85,9.85,9.8,9.84,13900
2018-05-14,9.9,9.9,9.8,9.8,10162
2018-05-15,9.8,9.83,9.8,9.8,2330
2018-05-16,9.8,9.8,9.7495,9.7495,930
