symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
ELON,2017-07-10,5.1292,5.2586,False,5.0500,5.1844,reg,51349
ELON,2017-07-11,5.0700,5.2200,False,5.0500,5.1100,reg,52067
ELON,2017-07-12,5.2000,5.4000,False,5.0800,5.0800,reg,16823
ELON,2017-07-13,5.1600,5.2500,False,5.0900,5.2200,reg,18723
ELON,2017-07-14,5.0000,5.0900,False,4.9000,5.0900,reg,20418
ELON,2017-07-17,5.0500,5.0800,False,5.0000,5.0400,reg,16316
ELON,2017-07-18,4.9700,5.1000,False,4.8600,5.0500,reg,21039
ELON,2017-07-19,4.9700,5.0600,False,4.8700,4.9600,reg,16171
ELON,2017-07-20,4.9300,4.9800,False,4.8200,4.9800,reg,21281
ELON,2017-07-21,4.8399,5.0200,False,4.7000,4.9866,reg,39405
ELON,2017-07-24,4.8800,4.9800,False,4.8000,4.8100,reg,7546
ELON,2017-07-25,4.9900,5.3100,False,4.8400,4.8400,reg,40269
ELON,2017-07-26,5.1500,5.2900,False,4.9336,4.9336,reg,31709
ELON,2017-07-27,5.2300,5.3294,False,5.1300,5.1700,reg,12877
ELON,2017-07-28,5.2400,5.3100,False,5.1200,5.2400,reg,6320
ELON,2017-07-31,5.2900,5.3100,False,5.1000,5.2900,reg,6551
ELON,2017-08-01,5.3300,5.3600,False,5.2000,5.2000,reg,1928
ELON,2017-08-02,5.1300,5.3600,False,5.0504,5.3600,reg,6268
ELON,2017-08-03,5.0600,5.1700,False,4.9800,5.0800,reg,5777
ELON,2017-08-04,5.1800,5.1900,False,5.1175,5.1347,reg,4347
ELON,2017-08-07,5.2200,5.4600,False,5.0882,5.4600,reg,26372
ELON,2017-08-08,5.1201,5.3200,False,5.1100,5.2200,reg,5824
ELON,2017-08-09,5.0400,5.3053,False,5.0301,5.3000,reg,26631
ELON,2017-08-10,4.8200,5.0350,False,4.6699,5.0000,reg,36639
ELON,2017-08-11,4.8400,4.9800,False,4.7500,4.8700,reg,50683
ELON,2017-08-14,4.9000,4.9300,False,4.8100,4.8100,reg,1632
ELON,2017-08-15,4.9600,5.0999,False,4.7600,4.8200,reg,22779
ELON,2017-08-16,4.8800,5.4300,False,4.7500,5.1500,reg,24338
ELON,2017-08-17,4.8200,4.9700,False,4.8200,4.8441,reg,5801
ELON,2017-08-18,4.8100,4.8300,False,4.7600,4.8000,reg,6095
ELON,2017-08-21,4.6400,4.8298,False,4.5800,4.8100,reg,42308
ELON,2017-08-22,4.6900,4.8300,False,4.6400,4.6600,reg,33853
ELON,2017-08-23,4.7700,4.8000,False,4.6826,4.7891,reg,12518
ELON,2017-08-24,4.6800,4.8000,False,4.6800,4.7200,reg,14784
ELON,2017-08-25,4.6400,4.7300,False,4.6000,4.6400,reg,22377
ELON,2017-08-28,4.5300,4.6500,False,4.5300,4.6500,reg,19233
ELON,2017-08-29,4.5700,4.6900,False,4.5201,4.6000,reg,49318
ELON,2017-08-30,4.6200,4.6700,False,4.6200,4.6300,reg,18471
ELON,2017-08-31,4.6300,4.8700,False,4.6300,4.6400,reg,11557
ELON,2017-09-01,4.6900,4.8307,False,4.6100,4.6100,reg,13785
ELON,2017-09-05,4.5300,4.8400,False,4.4600,4.7000,reg,6310
ELON,2017-09-06,4.5400,4.6800,False,4.4600,4.5600,reg,13612
ELON,2017-09-07,4.4300,4.6500,False,4.4200,4.5600,reg,17650
ELON,2017-09-08,4.3880,4.4800,False,4.3880,4.4600,reg,4111
ELON,2017-09-11,4.3500,4.5000,False,4.3481,4.4000,reg,2209
ELON,2017-09-12,4.3300,4.4500,False,4.2585,4.3300,reg,7533
ELON,2017-09-13,4.3000,4.3800,False,4.3000,4.3700,reg,23709
