date,open,high,low,close,volume
2018-01-02,71.843,72.1541,71.7937,71.7937,3654
2018-01-03,72.442,72.4647,71.8627,71.8803,6560
2018-01-04,72.07,72.4025,71.95,72.3858,3523
2018-01-05,71.8894,72.371,71.8894,72.3441,3346
2018-01-08,72.2969,72.406,71.8726,72.1539,9478
2018-01-09,71.9347,72.2871,71.9347,72.2871,490
2018-01-10,72.2476,72.2833,71.7936,72.0502,23867
2018-01-11,72.0609,72.3822,72.0413,72.2476,2701
2018-01-12,72.0502,72.0865,71.9615,71.9615,1366
2018-01-16,72.2673,72.3266,71.9417,72.3266,1414
2018-01-17,72.6226,72.6522,71.9219,72.6522,19672
2018-01-18,72.0019,72.3102,72.0019,72.3102,1104
2018-01-19,72.2423,72.2423,71.9318,71.9318,628
2018-01-22,72.0456,72.0601,71.8134,72.0108,3265
2018-01-23,71.9761,72.0652,71.9761,72.0652,685
2018-01-24,72.0435,72.5603,71.9824,72.1048,4034
2018-01-25,72.0355,72.6415,71.9129,72.1345,2542
2018-01-26,72.0751,72.0751,71.8722,71.8722,374
2018-01-29,72.2067,72.5602,72.0442,72.0442,1416
2018-01-30,71.9801,72.1259,71.8682,72.0058,999
2018-01-31,72.1917,72.58,71.9781,72.3722,746
2018-02-01,72.4316,72.4316,72.0787,72.0787,591
2018-02-02,72.0256,72.1328,71.7088,71.8969,4040
2018-02-05,71.8177,72.0559,71.7231,71.7665,1380
2018-02-06,71.7088,72.0751,71.5217,71.5217,7633
2018-02-07,71.4911,72.0169,71.4911,71.9435,8891
2018-02-08,71.8624,71.8624,71.727,71.727,656
2018-02-09,71.2435,71.4603,71.0198,71.4603,2170
2018-02-12,70.8772,70.9168,70.8772,70.897,2188
2018-02-13,71.5661,71.5801,70.9188,71.0851,4494
2018-02-14,70.9168,71.4405,70.6891,70.6891,791
2018-02-15,71.2405,71.2405,71.2405,71.2405,537
2018-02-16,71.1844,71.1844,70.8911,70.897,4682
2018-02-20,70.8225,71.5675,70.8225,71.5675,7276
2018-02-21,70.9083,71.6171,70.9083,71.6171,1108
2018-02-22,71.1006,71.5973,71.1006,71.4755,923
2018-02-23,71.2397,71.5711,71.2397,71.5711,767
2018-02-26,71.2803,71.2803,71.1968,71.1968,464
2018-02-27,71.2397,71.2397,70.9914,71.051,1636
2018-02-28,71.7016,71.7016,71.2199,71.2199,603
2018-03-01,71.169,71.169,71.169,71.169,611
2018-03-02,71.2585,71.2585,71.2585,71.2585,177
2018-03-05,71.1404,71.5079,71.1404,71.5079,75646
2018-03-06,71.1971,71.1971,71.1971,71.1971,389
2018-03-07,71.1776,71.2294,70.9318,71.1205,2078
2018-03-08,71.2,71.2445,70.8742,71.2445,685
2018-03-09,71.6668,71.6668,70.9517,71.2894,814
2018-03-12,71.2,71.2,71.002,71.002,652
2018-03-13,71.7364,71.7364,71.3238,71.3238,365
2018-03-14,71.2596,71.2695,70.952,71.0048,1498
2018-03-15,70.7432,70.9553,70.7432,70.9553,922
2018-03-16,71.0609,71.0609,71.0609,71.0609,334
2018-03-19,71.1602,71.2751,70.6735,70.6735,7160
2018-03-20,70.9974,70.9974,70.6057,70.6057,1544
2018-03-21,70.9775,70.9775,70.3697,70.6686,1606
2018-03-22,,,,70.6686,373
2018-03-23,70.3099,70.6686,70.3099,70.4892,31987
2018-03-26,70.808,70.808,70.808,70.808,315
2018-03-27,70.6187,70.6187,70.6187,70.6187,324
2018-03-28,70.8878,70.8878,70.5214,70.5214,2452
2018-03-29,70.7682,70.7682,70.4892,70.7682,2164
2018-04-02,71.0273,71.0273,70.4693,70.7483,1450
2018-04-03,,,,70.7483,167
2018-04-04,71.0672,71.1569,70.6705,70.6705,979
2018-04-05,,,,70.6705,116
2018-04-06,70.8081,70.9576,70.7383,70.9576,10866
2018-04-09,71.0772,71.0772,70.6088,70.7084,74447
2018-04-10,70.7582,70.7582,70.6287,70.7416,1517
2018-04-11,,,,70.7416,224
2018-04-12,70.539,70.539,70.539,70.539,262
2018-04-13,70.6525,70.6525,70.6525,70.6525,439
2018-04-16,,,,70.6525,301
2018-04-17,70.6486,70.6486,70.6486,70.6486,498
2018-04-18,70.8978,70.8978,70.4094,70.4194,1726
2018-04-19,70.6207,70.6207,70.3098,70.4105,1236
2018-04-20,70.3849,70.6686,70.24,70.5759,2184
2018-04-23,70.4493,70.4493,70.1304,70.2493,2728
2018-04-24,70.4782,70.4782,70.3089,70.3089,688
2018-04-25,70.35,70.35,70.148,70.1665,11415
2018-04-26,70.3,70.45,70.12,70.45,2384
2018-04-27,70.1801,70.43,70.1801,70.43,996
2018-04-30,70.41,70.41,70.13,70.13,1325
2018-05-01,69.9804,70.24,69.9804,70.24,1878
2018-05-02,69.9608,69.9608,69.531,69.531,938
2018-05-03,69.98,69.98,69.7064,69.89,3972
2018-05-04,69.3094,69.79,69.3094,69.79,3274
2018-05-07,69.64,69.65,69.61,69.63,8524
2018-05-08,69.29,69.4656,68.97,69.4656,6270
2018-05-09,69.55,69.55,69.2653,69.5022,749
2018-05-10,69.6691,69.6691,69.6691,69.6691,296
2018-05-11,69.6773,69.6773,69.6773,69.6773,471
2018-05-14,69.5,69.9499,69.5,69.88,1668
2018-05-15,69.2883,69.72,69.2883,69.7,3566
2018-05-16,69.0,69.13,69.0,69.0,939
2018-05-17,69.59,69.6899,69.0589,69.3,3658
