date,open,high,low,close,volume
2018-01-02,12.6,12.8,12.35,12.8,360150
2018-01-03,12.9,13.3,12.775,12.95,341062
2018-01-04,12.95,13.35,12.4,13.2,413701
2018-01-05,13.3,14.55,13.225,14.4,760151
2018-01-08,14.4,14.75,13.0,13.05,745702
2018-01-09,13.05,13.325,12.4,12.5,384685
2018-01-10,13.9,15.0,13.0,14.9,784608
2018-01-11,15.35,15.7,14.3,15.55,812870
2018-01-12,15.55,15.75,14.6,14.85,482600
2018-01-16,15.0,15.1415,13.95,13.95,627138
2018-01-17,14.1,14.95,14.1,14.925,512767
2018-01-18,14.95,15.15,14.65,14.9,378727
2018-01-19,14.9,15.325,14.5,15.25,337733
2018-01-22,15.4,16.4,15.25,16.4,666759
2018-01-23,16.65,16.75,15.8624,16.45,508572
2018-01-24,16.65,17.95,16.25,17.15,418262
2018-01-25,17.4,17.65,16.75,16.9,473976
2018-01-26,16.9,17.35,16.5,16.6,317266
2018-01-29,16.6,17.0,16.25,16.9,435776
2018-01-30,16.6,17.55,16.2,17.25,424936
2018-01-31,17.3,17.3,16.0,16.15,427479
2018-02-01,16.45,16.725,15.95,16.45,1080693
2018-02-02,16.4,17.35,16.275,16.85,373520
2018-02-05,16.8,17.25,16.0,16.6,578917
2018-02-06,16.3,16.95,15.6,16.5,420085
2018-02-07,16.35,16.9481,16.1,16.7,213134
2018-02-08,16.8,17.15,15.9,15.9,344768
2018-02-09,16.0,16.2,14.95,16.0,496236
2018-02-12,16.05,17.15,15.8,16.8,442880
2018-02-13,16.8,17.5,16.4,17.45,285453
2018-02-14,17.3,19.3,17.15,19.0,526609
2018-02-15,19.3,19.75,18.55,18.65,444202
2018-02-16,18.45,18.85,18.05,18.15,300850
2018-02-20,18.0,18.45,17.6,17.8,315203
2018-02-21,17.85,18.25,17.3,17.35,319752
2018-02-22,17.5,17.65,16.95,17.1,196133
2018-02-23,17.15,17.65,16.55,17.6,222282
2018-02-26,17.65,18.25,17.55,17.85,177523
2018-02-27,17.8,18.0,17.35,17.4,129090
2018-02-28,17.4,17.95,17.2,17.7,395866
2018-03-01,17.45,17.8,17.1,17.65,422800
2018-03-02,17.45,17.85,17.35,17.7,430418
2018-03-05,17.75,18.25,17.35,17.5,351541
2018-03-06,17.6,17.85,16.95,17.35,413437
2018-03-07,17.15,17.3,16.75,17.1,462001
2018-03-08,17.25,17.6,16.7,17.6,341208
2018-03-09,17.6,18.15,17.05,18.1,402825
2018-03-12,18.3,18.75,17.9,18.45,428423
2018-03-13,18.85,21.4,17.95,19.05,1032102
2018-03-14,19.7,20.059,19.1,19.65,552431
2018-03-15,19.85,20.55,19.3,19.75,579501
2018-03-16,19.75,20.225,18.55,18.75,1204379
2018-03-19,18.6,19.0,18.25,18.65,425486
2018-03-20,18.55,19.4,18.35,19.0,423813
2018-03-21,18.9,19.35,18.8,19.3,233511
2018-03-22,19.15,19.5,18.8,18.85,313071
2018-03-23,18.8,19.2,18.55,18.55,246979
2018-03-26,18.8,19.45,18.4,19.25,384417
2018-03-27,19.25,19.55,17.75,17.8,320386
2018-03-28,17.85,17.95,16.9,17.6,441698
2018-03-29,17.85,18.05,17.3,17.75,371107
2018-04-02,17.65,17.9,16.5,16.65,335217
2018-04-03,16.85,17.3,16.3,16.95,262634
2018-04-04,16.7,17.45,16.65,17.2,332802
2018-04-05,17.15,17.15,15.9,16.35,566525
2018-04-06,16.0,16.3,14.7,14.85,514308
2018-04-09,15.0,15.22,13.7,13.775,549826
2018-04-10,14.05,15.15,13.75,15.15,718229
2018-04-11,15.0,16.275,14.9,16.1,545329
2018-04-12,16.25,16.6,15.65,15.8,298387
2018-04-13,15.8,15.8,15.25,15.55,179350
2018-04-16,15.7,16.25,15.5,15.9,236063
2018-04-17,16.0,16.75,15.95,16.65,197666
2018-04-18,16.6,16.9,16.35,16.55,146958
2018-04-19,16.65,16.845,16.0,16.05,194815
2018-04-20,16.0,16.2,15.6,15.85,218882
2018-04-23,15.95,16.35,15.2,15.3,467531
2018-04-24,13.1,13.75,12.562,13.0,2277063
2018-04-25,13.1,13.75,12.65,13.45,441697
2018-04-26,13.4,13.75,13.1545,13.4,222779
2018-04-27,13.4,13.65,13.05,13.15,171680
2018-04-30,13.25,13.7955,12.75,12.85,373719
2018-05-01,12.85,13.9,12.8,13.9,417895
2018-05-02,13.8,14.2,13.2,13.8,265395
2018-05-03,13.75,14.1,13.25,13.4,248565
2018-05-04,13.4,13.95,13.3,13.7,286780
2018-05-07,13.75,14.05,13.6,13.75,166476
2018-05-08,13.8,14.25,13.2,14.2,420060
2018-05-09,14.4,16.0,14.35,15.4,664259
2018-05-10,15.45,15.55,14.7,14.9,242066
2018-05-11,14.85,15.7,14.8,15.65,307577
2018-05-14,15.7,16.1,15.5,16.0,334962
2018-05-15,15.9,15.9,15.3,15.8,328399
2018-05-16,15.7,16.4,15.35,16.25,545152
2018-05-17,16.25,17.35,16.2,16.95,1119532
