date,open,high,low,close,volume
2018-01-02,137.0058,137.3246,134.7142,135.2921,80812
2018-01-03,134.9035,134.9832,133.419,134.0168,63144
2018-01-04,134.1762,134.6046,133.7278,134.2858,33705
2018-01-05,134.3356,135.2821,134.3356,134.9334,67035
2018-01-08,133.7378,134.2559,133.3193,133.5086,27477
2018-01-09,133.7278,133.7876,132.7713,132.8112,33246
2018-01-10,132.5223,132.5223,131.1274,131.4761,41431
2018-01-11,131.6256,132.4027,131.1473,131.8846,23557
2018-01-12,132.0141,132.7713,130.6292,130.6292,19851
2018-01-16,138.5102,139.2674,133.7577,134.6146,202419
2018-01-17,137.8028,140.9712,137.2349,140.5427,72130
2018-01-18,140.6424,141.2003,138.2811,138.4205,34754
2018-01-19,139.3372,139.8985,137.8925,138.6796,23385
2018-01-22,138.4903,138.9337,137.215,138.57,28914
2018-01-23,140.1243,140.3036,137.1254,137.7729,28722
2018-01-24,137.5537,139.4458,137.4541,138.3309,29116
2018-01-25,140.5328,140.6822,138.5401,139.2475,21213
2018-01-26,138.7792,140.483,137.6354,140.3734,23758
2018-01-29,144.0897,145.8931,143.8804,145.5842,51552
2018-01-30,148.8422,150.1673,148.1248,148.3241,58050
2018-01-31,150.6455,151.3529,148.7924,149.2407,67387
2018-02-01,148.8023,150.2171,148.7525,149.0116,30280
2018-02-02,148.354,149.1734,146.6004,146.8794,31952
2018-02-05,142.5155,144.0797,138.9785,139.6161,77913
2018-02-06,138.6298,140.0446,137.6535,139.656,53301
2018-02-07,138.8988,139.9105,138.022,138.0918,43784
2018-02-08,144.279,145.1358,140.483,140.7719,45507
2018-02-09,141.7284,141.9775,137.9164,141.8679,45634
2018-02-12,145.0063,145.1158,142.4031,144.279,43480
2018-02-13,143.1631,147.3178,141.6619,146.9591,73812
2018-02-14,145.8133,149.171,145.624,148.3141,40765
2018-02-15,148.892,149.171,147.1584,148.6031,30000
2018-02-16,149.4001,149.4001,148.4536,148.5931,10887
2018-02-20,146.0226,147.8259,145.5344,147.1185,31996
2018-02-21,144.3886,145.4646,143.731,143.8207,49714
2018-02-22,144.1793,144.538,143.6015,144.3687,22542
2018-02-23,145.0163,145.5842,143.6911,145.3451,20652
2018-02-26,143.9402,144.817,143.472,144.4185,25689
2018-02-27,143.1232,143.6812,142.3242,143.2129,39939
2018-02-28,144.1096,144.4683,142.9439,143.4819,23096
2018-03-01,144.1594,144.1594,139.9848,140.6324,35929
2018-03-02,140.9811,142.1767,140.0894,142.1668,20722
2018-03-05,139.0183,139.6959,138.58,139.0582,38616
2018-03-06,137.9722,138.0868,136.5674,137.0556,24764
2018-03-07,137.4242,137.4242,135.7902,137.2748,24782
2018-03-08,136.5773,136.5773,134.1762,135.2921,31821
2018-03-09,135.9795,136.6172,135.5113,136.5973,24154
2018-03-12,140.1243,140.1442,137.5039,137.9025,28270
2018-03-13,139.3671,139.8154,137.1901,137.4342,31798
2018-03-14,138.9087,138.9087,136.7069,137.4242,22901
2018-03-15,137.215,137.8327,136.0094,136.4877,27348
2018-03-16,136.5873,136.9759,136.1489,136.6371,22659
2018-03-19,134.6943,135.8899,134.3356,135.581,54965
2018-03-20,133.4289,133.5285,126.1756,132.8112,91079
2018-03-21,130.1211,131.902,129.4336,131.1971,76636
2018-03-22,129.3838,129.4237,126.9827,127.1819,40188
2018-03-23,127.3812,128.6654,126.5841,127.0723,41206
2018-03-26,124.452,124.99,122.3397,123.9837,66595
2018-03-27,123.6051,123.7844,120.6759,121.2737,67825
2018-03-28,120.5164,120.5164,118.1651,119.0718,80746
2018-03-29,119.7094,121.7519,119.1554,121.1242,59209
2018-04-02,121.2737,122.0707,118.8625,119.9784,23833
2018-04-03,120.7854,120.7854,118.5919,119.9386,57667
2018-04-04,114.9071,118.8725,113.1718,118.5038,100530
2018-04-05,118.2747,119.9086,118.2747,119.56,43850
2018-04-06,119.01,119.549,115.8,116.64,42986
2018-04-09,117.0,117.65,115.58,115.61,51364
2018-04-10,116.23,117.25,115.74,116.31,48681
2018-04-11,117.69,120.98,117.69,120.46,117317
2018-04-12,123.63,123.63,122.04,122.86,53271
2018-04-13,123.2,124.729,122.23,122.86,35637
2018-04-16,126.31,126.37,125.06,125.5,48625
2018-04-17,125.74,125.94,124.04,124.1,26093
2018-04-18,124.05,124.94,123.8883,124.28,18283
2018-04-19,124.74,124.74,123.63,124.2,16317
2018-04-20,124.15,124.15,123.08,123.61,17599
2018-04-23,124.76,125.03,123.071,123.91,20404
2018-04-24,123.12,123.59,119.5,120.88,33120
2018-04-25,122.59,122.59,121.05,121.38,23973
2018-04-26,120.98,121.05,119.61,119.61,15968
2018-04-27,120.3,120.3,117.92,118.82,32977
2018-04-30,117.59,117.67,115.37,115.62,36014
2018-05-01,117.46,117.46,115.72,117.02,35709
2018-05-02,115.88,115.88,113.88,114.0,47054
2018-05-03,114.56,114.75,112.61,113.61,44532
2018-05-04,113.03,116.115,113.0,115.24,22427
2018-05-07,115.2,115.76,114.745,115.44,21837
2018-05-08,114.11,114.39,111.3,112.57,80583
2018-05-09,114.94,114.949,114.0,114.27,68089
2018-05-10,115.0,115.0,111.53,111.72,77299
2018-05-11,111.91,112.391,111.53,111.95,60894
2018-05-14,112.9,114.1974,112.16,113.49,49889
2018-05-15,113.36,113.4957,111.49,112.0,63376
2018-05-16,111.87,112.22,111.051,111.47,51793
2018-05-17,111.78,112.83,111.01,111.6,54651
