date,open,high,low,close,volume
2018-01-02,0.1001,0.1499,0.1001,0.1499,6100
2018-01-03,0.1497,0.1497,0.1497,0.1497,1000
2018-01-08,0.1315,0.1497,0.1315,0.1497,1500
2018-01-09,0.1206,0.1497,0.1206,0.1497,11237
2018-01-10,0.1499,0.15,0.1492,0.1493,668
2018-01-11,0.15,0.15,0.1206,0.1206,12400
2018-01-12,0.0704,0.1499,0.0704,0.14,1500
2018-01-16,0.09,0.21,0.09,0.2098,9737
2018-01-17,0.169,0.19,0.1201,0.1897,3400
2018-01-18,0.19,0.19,0.154,0.174,5930
2018-01-19,0.19,0.19,0.18,0.18,200
2018-01-22,0.1503,0.165,0.1503,0.165,2642
2018-01-24,0.1401,0.19,0.1401,0.19,400
2018-01-26,0.1501,0.1899,0.1501,0.1896,760
2018-01-29,0.16,0.17,0.16,0.17,200
2018-02-02,0.1415,0.1797,0.1415,0.1797,660
2018-02-05,0.0999,0.0999,0.059,0.0799,64899
2018-02-06,0.0998,0.0999,0.08,0.0868,7386
2018-02-07,0.09,0.09,0.06,0.075,34230
2018-02-08,0.0997,0.0999,0.0601,0.0979,8200
2018-02-09,0.0624,0.0897,0.0513,0.0897,3000
2018-02-12,0.08,0.08,0.053,0.08,12211
2018-02-13,0.08,0.08,0.08,0.08,4833
2018-02-14,0.1,0.113,0.085,0.0999,12400
2018-02-15,0.1,0.105,0.09,0.09,36351
2018-02-16,0.12,0.12,0.1,0.1,6980
2018-02-20,0.09,0.09,0.09,0.09,6282
2018-02-23,0.12,0.12,0.11,0.11,3100
2018-02-26,0.09,0.09,0.09,0.09,100
2018-02-27,0.0608,0.1,0.0608,0.1,2100
2018-02-28,0.09,0.09,0.09,0.09,400
2018-03-02,0.1,0.1,0.1,0.1,100
2018-03-05,0.09,0.09,0.09,0.09,1100
2018-03-14,0.09,0.09,0.09,0.09,1750
2018-03-15,0.09,0.09,0.09,0.09,288
2018-03-22,0.09,0.09,0.09,0.09,10000
2018-03-26,0.088,0.088,0.088,0.088,1112
2018-03-28,0.09,0.09,0.09,0.09,1000
2018-03-29,0.09,0.09,0.09,0.09,3000
2018-04-02,0.0304,0.0896,0.0225,0.0896,3100
2018-04-03,0.06,0.06,0.06,0.06,300
2018-04-04,0.0984,0.0984,0.0984,0.0984,100
2018-04-05,0.0984,0.0984,0.0984,0.0984,247
2018-04-06,0.11,0.11,0.1,0.1,1558
2018-04-10,0.0997,0.12,0.0997,0.12,2405
2018-04-11,0.138,0.15,0.03,0.11,6450
2018-04-12,,,,0.11,1
2018-04-16,0.035,0.1,0.035,0.1,600
2018-04-17,0.0304,0.0999,0.0304,0.0999,3100
2018-04-19,0.1,0.11,0.03,0.09,6200
2018-04-20,0.0897,0.09,0.0897,0.09,4000
2018-04-30,,,,0.09,160
2018-05-02,,,,0.09,40
2018-05-10,0.0351,0.08,0.035,0.08,3400
2018-05-15,0.055,0.08,0.055,0.08,300
2018-05-16,0.036,0.08,0.035,0.08,5660
