date,open,high,low,close,volume
2018-01-02,30.8003,30.8003,30.41,30.62,28321
2018-01-03,30.7966,31.05,30.7966,31.05,1856
2018-01-04,30.92,31.28,30.83,31.1019,31945
2018-01-05,31.05,31.46,30.96,31.23,22976
2018-01-08,32.08,32.3,31.7762,32.2,28151
2018-01-09,32.05,32.234,31.731,31.79,25838
2018-01-10,32.1564,32.38,32.0787,32.18,1842
2018-01-11,31.76,32.3518,31.76,32.24,5062
2018-01-12,32.03,32.83,32.03,32.83,4035
2018-01-16,32.3967,32.54,32.0,32.54,19936
2018-01-17,32.505,32.6697,32.06,32.61,2685
2018-01-18,32.56,32.5977,32.48,32.5977,2054
2018-01-19,33.26,33.3943,33.0853,33.3943,2366
2018-01-22,33.4,33.76,33.3128,33.76,3843
2018-01-23,33.51,33.88,33.4,33.64,3016
2018-01-24,34.0535,34.1518,33.8597,34.1518,2167
2018-01-25,34.32,34.35,34.0594,34.1209,5513
2018-01-26,34.21,34.79,34.21,34.6,5416
2018-01-29,34.24,34.38,33.811,34.38,59059
2018-01-30,33.35,33.5303,33.1071,33.2664,48866
2018-01-31,33.87,34.3432,33.48,33.48,3287
2018-02-01,33.21,33.5698,32.9718,32.9718,2558
2018-02-02,33.42,33.6627,32.91,32.91,5345
2018-02-05,33.38,33.415,31.96,32.1041,5140
2018-02-06,31.21,32.8655,31.21,32.6,14654
2018-02-07,31.0,31.55,30.67,30.67,7799
2018-02-08,30.55,30.55,29.32,29.32,2279
2018-02-09,29.24,29.619,28.5219,28.5219,5460
2018-02-12,30.2999,30.4,29.6284,30.4,1444
2018-02-13,29.91,30.57,29.9,30.4194,4165
2018-02-14,30.43,31.1185,30.43,30.8,1463
2018-02-15,31.9972,31.9972,31.5,31.5,635
2018-02-16,31.8331,31.8331,31.79,31.79,549
2018-02-20,31.27,31.27,31.12,31.122,2359
2018-02-21,31.8694,32.07,31.8694,32.07,2068
2018-02-22,31.84,31.9806,31.7,31.9,14256
2018-02-23,32.13,32.5399,32.0193,32.25,14650
2018-02-26,32.3057,32.8345,32.3057,32.8164,2572
2018-02-27,32.19,32.19,31.18,31.365,1073
2018-02-28,31.4,31.4,30.9575,31.306,5909
2018-03-01,31.3442,31.3442,31.3442,31.3442,420
2018-03-02,31.2,31.2,30.35,31.0,7355
2018-03-05,30.5229,30.6299,30.5229,30.6299,854
2018-03-06,31.005,31.49,31.005,31.4103,1811
2018-03-07,30.48,31.11,30.48,31.11,1457
2018-03-08,30.821,30.821,30.821,30.821,1071
2018-03-09,31.63,31.63,31.291,31.291,560
2018-03-12,32.13,32.16,31.6887,31.6887,3446
2018-03-13,31.4835,31.68,31.4835,31.68,657
2018-03-14,31.4829,31.7353,31.221,31.6,2423
2018-03-15,31.859,31.859,31.3,31.3,2290
2018-03-16,31.7342,31.9076,31.7342,31.9076,739
2018-03-19,31.1743,31.432,31.1743,31.432,2281
2018-03-20,31.69,32.0999,31.66,32.0739,3088
2018-03-21,31.76,32.11,31.7334,32.11,2482
2018-03-22,31.2,31.2,31.2,31.2,599
2018-03-23,30.51,30.51,29.57,29.57,2003
2018-03-26,30.47,30.9,30.47,30.9,5334
2018-03-27,31.5,31.5,30.92,30.94,2482
2018-03-28,30.2709,30.2709,30.2709,30.2709,254
2018-03-29,30.98,30.99,30.552,30.552,937
2018-04-02,30.4701,30.4701,30.04,30.081,1842
2018-04-03,30.909,30.909,30.42,30.6303,784
2018-04-04,30.8922,30.8922,30.8922,30.8922,1227
2018-04-05,,,,30.8922,1
2018-04-06,30.78,31.0762,30.7301,31.0762,2076
2018-04-09,30.62,30.62,30.62,30.62,150
2018-04-10,31.85,31.85,31.282,31.56,2777
2018-04-11,31.959,31.959,31.5552,31.5552,357
2018-04-12,31.558,31.558,31.558,31.558,404
2018-04-13,31.4,31.7343,31.4,31.605,3534
2018-04-16,30.98,31.13,30.98,31.08,1224
2018-04-17,31.12,31.12,30.53,31.1,3367
2018-04-18,30.51,30.5881,30.3118,30.3118,780
2018-04-19,30.7673,30.97,30.7673,30.97,633
2018-04-20,30.4,30.4,30.2518,30.3786,9089
2018-04-23,30.5,30.55,30.1,30.55,524
2018-04-24,30.9,30.9,30.9,30.9,320
2018-04-25,30.5636,30.9,30.5013,30.728,2172
2018-04-26,30.82,30.86,30.8,30.86,452
2018-04-27,30.8,31.06,30.8,31.06,713
2018-04-30,31.36,31.36,31.36,31.36,202
2018-05-01,30.85,30.85,30.13,30.45,1534
2018-05-02,30.95,30.95,30.4,30.7951,1676
2018-05-03,30.47,30.47,30.47,30.47,245
2018-05-04,30.5935,30.5935,30.5935,30.5935,174
2018-05-07,30.999,31.0,30.6968,30.7597,829
2018-05-08,31.0,31.28,30.9399,31.28,3004
2018-05-09,31.0,31.48,31.0,31.3626,4288
2018-05-10,31.7923,31.959,31.34,31.959,1881
2018-05-11,31.95,31.97,31.95,31.97,1073
2018-05-14,32.0,32.44,32.0,32.2769,25632
2018-05-15,32.13,32.13,31.8903,31.8903,718
2018-05-16,32.2803,32.46,32.25,32.46,1475
2018-05-17,32.32,32.35,32.1957,32.1957,2122
