date,open,high,low,close,volume
2018-01-02,1.0,1.05,0.94,0.98,32835
2018-01-03,1.0,1.05,1.0,1.02,47253
2018-01-04,0.9908,1.05,0.98,1.05,20321
2018-01-05,1.0,1.04,0.96,0.96,17150
2018-01-08,1.0,1.01,0.88,0.91,46774
2018-01-09,0.948,0.948,0.9,0.9,27294
2018-01-10,0.9,0.94,0.86,0.9,48996
2018-01-11,0.93,0.945,0.9239,0.94,6703
2018-01-12,0.94,0.9649,0.888176,0.94,15214
2018-01-16,0.92,0.95,0.9,0.94,22781
2018-01-17,0.9381,0.95,0.88,0.94,33013
2018-01-18,0.95,0.96,0.88,0.92,18756
2018-01-19,0.96,0.965,0.91,0.91,1116
2018-01-22,0.91,0.9155,0.84,0.89,70728
2018-01-23,0.89,0.89,0.84,0.8641,27128
2018-01-24,0.86,0.905319,0.8599,0.8799,35684
2018-01-25,0.86,0.89,0.8402,0.87,5007
2018-01-26,0.8883,0.89,0.87,0.880559,7637
2018-01-29,0.89,0.89,0.84,0.8449,14209
2018-01-30,0.831,0.88,0.831,0.88,12826
2018-01-31,0.87,0.9246,0.85,0.86,21979
2018-02-01,0.8403,0.89,0.8403,0.86,8225
2018-02-02,0.8401,0.9,0.83,0.9,24301
2018-02-05,0.9,0.9341,0.8392,0.8811,16125
2018-02-06,0.9251,0.95,0.89,0.92,5891
2018-02-07,0.9,0.9451,0.89,0.8901,11406
2018-02-08,0.89,0.9399,0.89,0.93,5233
2018-02-09,0.8903,0.9082,0.89,0.89,8884
2018-02-12,0.92,0.93,0.92,0.93,928
2018-02-13,0.93,0.93,0.89,0.92,2709
2018-02-14,0.9,0.9073,0.8901,0.8999,2585
2018-02-15,0.9,0.9,0.85,0.86,21382
2018-02-16,0.8946,0.95,0.8601,0.94,4535
2018-02-20,0.93,0.93,0.9195,0.9195,1976
2018-02-21,0.93,0.93,0.92,0.93,1789
2018-02-22,0.93,0.93,0.89,0.89,4919
2018-02-23,0.9,0.93,0.8945,0.91,13554
2018-02-26,0.89,0.93,0.85,0.91,4167
2018-02-27,0.9101,0.9101,0.86,0.8872,2002
2018-02-28,0.88,0.94001,0.8525,0.92,6412
2018-03-01,0.8601,0.9144,0.8601,0.911082,11856
2018-03-02,0.861,0.92,0.86,0.8956,12256
2018-03-05,0.869,0.91,0.869,0.88,10458
2018-03-06,0.9799,0.9799,0.871,0.92,3972
2018-03-07,0.8818,0.93788,0.87,0.92,12603
2018-03-08,0.88,0.9198,0.88,0.9198,6645
2018-03-09,0.9,0.9,0.882,0.882,391
2018-03-12,0.945,0.945,0.91,0.92,9347
2018-03-13,0.91001,0.92,0.91001,0.9101,494
2018-03-14,0.9101,0.9179,0.91,0.91,6584
2018-03-15,0.91,0.91,0.91,0.91,687
2018-03-16,0.91,0.92,0.7423,0.7423,12601
2018-03-19,0.804,0.9097,0.79,0.85,16791
2018-03-20,0.86,0.877039,0.811672,0.877039,9432
2018-03-21,0.9,0.9,0.8501,0.86,3911
2018-03-22,0.8999,0.92,0.8502,0.8701,8279
2018-03-23,0.92,0.92,0.8142,0.83,4757
2018-03-26,0.9099,0.92,0.87,0.915,10150
2018-03-27,0.84,0.8864,0.84,0.8746,4231
2018-03-28,0.825,0.8699,0.825,0.85166,6664
2018-03-29,0.7508,0.8399,0.732,0.75,28159
2018-04-02,0.76,0.84,0.76,0.76,6795
2018-04-03,0.81,0.82,0.701,0.72,9884
2018-04-04,0.72,0.78,0.715,0.72181,37314
2018-04-05,0.71,0.747,0.71,0.747,4041
2018-04-06,0.768454,0.768454,0.71,0.71,7759
2018-04-09,0.7478,0.7478,0.7101,0.7101,2271
2018-04-10,0.7399,0.7399,0.7102,0.7102,8216
2018-04-11,0.69,0.73,0.69,0.701,3242
2018-04-12,0.7,0.7101,0.7,0.7101,430
2018-04-13,0.68,0.71,0.68,0.7005,4978
2018-04-16,0.68,0.7,0.68,0.7,515
2018-04-17,0.7,0.7,0.7,0.7,470
2018-04-18,0.7,0.7,0.7,0.7,623
2018-04-19,0.66,0.7,0.66,0.67,9191
2018-04-20,0.66,0.73,0.66,0.73,1358
2018-04-23,0.74,0.777,0.7241,0.7241,1460
2018-04-24,0.72,0.7679,0.68,0.7586,6868
2018-04-25,0.67,0.75,0.67,0.75,1863
2018-04-26,0.65,0.75,0.65,0.7499,10348
2018-04-27,0.71,1.68,0.71,1.1899,6497847
2018-04-30,1.13,1.18,0.9142,0.9441,868066
2018-05-01,0.9479,1.5,0.9111,1.27,5629103
2018-05-02,1.2,1.2214,1.02,1.1,689589
2018-05-03,1.04,1.14,0.96,1.09,523743
2018-05-04,1.0,1.08,1.0,1.029,139178
2018-05-07,1.0,1.05,0.98,1.05,117716
2018-05-08,1.05,1.05,0.96,1.01,127622
2018-05-09,1.03,1.03,0.9202,0.9899,66993
2018-05-10,0.9614,0.9899,0.87,0.9,108097
2018-05-11,0.8673,0.91,0.7801,0.82,166728
2018-05-14,0.83,0.88,0.81,0.84,53391
2018-05-15,0.86,0.86,0.82,0.8599,77505
2018-05-16,0.82,0.8597,0.68,0.73,137128
2018-05-17,0.74,0.76,0.68701,0.695,51713
