date,open,high,low,close,volume
2018-01-02,5.98,6.34,5.88,6.22,106398
2018-01-03,6.24,6.41,6.16,6.31,76609
2018-01-04,6.45,7.29,6.27,6.64,297201
2018-01-05,6.69,6.86,6.26,6.28,129430
2018-01-08,6.32,6.4,6.06,6.18,82287
2018-01-09,6.19,6.23,6.03,6.05,50046
2018-01-10,6.04,6.17,5.91,6.04,79651
2018-01-11,6.07,6.64,6.0687,6.58,219522
2018-01-12,6.7194,6.79,6.62,6.7,132562
2018-01-16,6.74,6.74,6.22,6.27,104603
2018-01-17,6.3,6.635,6.15,6.24,76064
2018-01-18,6.39,6.51,6.16,6.4,58069
2018-01-19,6.48,6.6852,6.2501,6.41,58087
2018-01-22,6.41,6.9697,6.41,6.6,280708
2018-01-23,6.62,6.915,6.51,6.62,149724
2018-01-24,6.905,6.905,6.4451,6.49,82793
2018-01-25,6.55,6.75,6.27,6.69,125906
2018-01-26,6.75,6.909,6.47,6.63,93398
2018-01-29,6.59,7.45,6.59,6.96,941626
2018-01-30,6.89,7.0,6.73,6.94,152695
2018-01-31,7.0,7.0,6.62,6.84,316423
2018-02-01,6.81,6.83,6.4305,6.7,143738
2018-02-02,6.7,6.7,6.291,6.57,226353
2018-02-05,6.49,6.64,6.4,6.49,113242
2018-02-06,6.38,6.69,6.31,6.65,188173
2018-02-07,6.67,6.8,6.4,6.62,88248
2018-02-08,6.63,6.75,6.29,6.3,94183
2018-02-09,6.37,6.37,5.78,6.2,196106
2018-02-12,6.24,6.24,5.85,5.95,84964
2018-02-13,5.97,6.31,5.79,6.15,108544
2018-02-14,6.25,6.36,5.925,6.19,68979
2018-02-15,6.09,6.23,5.98,6.02,32278
2018-02-16,5.99,6.39,5.82,5.86,48197
2018-02-20,5.88,6.29,5.88,6.08,269616
2018-02-21,6.0,6.07,5.93,5.95,136466
2018-02-22,6.0,6.31,5.95,6.12,117819
2018-02-23,6.15,6.29,6.07,6.22,114826
2018-02-26,6.23,6.29,5.98,6.24,45865
2018-02-27,6.21,6.3499,5.94,5.99,83111
2018-02-28,5.75,6.28,5.75,5.95,66213
2018-03-01,5.95,6.01,5.7999,5.95,66153
2018-03-02,6.01,6.1701,5.8997,5.99,69204
2018-03-05,5.95,5.99,5.5,5.72,648739
2018-03-06,5.75,5.93,5.43,5.61,153878
2018-03-07,5.57,5.72,5.43,5.69,102160
2018-03-08,5.71,5.75,5.28,5.36,127964
2018-03-09,5.39,5.83,5.39,5.72,157183
2018-03-12,5.71,5.82,5.53,5.7,69184
2018-03-13,5.76,5.76,5.49,5.62,80699
2018-03-14,5.81,5.87,5.48,5.71,219956
2018-03-15,5.73,5.82,5.125,5.4,198178
2018-03-16,5.38,5.49,5.26,5.39,51729
2018-03-19,5.34,5.34,5.22,5.27,52472
2018-03-20,5.3,5.32,5.05,5.14,67860
2018-03-21,5.1,5.14,4.87,4.94,245264
2018-03-22,4.91,5.0,4.81,4.88,96113
2018-03-23,4.81,5.31,4.81,5.29,110875
2018-03-26,5.36,5.36,4.9,5.13,139462
2018-03-27,5.12,5.29,4.5,4.61,177315
2018-03-28,4.59,4.68,4.45,4.5,127832
2018-03-29,4.53,5.185,4.53,5.13,154167
2018-04-02,5.08,5.15,4.4,5.0,183850
2018-04-03,5.01,5.01,4.72,4.98,100693
2018-04-04,5.0,5.09,4.86,5.05,400689
2018-04-05,5.05,5.17,4.895,5.1,204745
2018-04-06,5.09,5.09,4.871,4.95,93663
2018-04-09,5.01,5.15,4.96,5.06,256563
2018-04-10,5.08,5.22,4.98,5.11,314541
2018-04-11,5.08,5.21,5.0,5.2,166527
2018-04-12,5.2,5.31,5.176,5.26,133171
2018-04-13,5.25,5.3,5.1,5.27,170821
2018-04-16,5.39,5.5,5.3,5.41,147925
2018-04-17,5.42,5.53,5.38,5.45,310244
2018-04-18,5.44,5.44,5.06,5.11,113410
2018-04-19,5.1,5.1,4.85,4.89,128774
2018-04-20,4.92,5.25,4.91,5.21,77303
2018-04-23,5.2,5.25,5.02,5.09,68490
2018-04-24,5.09,5.19,4.85,4.87,68785
2018-04-25,4.88,4.91,4.78,4.91,41752
2018-04-26,4.93,4.96,4.82,4.85,54899
2018-04-27,4.87,4.96,4.72,4.8,51902
2018-04-30,4.82,4.85,4.7,4.79,56803
2018-05-01,4.8,4.9,4.75,4.89,48581
2018-05-02,4.89,5.01,4.81,4.95,75649
2018-05-03,4.93,5.12,4.9151,5.0,120423
2018-05-04,4.96,5.11,4.91,5.03,58660
2018-05-07,5.04,5.12,4.99,5.06,46751
2018-05-08,5.07,5.18,4.96,5.12,62974
2018-05-09,5.0,5.39,5.0,5.39,70583
2018-05-10,5.34,5.37,5.22,5.33,103820
2018-05-11,5.33,5.38,5.17,5.33,88339
2018-05-14,5.32,5.405,5.22,5.24,130680
2018-05-15,5.23,5.28,5.03,5.15,62141
2018-05-16,5.15,5.36,5.11,5.3,124952
2018-05-17,5.3,5.43,5.25,5.35,38927
