date,open,high,low,close,volume
2018-01-02,59.6461,59.6568,59.6162,59.6361,692171
2018-01-03,59.656,59.656,59.6164,59.6461,328001
2018-01-04,59.656,59.656,59.6063,59.6262,780154
2018-01-05,59.6361,59.6461,59.6262,59.6461,620421
2018-01-08,59.656,59.6659,59.6361,59.656,215550
2018-01-09,59.656,59.6659,59.6361,59.656,879914
2018-01-10,59.656,59.6659,59.6361,59.656,272856
2018-01-11,59.656,59.6858,59.656,59.6759,315522
2018-01-12,59.6759,59.6858,59.6659,59.6759,193258
2018-01-16,59.6759,59.6958,59.6659,59.6958,612064
2018-01-17,59.6958,59.7157,59.6759,59.7057,549696
2018-01-18,59.7157,59.7256,59.6958,59.6958,203519
2018-01-19,59.6958,59.7256,59.6858,59.7256,263577
2018-01-22,59.7355,59.7355,59.6958,59.7157,321261
2018-01-23,59.7281,59.748,59.7082,59.738,255104
2018-01-24,59.738,59.748,59.7181,59.738,213963
2018-01-25,59.7281,59.748,59.7182,59.748,312584
2018-01-26,59.738,59.7778,59.7082,59.7281,349009
2018-01-29,59.7281,59.7679,59.7181,59.748,498158
2018-01-30,59.7281,59.7675,59.7181,59.748,269451
2018-01-31,59.7281,59.7579,59.7281,59.7579,353671
2018-02-01,59.7679,59.7679,59.7467,59.7629,135868
2018-02-02,59.7679,59.7679,59.738,59.748,330309
2018-02-05,59.7281,59.7679,59.7181,59.7281,1203847
2018-02-06,59.7281,59.7878,59.7181,59.7679,1374100
2018-02-07,59.7579,59.7878,59.748,59.7878,776746
2018-02-08,59.7679,59.7878,59.7579,59.7778,370945
2018-02-09,59.7679,59.7878,59.748,59.7778,775869
2018-02-12,59.7778,59.7978,59.758,59.7878,260002
2018-02-13,59.7679,59.7878,59.7679,59.7878,544473
2018-02-14,59.7778,59.7878,59.7579,59.7679,529756
2018-02-15,59.7878,59.7928,59.749,59.7775,452227
2018-02-16,59.7579,59.7828,59.738,59.7579,493098
2018-02-20,59.7778,59.7978,59.7679,59.7778,137811
2018-02-21,59.7704,59.8202,59.7704,59.8003,458065
2018-02-22,59.7803,59.8103,59.7604,59.7853,551081
2018-02-23,59.7803,59.8103,59.7704,59.7803,273898
2018-02-26,59.7704,59.8202,59.7704,59.8103,309016
2018-02-27,59.8103,59.8103,59.7704,59.8003,220659
2018-02-28,59.7903,59.8103,59.7837,59.8103,276908
2018-03-01,59.8003,59.8293,59.7903,59.8202,285954
2018-03-02,59.8202,59.8302,59.8003,59.8202,310395
2018-03-05,59.8103,59.8402,59.8003,59.8402,185913
2018-03-06,59.8302,59.8402,59.8103,59.8402,210677
2018-03-07,59.8302,59.8402,59.8103,59.8302,212407
2018-03-08,59.8402,59.8402,59.8103,59.8302,408466
2018-03-09,59.8202,59.8302,59.8103,59.8252,138798
2018-03-12,59.8202,59.8402,59.8202,59.8402,125026
2018-03-13,59.8402,59.8402,59.8103,59.8302,188513
2018-03-14,59.8302,59.8402,59.8103,59.8202,382858
2018-03-15,59.8302,59.8402,59.8103,59.8352,204434
2018-03-16,59.8202,59.8402,59.8202,59.8302,164713
2018-03-19,59.8202,59.8402,59.8202,59.8202,154923
2018-03-20,59.8202,59.8501,59.8202,59.8302,382873
2018-03-21,59.8402,59.8501,59.8302,59.8501,427900
2018-03-22,59.8526,59.8626,59.8327,59.8327,348008
2018-03-23,59.8327,59.8626,59.8227,59.8427,458357
2018-03-26,59.8327,59.8626,59.8327,59.8526,191341
2018-03-27,59.8526,59.8626,59.8227,59.8626,464417
2018-03-28,59.8626,59.8826,59.8526,59.8726,831696
2018-03-29,59.8626,59.8826,59.8427,59.8626,899527
2018-04-02,59.8626,59.9026,59.8526,59.8826,1148051
2018-04-03,59.8926,59.8926,59.8626,59.8926,1080199
2018-04-04,59.8726,59.8926,59.8726,59.8926,515327
2018-04-05,59.8826,59.9125,59.8826,59.8926,630757
2018-04-06,59.9026,59.9026,59.8826,59.9026,302942
2018-04-09,59.9125,59.9225,59.8926,59.9225,685808
2018-04-10,59.9225,59.9325,59.9026,59.9175,574240
2018-04-11,59.9225,59.9325,59.9026,59.9325,562900
2018-04-12,59.9125,59.9425,59.9125,59.9325,304349
2018-04-13,59.9325,59.9425,59.9125,59.9325,269485
2018-04-16,59.9425,59.9525,59.9125,59.9425,279757
2018-04-17,59.9325,59.9525,59.9026,59.9425,787686
2018-04-18,59.9325,59.9525,59.9225,59.9375,483589
2018-04-19,59.9525,59.9525,59.9325,59.9425,360864
2018-04-20,59.96,59.96,59.94,59.95,693374
2018-04-23,59.96,59.97,59.95,59.96,426829
2018-04-24,59.96,59.98,59.96,59.97,409632
2018-04-25,59.98,59.99,59.94,59.98,987639
2018-04-26,59.98,59.99,59.96,59.971,437218
2018-04-27,59.97,59.99,59.96,59.98,383109
2018-04-30,59.98,60.0,59.971,60.0,446510
2018-05-01,60.0,60.01,59.98,60.01,1022943
2018-05-02,60.01,60.02,60.005,60.01,829106
2018-05-03,60.01,60.02,60.0,60.01,625231
2018-05-04,60.02,60.02,60.0,60.01,200387
2018-05-07,60.01,60.02,60.0,60.01,481408
2018-05-08,60.01,60.02,60.0,60.02,1298910
2018-05-09,60.03,60.03,60.0,60.02,437075
2018-05-10,60.03,60.03,60.01,60.03,371375
2018-05-11,60.03,60.04,60.02,60.03,343872
2018-05-14,60.04,60.07,60.03,60.0382,1455604
2018-05-15,60.05,60.05,60.03,60.05,270031
2018-05-16,60.04,60.0679,60.04,60.06,501227
2018-05-17,60.04,60.06,60.04,60.06,385288
