symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
GERN,2017-07-20,2.810000,2.890000,False,2.790000,2.850000,reg,1062011
GERN,2017-07-21,2.800000,2.880000,False,2.785000,2.860000,reg,804971
GERN,2017-07-24,2.880000,2.890000,False,2.800000,2.810000,reg,611322
GERN,2017-07-25,2.890000,2.920000,False,2.830000,2.880000,reg,1228455
GERN,2017-07-26,2.930000,3.010100,False,2.887100,2.890000,reg,1987284
GERN,2017-07-27,2.840000,2.958000,False,2.810000,2.950000,reg,1151506
GERN,2017-07-28,2.820000,2.880000,False,2.805000,2.840000,reg,752560
GERN,2017-07-31,2.650000,2.850000,False,2.650000,2.820000,reg,1024075
GERN,2017-08-01,2.240000,2.530000,False,2.200000,2.520000,reg,5244822
GERN,2017-08-02,2.160000,2.240000,False,1.950000,2.210000,reg,5832830
GERN,2017-08-03,2.160000,2.270100,False,2.130000,2.130000,reg,1621403
GERN,2017-08-04,2.220000,2.260000,False,2.120000,2.150000,reg,1227663
GERN,2017-08-07,2.290000,2.290000,False,2.210000,2.210000,reg,921896
GERN,2017-08-08,2.250000,2.370000,False,2.250000,2.320000,reg,1098629
GERN,2017-08-09,2.150000,2.270000,False,2.140000,2.260000,reg,989684
GERN,2017-08-10,2.090000,2.240000,False,2.060000,2.180000,reg,1415148
GERN,2017-08-11,2.080000,2.120000,False,2.050000,2.100000,reg,1094927
GERN,2017-08-14,2.060000,2.110000,False,2.050000,2.080000,reg,890942
GERN,2017-08-15,2.050000,2.090000,False,2.030000,2.070000,reg,793825
GERN,2017-08-16,2.040000,2.080000,False,2.030000,2.080000,reg,592509
GERN,2017-08-17,2.060000,2.080000,False,2.030000,2.050000,reg,976707
GERN,2017-08-18,2.030000,2.060000,False,1.990000,2.030000,reg,818152
GERN,2017-08-21,1.990000,2.049000,False,1.980000,2.020000,reg,1341522
GERN,2017-08-22,2.020000,2.070000,False,1.990000,2.000000,reg,901041
GERN,2017-08-23,2.010000,2.040000,False,1.990000,2.010000,reg,648436
GERN,2017-08-24,2.060000,2.080000,False,2.000000,2.020000,reg,917291
GERN,2017-08-25,2.000000,2.080000,False,2.000000,2.060000,reg,664973
GERN,2017-08-28,2.030000,2.040000,False,2.000000,2.020000,reg,870401
GERN,2017-08-29,2.070000,2.070000,False,2.010000,2.010000,reg,746127
GERN,2017-08-30,2.040000,2.085000,False,2.025000,2.070000,reg,845721
GERN,2017-08-31,2.170000,2.240000,False,2.040000,2.040000,reg,2162252
GERN,2017-09-01,2.160000,2.200000,False,2.120000,2.190000,reg,646220
GERN,2017-09-05,2.140000,2.190000,False,2.100000,2.150000,reg,739943
GERN,2017-09-06,2.160000,2.170000,False,2.120000,2.140000,reg,436841
GERN,2017-09-07,2.160000,2.200000,False,2.120000,2.160000,reg,636183
GERN,2017-09-08,2.120000,2.170000,False,2.100000,2.170000,reg,547521
GERN,2017-09-11,2.140000,2.160000,False,2.120000,2.130000,reg,501664
GERN,2017-09-12,2.120000,2.160000,False,2.110000,2.120000,reg,759295
GERN,2017-09-13,2.150000,2.170000,False,2.070000,2.110000,reg,812224
GERN,2017-09-14,2.160000,2.170000,False,2.115000,2.150000,reg,480643
GERN,2017-09-15,2.200000,2.260000,False,2.120000,2.170000,reg,1924087
GERN,2017-09-18,2.200000,2.270000,False,2.180000,2.220000,reg,866158
GERN,2017-09-19,2.200000,2.255000,False,2.170000,2.230000,reg,404916
GERN,2017-09-20,2.180000,2.220000,False,2.130000,2.200000,reg,745975
GERN,2017-09-21,2.180000,2.230000,False,2.140000,2.170000,reg,441454
GERN,2017-09-22,2.160000,2.200000,False,2.140000,2.170000,reg,527436
GERN,2017-09-25,2.240000,2.250000,False,2.150000,2.150000,reg,1034042
GERN,2017-09-26,2.180000,2.260000,False,2.180000,2.260000,reg,574499
GERN,2017-09-27,2.200000,2.219900,False,2.172600,2.200000,reg,855976
GERN,2017-09-28,2.200000,2.235000,False,2.160000,2.200000,reg,731523
GERN,2017-09-29,2.180000,2.210000,False,2.160000,2.210000,reg,748525
GERN,2017-10-02,2.210000,2.220000,False,2.150000,2.150000,reg,1295863
GERN,2017-10-03,2.200000,2.220000,False,2.160000,2.220000,reg,886386
GERN,2017-10-04,2.230000,2.257500,False,2.190000,2.210000,reg,1042466
GERN,2017-10-05,2.320000,2.330000,False,2.210000,2.210000,reg,1167691
GERN,2017-10-06,2.300000,2.360000,False,2.290000,2.320000,reg,884634
GERN,2017-10-09,2.210000,2.300000,False,2.200000,2.280000,reg,756314
GERN,2017-10-10,2.240000,2.290000,False,2.210000,2.210000,reg,710430
GERN,2017-10-11,2.200000,2.270000,False,2.180000,2.250000,reg,850833
GERN,2017-10-12,2.140000,2.201500,False,2.110000,2.170000,reg,1009429
GERN,2017-10-13,2.120000,2.159900,False,2.080000,2.140000,reg,1146987
GERN,2017-10-16,2.080000,2.200000,False,2.060000,2.140000,reg,1230970
GERN,2017-10-17,2.090000,2.120000,False,2.070000,2.100000,reg,754631
GERN,2017-10-18,2.080000,2.115000,False,2.070100,2.090000,reg,423240
GERN,2017-10-19,2.060000,2.100000,False,2.040000,2.070000,reg,977109
GERN,2017-10-20,2.050000,2.080000,False,2.030000,2.080000,reg,692182
GERN,2017-10-23,2.030000,2.080000,False,2.030000,2.040000,reg,666648
GERN,2017-10-24,2.030000,2.090000,False,2.000000,2.040000,reg,1513006
GERN,2017-10-25,2.060000,2.080000,False,2.020000,2.030000,reg,1202023
