date,open,high,low,close,volume
2018-01-02,1.22,1.26,1.2,1.24,174598
2018-01-03,1.25,1.36,1.23,1.31,413839
2018-01-04,1.32,1.35,1.27,1.33,107157
2018-01-05,1.35,1.35,1.3179,1.34,68926
2018-01-08,1.33,1.35,1.21,1.26,95486
2018-01-09,1.27,1.3,1.25,1.25,142235
2018-01-10,1.25,1.29,1.24,1.27,101597
2018-01-11,1.29,1.3,1.28,1.295,57467
2018-01-12,1.31,1.34,1.24,1.3,97876
2018-01-16,1.28,1.3,1.23,1.25,135759
2018-01-17,1.25,1.33,1.24,1.3001,162096
2018-01-18,1.3,1.38,1.3,1.345,143968
2018-01-19,1.36,1.6,1.35,1.5,633373
2018-01-22,1.5,1.58,1.48,1.52,274126
2018-01-23,1.52,1.66,1.45,1.63,468515
2018-01-24,1.62,1.88,1.62,1.71,518543
2018-01-25,1.7,1.8,1.68,1.75,289343
2018-01-26,1.71,1.83,1.71,1.805,201603
2018-01-29,1.8,1.9,1.8,1.83,252005
2018-01-30,1.81,1.879,1.8,1.85,151917
2018-01-31,1.85,1.93,1.85,1.91,159334
2018-02-01,1.9,2.2,1.9,2.08,921058
2018-02-02,2.09,2.25,2.08,2.16,406382
2018-02-05,2.16,2.16,2.02,2.16,509577
2018-02-06,2.08,2.26,2.07,2.26,417012
2018-02-07,2.26,2.65,2.2,2.3,1110231
2018-02-08,2.29,2.3799,2.07,2.14,459958
2018-02-09,2.13,2.3324,2.06,2.27,422194
2018-02-12,2.33,2.5,2.28,2.39,177554
2018-02-13,2.39,2.47,2.13,2.27,165203
2018-02-14,2.22,2.3193,2.13,2.26,160444
2018-02-15,2.28,2.29,2.17,2.23,152060
2018-02-16,2.23,2.32,2.18,2.24,85314
2018-02-20,2.24,2.25,2.06,2.1,184560
2018-02-21,2.13,2.14,1.8,1.8,344987
2018-02-22,1.88,2.2347,1.8,1.95,342911
2018-02-23,1.89,2.08,1.84,2.01,236185
2018-02-26,2.02,2.23,1.91,1.98,198148
2018-02-27,2.0,2.05,1.86,1.97,51793
2018-02-28,1.98,1.98,1.89,1.9,93784
2018-03-01,1.9001,1.93,1.85,1.86,48673
2018-03-02,1.86,2.05,1.83,2.0,80209
2018-03-05,2.03,2.0899,1.951,2.0,62503
2018-03-06,2.0,2.05,1.94,2.02,111775
2018-03-07,2.01,2.0602,1.94,1.98,106104
2018-03-08,2.0,2.1,1.98,2.07,112579
2018-03-09,2.09,2.2,2.0773,2.16,110995
2018-03-12,2.15,2.17,2.01,2.04,155779
2018-03-13,2.105,2.16,1.88,1.95,151878
2018-03-14,1.98,2.065,1.96,2.04,33446
2018-03-15,2.05,2.08,2.03,2.0684,15381
2018-03-16,2.06,2.09,2.03,2.04,82791
2018-03-19,2.02,2.05,1.94,1.97,38554
2018-03-20,1.99,2.04,1.95,2.03,51000
2018-03-21,2.02,2.06,1.97,1.97,48647
2018-03-22,1.98,2.05,1.98,2.03,39756
2018-03-23,2.03,2.12,2.03,2.11,143830
2018-03-26,2.2,2.23,2.0973,2.18,382083
2018-03-27,2.18,2.279,2.18,2.27,178389
2018-03-28,2.25,2.279,2.19,2.26,135648
2018-03-29,2.28,2.29,2.0,2.01,183156
2018-04-02,1.99,2.0488,1.86,1.9,143539
2018-04-03,1.93,1.93,1.84,1.86,60100
2018-04-04,1.84,1.91,1.76,1.9,82107
2018-04-05,1.895,1.8972,1.8,1.83,36614
2018-04-06,1.81,1.89,1.76,1.83,98611
2018-04-09,1.83,1.83,1.77,1.82,40241
2018-04-10,1.82,1.93,1.78,1.84,95823
2018-04-11,1.83,1.9,1.77,1.82,128980
2018-04-12,1.81,1.86,1.77,1.86,27316
2018-04-13,1.85,1.88,1.75,1.78,76497
2018-04-16,1.78,1.78,1.53,1.5483,143297
2018-04-17,1.56,1.65,1.55,1.55,142048
2018-04-18,1.55,1.71,1.55,1.62,91393
2018-04-19,1.65,1.7,1.65,1.69,50319
2018-04-20,1.68,1.68,1.58,1.6,61089
2018-04-23,1.58,1.62,1.52,1.53,55881
2018-04-24,1.51,1.57,1.51,1.52,52627
2018-04-25,1.52,1.6,1.52,1.56,33091
2018-04-26,1.56,1.57,1.5,1.5,41306
2018-04-27,1.5,1.53,1.4056,1.52,77708
2018-04-30,1.51,1.57,1.5,1.5,71922
2018-05-01,1.5,1.55,1.5,1.55,33653
2018-05-02,1.55,1.59,1.53,1.57,24896
2018-05-03,1.5801,1.639,1.55,1.55,20357
2018-05-04,1.56,1.59,1.54,1.59,28018
2018-05-07,1.6,1.61,1.54,1.57,31939
2018-05-08,1.56,1.5611,1.53,1.54,34774
2018-05-09,1.55,1.55,1.53,1.54,18591
2018-05-10,1.53,1.53,1.49,1.5,98745
2018-05-11,1.5,1.5499,1.46,1.49,42726
2018-05-14,1.5,1.53,1.5,1.51,18694
2018-05-15,1.51,1.52,1.36,1.51,164253
2018-05-16,1.51,1.55,1.5,1.51,142090
2018-05-17,1.52,1.63,1.52,1.62,73638
