date,open,high,low,close,volume
2018-01-02,16.27,16.6,16.13,16.41,560900
2018-01-03,16.45,16.72,16.36,16.65,341564
2018-01-04,16.78,16.9045,16.6,16.63,277578
2018-01-05,16.66,16.67,16.13,16.46,312752
2018-01-08,16.16,16.69,16.1,16.62,506407
2018-01-09,16.68,16.749,16.25,16.52,372974
2018-01-10,16.47,16.66,16.34,16.43,504637
2018-01-11,16.47,16.53,16.26,16.48,465639
2018-01-12,16.54,16.635,16.11,16.17,348560
2018-01-16,16.17,16.21,15.59,15.67,1295795
2018-01-17,15.9,15.91,15.42,15.75,706026
2018-01-18,15.74,15.74,15.3,15.35,405549
2018-01-19,15.32,15.85,15.31,15.64,411017
2018-01-22,15.65,15.79,15.42,15.61,436186
2018-01-23,15.51,15.75,15.26,15.35,350280
2018-01-24,15.34,15.45,15.2,15.21,272668
2018-01-25,15.34,15.42,15.11,15.11,205472
2018-01-26,15.21,15.26,14.98,15.17,523454
2018-01-29,15.11,15.37,15.0,15.21,473194
2018-01-30,15.11,15.58,14.64,14.66,645816
2018-01-31,14.66,15.02,14.4,14.46,368667
2018-02-01,14.43,14.99,14.26,14.76,474066
2018-02-02,14.7,14.89,14.3699,14.46,348718
2018-02-05,14.28,14.54,14.0,14.22,497130
2018-02-06,14.03,14.86,14.0,14.62,560229
2018-02-07,14.55,14.68,14.425,14.49,418275
2018-02-08,14.59,14.74,14.47,14.5,306944
2018-02-09,14.76,15.12,14.41,15.0,651483
2018-02-12,15.08,15.62,14.77,15.52,604395
2018-02-13,15.45,15.635,15.38,15.47,483052
2018-02-14,15.36,15.67,14.89,15.64,561741
2018-02-15,15.71,15.8,15.44,15.67,267053
2018-02-16,15.57,15.855,15.19,15.55,306361
2018-02-20,15.41,15.71,15.26,15.38,979238
2018-02-21,15.37,15.5,15.16,15.21,244545
2018-02-22,15.28,15.285,15.02,15.12,287104
2018-02-23,15.17,15.34,14.92,15.29,412088
2018-02-26,15.52,15.85,15.52,15.61,804445
2018-02-27,15.75,16.63,15.42,16.0,969235
2018-02-28,15.95,16.31,15.51,16.16,786564
2018-03-01,16.23,16.47,15.95,16.2,590804
2018-03-02,15.98,17.4,15.98,16.5,1112157
2018-03-05,16.36,16.8599,16.2,16.68,572422
2018-03-06,16.76,16.8,16.55,16.76,358712
2018-03-07,16.61,16.94,16.61,16.65,324275
2018-03-08,16.69,16.73,16.27,16.34,583887
2018-03-09,16.49,16.5,16.18,16.29,488331
2018-03-12,16.34,16.59,16.16,16.215,280402
2018-03-13,16.3,16.31,15.9,16.07,547585
2018-03-14,16.05,16.23,15.72,15.78,501422
2018-03-15,15.89,16.04,15.691,15.77,384103
2018-03-16,15.73,16.13,15.58,16.1,792162
2018-03-19,16.05,16.05,15.7,15.81,414236
2018-03-20,15.85,15.92,15.46,15.53,613967
2018-03-21,15.49,15.68,15.12,15.19,777091
2018-03-22,15.06,15.06,14.495,14.52,1874618
2018-03-23,14.85,14.85,10.31,11.085,8586452
2018-03-26,11.85,11.8699,10.3,10.8,4733412
2018-03-27,10.7,10.86,10.4,10.5,2616072
2018-03-28,10.51,10.88,10.47,10.61,1663013
2018-03-29,10.66,10.89,10.605,10.73,1117220
2018-04-02,10.63,10.72,10.24,10.29,1115043
2018-04-03,10.39,10.49,10.07,10.29,585277
2018-04-04,10.18,10.38,10.0,10.37,386051
2018-04-05,10.44,10.72,10.42,10.68,491230
2018-04-06,10.58,10.64,10.15,10.28,340205
2018-04-09,10.39,10.52,10.18,10.22,593022
2018-04-10,10.34,10.86,10.34,10.84,778541
2018-04-11,10.83,10.955,10.73,10.9,693520
2018-04-12,11.0,11.1,10.74,10.99,650295
2018-04-13,11.06,11.42,11.06,11.3,675410
2018-04-16,11.34,11.46,11.15,11.26,536026
2018-04-17,11.31,11.44,11.29,11.34,769913
2018-04-18,11.34,11.45,11.18,11.19,657616
2018-04-19,11.12,11.21,10.97,11.05,551555
2018-04-20,11.04,11.17,10.9,11.09,1205700
2018-04-23,11.1,11.13,10.94,11.02,693491
2018-04-24,11.1,11.24,10.88,11.02,379080
2018-04-25,11.04,11.4,10.88,11.23,533978
2018-04-26,11.26,11.31,11.19,11.2,347671
2018-04-27,11.17,11.255,10.96,11.2,413800
2018-04-30,11.25,11.49,11.21,11.3,597172
2018-05-01,11.24,11.36,11.055,11.32,415604
2018-05-02,11.35,11.54,11.27,11.36,296044
2018-05-03,11.4,11.5,11.23,11.48,571924
2018-05-04,11.5,11.77,11.5,11.69,408327
2018-05-07,11.66,11.67,11.47,11.54,337412
2018-05-08,11.54,11.6,11.01,11.23,749301
2018-05-09,11.29,11.35,11.02,11.3,833197
2018-05-10,11.31,11.31,11.1891,11.21,453957
2018-05-11,11.22,11.28,11.07,11.19,616304
2018-05-14,11.16,11.24,10.93,11.07,674595
2018-05-15,11.0,11.08,10.8,11.06,479107
2018-05-16,11.03,11.25,10.98,11.24,533807
2018-05-17,11.19,11.28,10.62,10.69,784969
