date,open,high,low,close,volume
2018-01-02,59.15,59.98,55.59,56.35,1911529
2018-01-03,56.4,57.43,56.01,56.53,786547
2018-01-04,56.61,57.35,55.78,56.03,854519
2018-01-05,56.21,58.38,55.87,58.21,837676
2018-01-08,58.2,58.67,52.33,53.66,1722458
2018-01-09,54.29,54.3,53.17,53.41,594469
2018-01-10,53.07,54.98,52.11,54.87,818601
2018-01-11,54.96,55.39,53.86,54.31,522384
2018-01-12,54.73,55.24,53.76,54.95,516710
2018-01-16,54.69,55.5,52.14,52.98,947475
2018-01-17,53.11,53.23,51.53,52.72,725489
2018-01-18,53.0,53.91,52.1,53.19,565900
2018-01-19,53.54,58.39,53.24,57.72,1527953
2018-01-22,57.3,63.0,57.05,62.34,1434175
2018-01-23,63.3,65.11,60.301,63.58,1424912
2018-01-24,63.58,64.59,61.0504,61.93,837746
2018-01-25,61.6,62.0,60.31,61.74,674875
2018-01-26,61.75,65.15,60.84,64.92,1039442
2018-01-29,65.19,69.07,64.96,67.2,1053763
2018-01-30,66.01,68.99,65.41,67.08,801329
2018-01-31,67.67,68.0,61.65,62.1,1092919
2018-02-01,70.05,70.7387,61.18,62.02,3639242
2018-02-02,61.15,64.74,61.091,62.87,1013627
2018-02-05,62.01,64.35,58.67,58.74,967038
2018-02-06,58.73,62.39,58.63,60.82,1123000
2018-02-07,58.69,59.72,57.46,58.08,1253971
2018-02-08,58.8,59.84,53.25,53.29,1268104
2018-02-09,54.31,55.31,51.05,54.21,1178867
2018-02-12,54.44,55.47,53.171,54.63,1022737
2018-02-13,53.8,54.21,52.65,53.41,769092
2018-02-14,52.3,56.26,51.76,56.02,1447012
2018-02-15,56.02,62.21,55.75,60.64,1205312
2018-02-16,60.47,62.42,59.0301,61.16,714838
2018-02-20,60.81,63.356,60.4701,60.78,642853
2018-02-21,61.0,61.85,59.03,59.13,672031
2018-02-22,59.75,60.09,58.9,59.55,613103
2018-02-23,60.25,62.52,59.825,62.04,467349
2018-02-26,62.52,63.125,61.09,61.97,518144
2018-02-27,62.0,62.87,59.92,60.0,472581
2018-02-28,60.09,61.2576,59.7,59.73,360376
2018-03-01,59.89,60.51,58.34,58.98,494428
2018-03-02,58.56,63.9,58.37,63.6,757167
2018-03-05,63.56,64.9,61.7963,64.81,525781
2018-03-06,64.75,65.87,62.63,64.69,587115
2018-03-07,63.89,65.5,63.54,64.74,592839
2018-03-08,64.89,65.5348,62.315,65.02,836748
2018-03-09,65.99,66.9799,63.4,64.07,914388
2018-03-12,64.62,67.94,63.8001,67.25,742808
2018-03-13,67.93,69.6,65.52,66.3,862717
2018-03-14,66.45,68.8567,64.15,66.11,474801
2018-03-15,66.78,67.17,64.61,64.69,384529
2018-03-16,64.75,66.23,64.011,64.97,521008
2018-03-19,64.9,64.9,61.66,63.36,541922
2018-03-20,63.15,64.41,61.06,62.28,388451
2018-03-21,62.39,63.5656,61.975,62.72,322450
2018-03-22,62.1,63.79,61.25,62.1,361118
2018-03-23,62.28,63.375,60.431,60.73,354184
2018-03-26,61.66,62.94,59.21,62.7,628437
2018-03-27,62.47,62.6,60.25,60.52,558612
2018-03-28,60.17,61.0,58.03,60.15,598492
2018-03-29,60.45,62.44,59.825,61.52,464699
2018-04-02,61.0,61.675,58.61,60.0,876155
2018-04-03,60.52,65.46,59.65,62.83,1024069
2018-04-04,61.36,64.58,61.291,64.36,570928
2018-04-05,65.5,72.4,65.46,70.76,4720475
2018-04-06,69.99,73.45,68.5,71.6,1280019
2018-04-09,72.56,72.56,69.01,69.24,796424
2018-04-10,70.61,75.9,70.0,75.09,1474623
2018-04-11,74.33,74.8337,69.69,70.11,1673455
2018-04-12,70.35,72.54,70.22,70.79,809796
2018-04-13,71.45,73.35,70.415,73.07,1257400
2018-04-16,74.0,75.09,72.12,74.1,962067
2018-04-17,74.6,75.38,73.08,73.79,938013
2018-04-18,74.13,74.83,71.5525,71.98,647932
2018-04-19,71.51,72.2,68.46,69.23,681969
2018-04-20,69.3,70.56,68.32,68.73,793869
2018-04-23,69.05,70.0,67.1714,67.7,419261
2018-04-24,67.86,68.44,65.3,65.78,601466
2018-04-25,65.61,66.6473,64.5,66.15,600602
2018-04-26,66.61,70.26,65.99,70.07,834275
2018-04-27,70.0,70.33,68.09,69.85,386100
2018-04-30,70.14,70.31,67.86,68.01,354722
2018-05-01,67.68,70.28,67.58,70.21,535555
2018-05-02,69.94,71.2794,69.34,70.21,356520
2018-05-03,69.41,71.13,67.7304,68.1,304216
2018-05-04,68.12,69.85,67.72,69.35,319506
2018-05-07,69.78,70.54,69.48,70.33,496872
2018-05-08,68.84,71.49,67.55,70.15,569098
2018-05-09,69.86,72.78,68.75,72.0,519040
2018-05-10,72.5,73.25,71.13,71.23,351785
2018-05-11,70.87,72.13,70.05,71.0,487764
2018-05-14,71.21,72.14,70.35,71.7,397488
2018-05-15,71.12,71.635,70.27,71.23,371024
2018-05-16,71.47,72.43,70.48,71.38,490588
2018-05-17,71.29,72.5,70.61,71.21,619222
