symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
IDCC,2017-06-09,81.4283,83.0991,False,80.4946,83.0500,reg,376894
IDCC,2017-06-12,81.3300,81.6249,False,79.4430,81.2317,reg,258733
IDCC,2017-06-13,82.3129,82.7060,False,81.0352,81.7232,reg,293089
IDCC,2017-06-14,80.9860,82.5586,False,80.1506,82.4111,reg,575108
IDCC,2017-06-15,78.6764,81.0352,False,78.2832,80.9860,reg,466704
IDCC,2017-06-16,78.2832,79.0203,False,77.7427,78.1849,reg,738939
IDCC,2017-06-19,79.5609,79.6100,False,78.0375,78.6764,reg,229989
IDCC,2017-06-20,78.6272,79.6100,False,78.1358,79.1186,reg,180659
IDCC,2017-06-21,79.7575,80.1015,False,78.6764,78.9712,reg,236105
IDCC,2017-06-22,79.6592,80.1015,False,78.7255,79.9049,reg,172935
IDCC,2017-06-23,79.8558,80.8828,False,79.5167,79.8066,reg,297653
IDCC,2017-06-26,79.0695,80.6420,False,78.8729,80.1015,reg,140141
IDCC,2017-06-27,78.4306,79.4135,False,78.0424,79.0203,reg,209359
IDCC,2017-06-28,79.3643,79.9540,False,78.1358,78.8729,reg,195396
IDCC,2017-06-29,77.8409,79.8312,False,77.1714,79.4135,reg,281475
IDCC,2017-06-30,75.9735,78.1849,False,75.8753,77.7918,reg,354415
IDCC,2017-07-05,76.3667,77.0547,False,76.0227,76.0718,reg,313300
IDCC,2017-07-06,74.9416,75.7970,False,74.3519,75.6295,reg,477800
IDCC,2017-07-07,76.4158,76.5141,False,75.2364,75.2856,reg,219618
IDCC,2017-07-10,76.3172,76.9585,False,75.8229,75.9225,reg,236505
IDCC,2017-07-11,75.9225,76.8105,False,75.0838,76.3172,reg,263296
IDCC,2017-07-12,75.9718,76.9585,False,75.5278,76.5145,reg,187390
IDCC,2017-07-13,74.8372,76.3172,False,74.2452,76.0212,reg,347194
IDCC,2017-07-14,74.8372,75.2318,False,74.5412,74.7879,reg,171909
IDCC,2017-07-17,74.8372,75.1578,False,74.1465,74.6892,reg,272088
IDCC,2017-07-18,76.3172,76.3172,False,74.1959,74.6892,reg,371210
IDCC,2017-07-19,80.2144,80.7077,False,76.4652,76.8105,reg,554164
IDCC,2017-07-20,79.3264,80.7571,False,78.6851,80.4611,reg,601701
IDCC,2017-07-21,77.5011,79.5238,False,77.4518,79.5238,reg,216340
IDCC,2017-07-24,78.0438,78.0931,False,77.0078,77.4518,reg,182848
IDCC,2017-07-25,78.6851,79.1784,False,77.8218,78.2904,reg,244124
IDCC,2017-07-26,77.1558,78.9318,False,76.6131,78.9318,reg,286857
IDCC,2017-07-27,75.0345,78.9318,False,74.1465,78.9318,reg,460233
IDCC,2017-07-28,73.8999,75.2318,False,73.6039,74.8372,reg,321723
IDCC,2017-07-31,71.8772,74.5905,False,71.7786,73.8999,reg,681575
IDCC,2017-08-01,71.2359,72.4692,False,71.0879,72.0252,reg,274337
IDCC,2017-08-02,71.6799,72.1239,False,70.8906,71.2853,reg,262089
IDCC,2017-08-03,70.8413,72.0746,False,70.6933,71.9266,reg,272598
IDCC,2017-08-04,70.3973,71.2359,False,70.1013,70.8906,reg,373080
IDCC,2017-08-07,70.9399,71.2359,False,70.2493,70.3479,reg,206474
IDCC,2017-08-08,70.6933,72.9132,False,70.4713,72.2719,reg,514664
IDCC,2017-08-09,70.1506,70.5946,False,69.4106,70.1506,reg,324269
IDCC,2017-08-10,68.7200,70.1999,False,68.7200,69.8546,reg,299891
IDCC,2017-08-11,69.1146,69.6573,False,68.5720,68.7200,reg,271113
IDCC,2017-08-14,69.6573,70.1999,False,69.3613,69.7066,reg,202541
IDCC,2017-08-15,69.4106,70.2493,False,69.3120,69.7560,reg,211410
IDCC,2017-08-16,70.0026,70.5453,False,69.4106,69.4106,reg,204330
IDCC,2017-08-17,68.2266,69.9039,False,68.1773,69.5093,reg,256976
IDCC,2017-08-18,67.9800,68.1773,False,66.6480,67.9307,reg,293591
IDCC,2017-08-21,67.3387,68.2266,False,67.3387,67.8813,reg,175237
IDCC,2017-08-22,68.7693,68.9666,False,67.3387,67.5853,reg,308165
IDCC,2017-08-23,70.6933,71.2853,False,68.4733,68.5720,reg,369887
IDCC,2017-08-24,69.4600,70.9893,False,69.3120,70.8413,reg,225076
IDCC,2017-08-25,69.4600,69.9039,False,68.9666,69.8546,reg,134617
IDCC,2017-08-28,68.9173,69.7560,False,68.6213,69.7560,reg,291808
IDCC,2017-08-29,69.1640,69.4106,False,68.1138,68.3746,reg,170957
IDCC,2017-08-30,69.5586,69.7560,False,68.6213,69.1146,reg,146935
IDCC,2017-08-31,70.3973,70.3973,False,69.2133,69.7066,reg,625156
IDCC,2017-09-01,69.7560,70.3973,False,68.5720,70.3479,reg,309056
IDCC,2017-09-05,68.9173,70.1506,False,68.4733,69.6573,reg,249902
IDCC,2017-09-06,68.1773,69.4010,False,67.8813,69.0160,reg,233988
IDCC,2017-09-07,68.9666,69.0160,False,68.2020,68.4240,reg,228464
IDCC,2017-09-08,68.2266,68.4980,False,67.2647,68.3746,reg,380541
IDCC,2017-09-11,68.8186,69.3120,False,68.3746,68.7200,reg,168175
IDCC,2017-09-12,69.4106,69.9039,False,68.8926,69.1146,reg,218410
IDCC,2017-09-13,69.1146,69.7066,False,68.9173,69.3613,reg,197261
IDCC,2017-09-14,69.3120,69.4600,False,68.4240,69.1640,reg,175284
IDCC,2017-09-15,73.6532,73.6532,False,69.6080,69.6080,reg,821724
IDCC,2017-09-18,73.4065,74.5412,False,72.6666,73.9985,reg,405434
IDCC,2017-09-19,73.0119,73.7519,False,72.8146,73.3572,reg,271369
IDCC,2017-09-20,71.5812,72.9626,False,71.0879,72.9626,reg,476084
IDCC,2017-09-21,71.6306,72.3706,False,71.0879,71.8279,reg,339412
IDCC,2017-09-22,71.3839,72.0746,False,71.2853,71.4333,reg,361213
IDCC,2017-09-25,74.1959,74.2452,False,71.0879,71.0879,reg,768521
IDCC,2017-09-26,71.1866,74.2945,False,71.0879,74.2452,reg,435246
IDCC,2017-09-27,73.4065,73.7025,False,71.1373,71.6306,reg,420397
IDCC,2017-09-28,73.9492,74.1959,False,73.0612,73.4065,reg,198250
IDCC,2017-09-29,72.7652,73.9985,False,72.7159,73.9985,reg,235147
IDCC,2017-10-02,73.7519,73.9492,False,73.0119,73.2585,reg,226540
IDCC,2017-10-03,74.1465,74.3932,False,73.2092,73.7025,reg,297069
IDCC,2017-10-04,73.7025,74.9358,False,73.4559,74.3932,reg,328127
IDCC,2017-10-05,73.0119,73.7025,False,72.6172,73.6532,reg,267408
IDCC,2017-10-06,73.2092,73.3572,False,72.6221,72.8639,reg,138636
IDCC,2017-10-09,73.8999,73.9492,False,73.1628,73.5545,reg,184592
IDCC,2017-10-10,74.5442,74.6929,False,73.6520,73.9494,reg,147648
IDCC,2017-10-11,74.5442,74.7425,False,74.0981,74.6433,reg,153033
IDCC,2017-10-12,74.0981,74.5938,False,73.7016,74.4451,reg,371746
IDCC,2017-10-13,74.2468,74.3955,False,73.3051,74.1973,reg,460009
IDCC,2017-10-16,73.8999,74.9655,False,73.8007,74.5442,reg,366586
IDCC,2017-10-17,73.9494,74.7425,False,73.2555,73.6520,reg,139116
IDCC,2017-10-18,75.3372,75.5850,False,73.8999,74.7920,reg,293202
IDCC,2017-10-19,74.2468,75.4314,False,73.6520,75.0398,reg,168769
IDCC,2017-10-20,74.4946,75.2381,False,74.1031,75.0398,reg,234576
IDCC,2017-10-23,74.2468,74.8416,False,74.0486,74.3955,reg,219123
IDCC,2017-10-24,74.8416,74.9407,False,74.0981,74.4451,reg,209061
IDCC,2017-10-25,74.4451,74.7920,False,73.8007,74.7425,reg,235234
IDCC,2017-10-26,75.1885,76.3781,False,71.6249,76.3285,reg,391441
IDCC,2017-10-27,71.8677,75.2381,False,71.3721,75.2381,reg,348647
IDCC,2017-10-30,71.5704,72.6608,False,70.6779,71.9669,reg,305567
IDCC,2017-10-31,72.7103,73.3547,False,71.3721,71.8182,reg,361801
IDCC,2017-11-01,73.4538,74.0982,False,72.4129,73.3547,reg,284610
IDCC,2017-11-02,72.5616,73.6520,False,72.4625,73.1068,reg,240624
IDCC,2017-11-03,72.0164,72.9086,False,71.8677,72.5121,reg,348784
IDCC,2017-11-06,72.5616,73.3547,False,71.6199,72.6112,reg,412322
IDCC,2017-11-07,72.4129,72.9086,False,72.0660,72.7599,reg,235218
IDCC,2017-11-08,72.1651,72.6407,False,71.9173,72.3634,reg,348598
IDCC,2017-11-09,71.7686,72.3634,False,71.4712,71.7191,reg,329044
IDCC,2017-11-10,71.4712,71.8677,False,71.3721,71.7686,reg,288293
IDCC,2017-11-13,71.4712,72.0660,False,71.2730,71.3721,reg,261786
IDCC,2017-11-14,70.8765,71.6199,False,70.5295,71.0252,reg,219755
