date,open,high,low,close,volume
2018-01-02,1.7,1.8,1.58,1.73,224003
2018-01-03,1.73,1.73,1.7,1.72,86451
2018-01-04,1.68,1.73,1.6011,1.72,154119
2018-01-05,1.7,1.87,1.62,1.79,182628
2018-01-08,1.79,1.86,1.7,1.72,161800
2018-01-09,1.73,1.85,1.69,1.71,133627
2018-01-10,1.73,1.8299,1.7,1.8,253711
2018-01-11,1.8,1.869,1.8,1.82,164807
2018-01-12,1.84,1.86,1.82,1.85,81218
2018-01-16,1.83,1.86,1.57,1.62,420429
2018-01-17,1.64,1.66,1.61,1.63,172132
2018-01-18,1.63,1.67,1.6,1.66,90167
2018-01-19,1.65,1.6601,1.6,1.62,56695
2018-01-22,1.6,1.65,1.6,1.65,27692
2018-01-23,1.65,1.65,1.61,1.65,52451
2018-01-24,1.7,1.7,1.6,1.6,77348
2018-01-25,1.59,1.6196,1.56,1.57,80864
2018-01-26,1.56,1.78,1.451,1.69,735283
2018-01-29,1.71,1.71,1.63,1.68,69059
2018-01-30,2.2,2.39,1.89,1.92,19711330
2018-01-31,1.86,1.89,1.72,1.87,1493841
2018-02-01,1.86,1.95,1.79,1.83,365846
2018-02-02,1.82,1.8202,1.68,1.79,382086
2018-02-05,1.95,1.95,1.61,1.68,167215
2018-02-06,1.61,1.6994,1.5501,1.65,378520
2018-02-07,1.63,1.77,1.63,1.7,216335
2018-02-08,1.7,1.74,1.63,1.63,145827
2018-02-09,1.63,1.669,1.5533,1.6,256724
2018-02-12,1.57,1.63,1.55,1.56,134441
2018-02-13,1.55,1.63,1.55,1.62,85388
2018-02-14,1.62,1.66,1.57,1.63,106597
2018-02-15,1.63,1.749,1.611,1.72,130328
2018-02-16,1.75,1.79,1.719,1.735,152906
2018-02-20,1.73,1.7465,1.6176,1.68,67810
2018-02-21,1.71,1.74,1.6435,1.69,94571
2018-02-22,1.72,1.76,1.665,1.71,124699
2018-02-23,1.71,1.8,1.6942,1.78,175371
2018-02-26,1.82,1.85,1.79,1.83,141841
2018-02-27,1.82,1.85,1.7701,1.82,112731
2018-02-28,1.81,1.88,1.795,1.82,232597
2018-03-01,1.81,1.88,1.75,1.795,144822
2018-03-02,1.79,1.95,1.7711,1.89,178023
2018-03-05,1.98,1.99,1.86,1.99,192402
2018-03-06,2.05,2.05,1.94,2.03,122218
2018-03-07,2.01,2.09,1.96,2.06,111698
2018-03-08,2.09,2.1,2.04,2.1,104632
2018-03-09,2.1,2.1,1.8,1.99,256216
2018-03-12,1.98,2.05,1.9551,1.98,91237
2018-03-13,2.01,2.05,1.89,1.95,73751
2018-03-14,1.97,1.97,1.86,1.92,58235
2018-03-15,1.91,1.91,1.8,1.85,96478
2018-03-16,1.84,1.87,1.75,1.84,73943
2018-03-19,1.82,1.82,1.73,1.8,47964
2018-03-20,1.75,1.81,1.75,1.79,25605
2018-03-21,1.78,1.91,1.78,1.87,44734
2018-03-22,1.85,1.93,1.85,1.9,44721
2018-03-23,1.89,1.92,1.8,1.84,59137
2018-03-26,1.85,1.85,1.78,1.78,30161
2018-03-27,1.94,2.0446,1.74,1.8,215080
2018-03-28,1.79,1.82,1.74,1.77,78286
2018-03-29,1.78,1.79,1.71,1.76,62645
2018-04-02,1.75,1.84,1.71,1.72,53867
2018-04-03,1.73,1.8,1.7216,1.73,43201
2018-04-04,1.72,1.9,1.72,1.88,117420
2018-04-05,1.9,2.0,1.8701,1.995,162534
2018-04-06,2.0,2.045,1.88,1.98,211043
2018-04-09,1.97,2.02,1.9206,1.99,101779
2018-04-10,2.0,2.189,2.0,2.15,252953
2018-04-11,2.15,2.186,1.9828,2.12,165772
2018-04-12,2.12,2.19,2.12,2.14,139369
2018-04-13,2.15,2.29,2.15,2.25,249552
2018-04-16,2.3,2.3164,2.2,2.24,102703
2018-04-17,2.24,2.24,2.17,2.21,90554
2018-04-18,2.21,2.24,2.16,2.18,84837
2018-04-19,2.19,2.25,2.1601,2.2174,67528
2018-04-20,2.22,2.25,2.2,2.24,89563
2018-04-23,2.24,2.25,2.14,2.2,58586
2018-04-24,2.22,2.23,2.151,2.22,41216
2018-04-25,2.22,2.3,2.16,2.19,86230
2018-04-26,2.2,2.3,2.1864,2.24,67143
2018-04-27,2.21,2.3,2.21,2.26,53219
2018-04-30,2.24,2.3,2.211,2.28,24438
2018-05-01,2.29,2.3,2.27,2.3,32682
2018-05-02,2.3,2.3,2.22,2.27,137136
2018-05-03,2.28,2.32,2.251,2.301,74349
2018-05-04,2.3,2.3,2.2208,2.26,70895
2018-05-07,2.25,2.28,2.23,2.2324,46102
2018-05-08,2.27,2.3,2.239,2.27,73574
2018-05-09,2.3,2.3101,2.1575,2.31,68947
2018-05-10,2.25,2.31,2.25,2.25,87346
2018-05-11,2.16,2.29,2.16,2.25,38692
2018-05-14,2.21,2.28,2.1701,2.25,39053
2018-05-15,2.26,2.5,2.2578,2.39,217473
2018-05-16,2.52,2.6,2.4203,2.46,373032
2018-05-17,2.44,2.45,2.321,2.36,283351
