symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
ITRI,2017-06-05,68.4000,69.5000,False,68.3500,69.2500,reg,68037
ITRI,2017-06-06,68.8000,68.8500,False,67.8000,68.1500,reg,117044
ITRI,2017-06-07,69.3000,69.6000,False,68.6500,69.6000,reg,96259
ITRI,2017-06-08,70.7500,70.9000,False,69.0500,69.4000,reg,230365
ITRI,2017-06-09,71.1000,71.9500,False,69.9500,70.8000,reg,222130
ITRI,2017-06-12,69.8000,71.3000,False,68.7000,71.3000,reg,244446
ITRI,2017-06-13,70.0000,70.4500,False,69.2500,69.9000,reg,118385
ITRI,2017-06-14,69.9500,70.5000,False,69.5750,70.3000,reg,112391
ITRI,2017-06-15,69.1000,69.6500,False,68.4500,69.3500,reg,127000
ITRI,2017-06-16,69.3500,69.6874,False,68.4000,68.4000,reg,343277
ITRI,2017-06-19,69.1500,70.0000,False,67.8000,69.6500,reg,118725
ITRI,2017-06-20,68.4500,69.5500,False,68.2500,69.5000,reg,98790
ITRI,2017-06-21,67.9000,68.9500,False,67.6000,68.7000,reg,91388
ITRI,2017-06-22,69.0500,69.1500,False,67.5000,67.9000,reg,124378
ITRI,2017-06-23,69.2000,69.8000,False,68.9250,69.1000,reg,195735
ITRI,2017-06-26,69.0500,69.8500,False,68.7000,69.2000,reg,74454
ITRI,2017-06-27,67.4000,69.4000,False,67.4000,69.0500,reg,103574
ITRI,2017-06-28,69.3500,69.4000,False,67.7000,67.9000,reg,102063
ITRI,2017-06-29,67.2000,69.3500,False,66.6500,69.3500,reg,133198
ITRI,2017-06-30,67.7500,68.2000,False,67.1500,67.1500,reg,116107
ITRI,2017-07-05,67.7000,68.4250,False,67.2000,68.1500,reg,69948
ITRI,2017-07-06,67.2000,67.7500,False,66.8500,67.2000,reg,91441
ITRI,2017-07-07,68.4000,68.5500,False,67.1500,67.2500,reg,69902
ITRI,2017-07-10,68.9500,69.1500,False,68.0000,68.2000,reg,159915
ITRI,2017-07-11,69.3500,69.7500,False,68.7000,69.0500,reg,135609
ITRI,2017-07-12,70.1500,70.3500,False,69.2000,69.9500,reg,137720
ITRI,2017-07-13,70.7000,71.1000,False,69.9000,70.1000,reg,117956
ITRI,2017-07-14,70.8500,71.1000,False,69.9500,70.8500,reg,119154
ITRI,2017-07-17,71.1000,71.1500,False,70.2500,70.8000,reg,100421
ITRI,2017-07-18,72.0000,72.0000,False,70.9250,71.4500,reg,143592
ITRI,2017-07-19,75.5000,75.5000,False,72.1000,72.1000,reg,357210
ITRI,2017-07-20,74.1500,75.6000,False,73.4500,75.5000,reg,343762
ITRI,2017-07-21,73.6000,74.1500,False,73.0000,74.1500,reg,254891
ITRI,2017-07-24,72.6000,73.9000,False,71.4000,73.2000,reg,196316
ITRI,2017-07-25,73.2000,73.4500,False,72.6000,72.8500,reg,301127
ITRI,2017-07-26,72.9500,73.3000,False,70.5000,70.5000,reg,215751
ITRI,2017-07-27,72.3500,73.5000,False,71.2500,73.3000,reg,145469
ITRI,2017-07-28,72.5000,72.6000,False,71.6250,72.1000,reg,107263
ITRI,2017-07-31,73.0000,73.1500,False,71.9500,72.3000,reg,105265
ITRI,2017-08-01,73.1000,73.6500,False,72.9000,73.4000,reg,123252
ITRI,2017-08-02,73.0500,73.2000,False,71.9050,73.2000,reg,180522
ITRI,2017-08-03,72.4000,74.4500,False,68.8000,74.2000,reg,270592
ITRI,2017-08-04,72.0500,72.6500,False,71.8000,72.6500,reg,182334
ITRI,2017-08-07,73.0500,73.7750,False,71.8500,72.2500,reg,168384
ITRI,2017-08-08,73.0500,73.3500,False,72.4500,72.8500,reg,242589
ITRI,2017-08-09,73.1500,73.4500,False,72.1500,73.0500,reg,271285
ITRI,2017-08-10,72.6500,73.3000,False,72.4000,72.9000,reg,153983
ITRI,2017-08-11,71.6000,73.0500,False,70.3500,72.9000,reg,217948
ITRI,2017-08-14,73.0000,73.1000,False,71.7000,72.5000,reg,191806
ITRI,2017-08-15,73.0500,73.1250,False,72.4500,72.9000,reg,178806
ITRI,2017-08-16,73.0500,73.3000,False,72.6500,73.0000,reg,223622
ITRI,2017-08-17,72.6500,73.3000,False,72.4000,72.7500,reg,206008
ITRI,2017-08-18,71.1500,72.2500,False,70.8500,72.2500,reg,241683
ITRI,2017-08-21,70.2000,71.1000,False,70.2000,71.1000,reg,179679
ITRI,2017-08-22,70.4000,70.6000,False,70.2000,70.3500,reg,149355
ITRI,2017-08-23,70.9000,71.0500,False,70.0000,70.1500,reg,129315
ITRI,2017-08-24,72.0500,72.2000,False,70.8000,71.2000,reg,134464
ITRI,2017-08-25,72.3000,72.7500,False,72.0000,72.2000,reg,66416
ITRI,2017-08-28,72.5500,72.6750,False,72.1500,72.6000,reg,96999
ITRI,2017-08-29,72.5000,72.8750,False,71.9000,72.0000,reg,84367
ITRI,2017-08-30,72.8000,72.9500,False,72.4000,72.4500,reg,81024
ITRI,2017-08-31,72.6000,73.0000,False,72.5000,72.9500,reg,126736
ITRI,2017-09-01,72.7000,72.8500,False,72.4000,72.8500,reg,140899
ITRI,2017-09-05,71.8500,73.1500,False,71.4500,72.5500,reg,273278
ITRI,2017-09-06,71.5500,72.1500,False,70.9500,72.1500,reg,297646
ITRI,2017-09-07,71.4000,71.7000,False,70.7500,71.5500,reg,142337
ITRI,2017-09-08,72.2500,72.6500,False,71.1000,71.1000,reg,162434
ITRI,2017-09-11,72.3500,72.9000,False,71.8000,72.4000,reg,128143
ITRI,2017-09-12,72.0000,72.7000,False,71.2000,72.7000,reg,157356
ITRI,2017-09-13,72.2500,72.2500,False,71.5000,72.0000,reg,145430
ITRI,2017-09-14,72.0000,72.5000,False,71.5500,71.8500,reg,123250
ITRI,2017-09-15,72.8000,73.3000,False,71.9000,72.1000,reg,576727
ITRI,2017-09-18,76.5000,77.4000,False,73.2500,75.6500,reg,948780
ITRI,2017-09-19,76.1000,77.0500,False,74.6000,74.6000,reg,359439
ITRI,2017-09-20,76.2500,77.0000,False,75.3500,76.0500,reg,299063
ITRI,2017-09-21,75.8500,76.3500,False,75.6500,76.2000,reg,190437
ITRI,2017-09-22,76.6000,77.1000,False,75.5000,75.5000,reg,153229
ITRI,2017-09-25,75.3000,76.9000,False,74.5500,76.5000,reg,178493
ITRI,2017-09-26,75.1500,75.6500,False,74.5500,75.3000,reg,189083
ITRI,2017-09-27,76.2000,76.6500,False,74.8000,75.2500,reg,208993
ITRI,2017-09-28,77.1500,77.2000,False,75.9500,76.2500,reg,112926
ITRI,2017-09-29,77.4500,77.6500,False,76.9000,77.0500,reg,212647
ITRI,2017-10-02,77.9000,78.0000,False,76.8000,77.7500,reg,335028
ITRI,2017-10-03,78.8000,78.8500,False,77.7000,78.3000,reg,199227
ITRI,2017-10-04,78.5500,78.9000,False,77.6533,78.5500,reg,219393
ITRI,2017-10-05,77.9000,78.9500,False,77.6500,78.8500,reg,158238
ITRI,2017-10-06,78.1500,78.2000,False,77.1000,77.8000,reg,187844
ITRI,2017-10-09,78.0000,78.4000,False,77.7000,78.1500,reg,78848
ITRI,2017-10-10,78.3000,78.7000,False,77.8500,78.1500,reg,103454
ITRI,2017-10-11,77.9000,78.5500,False,77.8500,78.2000,reg,115065
ITRI,2017-10-12,78.2000,79.5000,False,78.2000,78.4000,reg,214702
ITRI,2017-10-13,78.7500,78.9000,False,77.5000,78.5500,reg,207981
ITRI,2017-10-16,79.2500,79.5500,False,78.8500,79.0000,reg,85129
ITRI,2017-10-17,79.1500,79.9500,False,78.9000,78.9500,reg,147233
ITRI,2017-10-18,79.1000,79.8500,False,78.5250,79.5000,reg,164399
ITRI,2017-10-19,78.8000,79.7500,False,77.5500,78.6500,reg,148421
