date,open,high,low,close,volume
2018-01-02,96.2651,97.2508,95.6538,95.9466,1168723
2018-01-03,96.3249,98.1867,95.5931,97.7884,850491
2018-01-04,98.2862,99.3017,96.9322,98.3758,701036
2018-01-05,100.0584,101.9998,96.3547,97.9676,823087
2018-01-08,97.4997,97.4997,94.941,96.1656,795040
2018-01-09,95.1998,98.7143,90.9486,97.8382,2046175
2018-01-10,96.6136,97.4997,94.9806,95.7474,1398585
2018-01-11,95.628,96.7231,94.1545,94.2242,982606
2018-01-12,94.0151,94.1246,91.9343,92.452,1208834
2018-01-16,92.9996,92.9996,90.1919,90.859,930656
2018-01-17,90.9486,92.5416,90.9486,92.4619,683598
2018-01-18,92.1832,93.0892,91.9542,92.8004,580885
2018-01-19,93.816,95.7673,93.5272,94.5726,827338
2018-01-22,94.8912,94.8912,92.3723,93.577,825061
2018-01-23,93.3878,95.1202,92.7507,94.712,933060
2018-01-24,95.1799,95.5112,93.8856,94.5826,647324
2018-01-25,94.5427,94.5826,93.3679,94.1246,455591
2018-01-26,95.5682,95.5682,93.6567,94.493,728147
2018-01-29,94.4631,94.4631,93.3978,93.577,498754
2018-01-30,92.3922,93.0493,90.9586,91.546,707127
2018-01-31,91.8745,91.9641,90.4707,90.5902,472013
2018-02-01,90.5902,91.6854,89.8634,90.9685,570719
2018-02-02,90.6201,90.7665,86.8268,86.8965,1088291
2018-02-05,86.0004,87.4242,83.7703,84.3776,1778212
2018-02-06,83.392,85.9507,82.8543,84.1486,995271
2018-02-07,83.5612,84.5369,82.7249,82.9937,522603
2018-02-08,83.1231,83.1231,80.2757,80.3354,849623
2018-02-09,80.9627,81.9085,78.9516,81.5401,1330077
2018-02-12,82.1475,84.853,81.6696,82.705,838243
2018-02-13,82.2371,82.3665,81.1021,81.5899,449587
2018-02-14,81.4704,84.2382,81.4704,83.2127,577935
2018-02-15,83.611,85.652,82.705,85.2338,694927
2018-02-16,87.1454,91.3469,86.0215,91.1975,1629564
2018-02-20,90.0824,90.1671,87.3843,87.7925,1214971
2018-02-21,87.8722,88.8977,86.558,86.6974,979488
2018-02-22,90.1023,91.9343,88.37,89.2561,1573215
2018-02-23,88.9773,89.734,87.4341,88.8479,707076
2018-02-26,89.2163,90.0625,88.151,89.6643,703852
2018-02-27,89.276,90.5404,89.276,89.8534,881939
2018-02-28,90.1023,91.2772,89.1067,89.6842,926526
2018-03-01,89.7439,91.3668,89.734,90.64,735540
2018-03-02,90.21,92.09,89.59,91.86,859920
2018-03-05,91.14,92.57,90.7,90.74,710073
2018-03-06,90.55,91.0,88.2,89.5,1700704
2018-03-07,88.76,89.79,88.6,89.25,834216
2018-03-08,89.33,90.145,88.49,88.65,1199442
2018-03-09,89.33,89.81,88.6,89.43,986695
2018-03-12,89.44,90.12,88.851,89.3,667680
2018-03-13,89.54,90.285,88.0,88.62,852453
2018-03-14,88.49,88.94,85.4,85.74,877399
2018-03-15,85.73,86.42,83.83,84.01,640838
2018-03-16,84.44,85.53,84.08,84.85,934570
2018-03-19,84.49,85.39,83.19,84.11,627588
2018-03-20,84.31,86.3335,83.61,84.21,480795
2018-03-21,84.09,86.04,83.74,84.87,748074
2018-03-22,84.15,85.73,84.02,84.16,789296
2018-03-23,84.68,85.66,83.73,83.83,817242
2018-03-26,83.87,85.0,82.88,84.92,741786
2018-03-27,85.25,85.61,83.64,84.05,518807
2018-03-28,83.3,85.62,82.65,85.12,388976
2018-03-29,85.27,85.88,84.63,85.33,379359
2018-04-02,85.27,86.18,83.54,84.14,811884
2018-04-03,84.77,85.47,84.31,85.23,598574
2018-04-04,85.0,86.445,84.815,86.06,724865
2018-04-05,86.02,87.63,85.345,87.13,444055
2018-04-06,86.76,87.46,85.82,86.54,464076
2018-04-09,86.9,87.7976,86.65,86.86,362869
2018-04-10,87.41,88.12,86.13,86.24,376012
2018-04-11,86.16,87.75,86.16,86.9,299802
2018-04-12,87.19,88.04,86.91,87.69,351730
2018-04-13,88.17,88.64,87.17,87.61,575828
2018-04-16,87.66,89.38,87.51,88.99,636149
2018-04-17,89.7,90.45,88.96,89.51,413834
2018-04-18,89.3,90.15,88.97,89.02,394077
2018-04-19,88.75,89.85,87.75,88.37,387708
2018-04-20,88.1,88.91,86.88,88.87,285719
2018-04-23,89.16,89.7,88.77,88.96,302429
2018-04-24,89.1,89.595,88.13,88.8,336081
2018-04-25,88.96,89.66,88.551,89.35,308264
2018-04-26,89.83,90.88,89.28,90.48,233724
2018-04-27,90.52,92.13,90.465,91.7,466875
2018-04-30,92.14,92.39,89.66,89.7,541429
2018-05-01,89.61,90.03,89.15,89.41,376021
2018-05-02,89.05,89.7,87.73,88.81,372629
2018-05-03,88.57,89.62,87.67,88.71,253446
2018-05-04,88.64,89.65,88.03,88.31,663650
2018-05-07,87.88,88.12,86.54,87.68,629334
2018-05-08,87.82,92.46,87.18,90.78,691977
2018-05-09,90.63,90.63,88.515,88.9,406114
2018-05-10,89.57,91.94,89.53,91.51,438772
2018-05-11,91.5,92.0,89.725,90.52,573172
2018-05-14,90.85,91.17,89.09,89.33,447279
2018-05-15,89.61,90.47,89.14,90.38,575891
2018-05-16,90.17,91.85,90.17,91.37,710544
2018-05-17,87.0,87.72,83.57,83.79,2627169
