date,open,high,low,close,volume
2018-01-02,3.07,3.2501,3.0325,3.1,144045
2018-01-03,3.07,3.19,3.0599,3.11,46260
2018-01-04,3.16,3.8,3.031,3.15,536343
2018-01-05,3.12,3.33,3.11,3.21,113566
2018-01-08,3.25,3.3988,3.16,3.35,121180
2018-01-09,3.35,3.92,3.2292,3.7883,950905
2018-01-10,3.48,3.65,3.2,3.2714,380262
2018-01-11,3.12,3.302,3.12,3.2,131620
2018-01-12,3.31,3.31,3.1,3.1395,99309
2018-01-16,3.2,3.2,3.0,3.09,109926
2018-01-17,3.07,3.07,3.0,3.03,43700
2018-01-18,3.0,3.104,2.921,2.97,39526
2018-01-19,2.95,3.0054,2.93,3.0,12742
2018-01-22,3.02,3.2,2.921,3.01,87341
2018-01-23,3.0,3.05,2.97,2.99,17061
2018-01-24,2.95,3.0,2.9201,2.97,55335
2018-01-25,3.0,3.0,2.9504,3.0,5800
2018-01-26,2.99,3.036,2.9201,2.9499,34785
2018-01-29,2.92,2.94,2.81,2.84,65754
2018-01-30,2.7,2.91,2.7,2.79,52193
2018-01-31,2.8881,2.8881,2.7,2.73,26315
2018-02-01,2.78,2.8052,2.74,2.75,6975
2018-02-02,2.73,2.889,2.73,2.8,32236
2018-02-05,2.78,2.89,2.75,2.76,49009
2018-02-06,2.73,2.78,2.63,2.66,51031
2018-02-07,2.71,2.74,2.67,2.7,37417
2018-02-08,2.729,2.73,2.67,2.67,13797
2018-02-09,2.67,2.72,2.57,2.57,68347
2018-02-12,2.59,2.6624,2.5448,2.64,41909
2018-02-13,2.74,2.76,2.64,2.73,26495
2018-02-14,2.69,2.86,2.65,2.85,40013
2018-02-15,2.85,2.87,2.66,2.85,49394
2018-02-16,2.85,3.02,2.8,2.94,74132
2018-02-20,2.97,2.9999,2.8573,2.88,29840
2018-02-21,2.8752,2.881,2.8,2.8,13230
2018-02-22,2.8101,2.89,2.8101,2.89,5290
2018-02-23,2.8552,2.8805,2.81,2.86,4594
2018-02-26,2.99,2.99,2.88,2.88,36154
2018-02-27,2.85,2.8648,2.79,2.82,3344
2018-02-28,2.8552,2.8552,2.79,2.839,3245
2018-03-01,2.8502,2.88,2.79,2.85,6765
2018-03-02,2.79,2.84,2.79,2.83,4184
2018-03-05,2.83,2.95,2.83,2.95,34269
2018-03-06,2.94,2.94,2.89,2.9,7646
2018-03-07,2.937,2.94,2.92,2.94,3617
2018-03-08,2.92,3.05,2.9076,2.98,48019
2018-03-09,2.95,3.02,2.88,3.0,10542
2018-03-12,2.96,3.09,2.96,3.07,37863
2018-03-13,3.1,3.1,2.94,3.0504,30165
2018-03-14,3.25,3.34,2.89,2.97,384691
2018-03-15,2.94,2.955,2.75,2.75,46269
2018-03-16,2.73,2.83,2.7,2.81,19271
2018-03-19,2.91,2.94,2.84,2.88,17223
2018-03-20,2.95,2.95,2.7801,2.86,10127
2018-03-21,2.85,2.8748,2.72,2.75,38522
2018-03-22,2.81,2.889,2.72,2.76,57371
2018-03-23,2.77,2.77,2.6702,2.68,28028
2018-03-26,2.3,2.3,2.16,2.23,295882
2018-03-27,2.18,2.18,1.97,2.0,135034
2018-03-28,2.02,2.02,1.95,1.98,171526
2018-03-29,2.05,2.05,1.92,2.0101,28700
2018-04-02,2.01,2.0268,1.8501,1.87,43984
2018-04-03,1.9,2.399,1.59,1.84,827494
2018-04-04,1.79,1.79,1.6,1.67,94215
2018-04-05,1.7,1.7,1.5,1.67,115665
2018-04-06,1.65,1.67,1.6,1.66,29731
2018-04-09,1.5,1.5324,1.45,1.45,265091
2018-04-10,1.47,1.6794,1.4501,1.6,542603
2018-04-11,1.61,1.63,1.4998,1.5,83030
2018-04-12,1.5,1.6,1.5,1.54,71303
2018-04-13,1.55,1.61,1.53,1.58,51247
2018-04-16,1.65,1.65,1.5528,1.61,64521
2018-04-17,1.62,1.68,1.5,1.56,149425
2018-04-18,1.55,1.8,1.52,1.78,189880
2018-04-19,1.79,1.79,1.581,1.64,166311
2018-04-20,1.63,1.685,1.55,1.64,58810
2018-04-23,1.62,1.645,1.58,1.6,25207
2018-04-24,1.64,1.666,1.53,1.54,72079
2018-04-25,1.61,1.61,1.36,1.43,202937
2018-04-26,1.43,1.45,1.39,1.42,86361
2018-04-27,1.45,1.5401,1.3768,1.48,163559
2018-04-30,1.52,1.52,1.45,1.52,115018
2018-05-01,1.52,1.56,1.45,1.5,68510
2018-05-02,1.5,1.536,1.45,1.49,29475
2018-05-03,1.49,1.514,1.45,1.46,14666
2018-05-04,1.46,1.5,1.46,1.49,168702
2018-05-07,1.54,1.68,1.47,1.569,270439
2018-05-08,1.55,1.55,1.49,1.4911,69298
2018-05-09,1.46,1.6521,1.42,1.499,307892
2018-05-10,1.5,1.5,1.25,1.32,357866
2018-05-11,1.26,1.26,1.01,1.07,367572
2018-05-14,0.9751,1.17,0.975,1.12,1002704
2018-05-15,0.97,1.0,0.76,0.76,1008963
2018-05-16,0.85,0.92,0.52,0.525,5528683
2018-05-17,0.525,0.5399,0.515,0.53,1296271
