symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
KOSS,2017-06-06,1.9300,1.9300,False,1.8000,1.8500,reg,48015
KOSS,2017-06-07,2.0050,2.1700,False,1.9200,1.9300,reg,47019
KOSS,2017-06-08,1.9300,2.1390,False,1.8700,2.0200,reg,36399
KOSS,2017-06-09,2.0500,2.0500,False,1.8500,1.9500,reg,31996
KOSS,2017-06-12,1.8300,2.1000,False,1.8300,1.8700,reg,41299
KOSS,2017-06-13,2.0300,2.0300,False,1.8600,1.9000,reg,33154
KOSS,2017-06-14,1.9200,2.0900,False,1.9100,2.0300,reg,38154
KOSS,2017-06-15,2.0000,2.0166,False,1.8500,2.0166,reg,4884
KOSS,2017-06-16,1.9100,1.9700,False,1.8700,1.9516,reg,7183
KOSS,2017-06-19,1.8601,1.9700,False,1.8601,1.9200,reg,5976
KOSS,2017-06-20,1.8700,1.8719,False,1.8600,1.8600,reg,928
KOSS,2017-06-21,1.8500,1.8600,False,1.8500,1.8600,reg,1204
KOSS,2017-06-22,1.8900,1.8933,False,1.8600,1.8600,reg,5526
KOSS,2017-06-23,1.8600,1.8799,False,1.8500,1.8500,reg,8780
KOSS,2017-06-26,1.9100,2.0200,False,1.8500,1.9000,reg,61713
KOSS,2017-06-27,1.9300,1.9300,False,1.8734,1.9100,reg,1730
KOSS,2017-06-28,1.8700,1.9500,False,1.8600,1.9400,reg,8107
KOSS,2017-06-29,1.8100,1.8600,False,1.8100,1.8600,reg,6403
KOSS,2017-06-30,1.8100,1.8400,False,1.7900,1.8100,reg,1907
KOSS,2017-07-05,1.8100,1.8671,False,1.8100,1.8100,reg,3563
KOSS,2017-07-06,1.7900,1.8100,False,1.7600,1.8100,reg,13128
KOSS,2017-07-07,1.7900,1.7900,False,1.7900,1.7900,reg,134
KOSS,2017-07-10,1.8299,1.8300,False,1.8200,1.8300,reg,929
KOSS,2017-07-11,1.8500,2.0000,False,1.8000,1.8100,reg,83651
KOSS,2017-07-12,1.7800,1.9000,False,1.7800,1.9000,reg,20344
KOSS,2017-07-13,1.8377,1.8377,False,1.7600,1.7808,reg,20854
KOSS,2017-07-14,1.7900,1.8100,False,1.7700,1.8100,reg,1764
KOSS,2017-07-17,1.8100,1.9700,False,1.7800,1.7827,reg,89999
KOSS,2017-07-18,1.8700,1.8800,False,1.7600,1.8000,reg,29489
