symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
LAND,2017-06-27,10.9535,11.1167,False,10.8767,11.0879,reg,41601
LAND,2017-06-28,10.8287,11.1167,False,10.8191,10.9727,reg,54129
LAND,2017-06-29,11.0591,11.0591,False,10.8095,10.8575,reg,54816
LAND,2017-06-30,11.2031,11.3077,False,11.0015,11.0591,reg,62943
LAND,2017-07-05,11.1839,11.4047,False,11.0879,11.4047,reg,42190
LAND,2017-07-06,10.9247,11.2127,False,10.8959,11.2127,reg,39470
LAND,2017-07-07,11.0687,11.0687,False,10.8130,10.9439,reg,22838
LAND,2017-07-10,10.9727,11.2703,False,10.8479,11.0591,reg,45055
LAND,2017-07-11,10.9631,11.1011,False,10.8719,10.9919,reg,35594
LAND,2017-07-12,11.0399,11.1977,False,10.9919,11.0303,reg,31056
LAND,2017-07-13,11.1071,11.1300,False,10.9919,11.0399,reg,24419
LAND,2017-07-14,11.0591,11.1455,False,11.0399,11.0687,reg,34012
LAND,2017-07-17,11.2127,11.2319,False,11.1042,11.1071,reg,21583
LAND,2017-07-18,11.3087,11.3903,False,11.1992,11.2319,reg,44007
LAND,2017-07-19,11.2932,11.3607,False,11.2740,11.3607,reg,39695
LAND,2017-07-20,11.2932,11.3510,False,11.2065,11.3125,reg,43052
LAND,2017-07-21,11.2740,11.3222,False,11.2354,11.3222,reg,25889
LAND,2017-07-24,11.3029,11.3787,False,11.2547,11.3318,reg,87590
LAND,2017-07-25,11.2547,11.3607,False,11.2547,11.3607,reg,46344
LAND,2017-07-26,11.5534,11.5534,False,11.2643,11.2643,reg,67295
LAND,2017-07-27,11.5727,11.6980,False,11.4185,11.5245,reg,49836
LAND,2017-07-28,11.5534,11.6883,False,11.4763,11.5052,reg,24312
LAND,2017-07-31,11.6498,11.6594,False,11.4763,11.6112,reg,34207
LAND,2017-08-01,11.6112,11.6594,False,11.4877,11.6594,reg,97509
LAND,2017-08-02,11.5534,11.6103,False,11.5052,11.5823,reg,12902
LAND,2017-08-03,11.4474,11.6305,False,11.4474,11.5438,reg,25454
