date,open,high,low,close,volume
2018-01-02,85.62,88.58,85.11,88.3,236262
2018-01-03,89.01,91.25,88.22,89.49,336012
2018-01-04,89.68,90.16,87.98,88.39,161215
2018-01-05,88.27,88.96,88.03,88.83,204732
2018-01-08,88.94,90.61,88.54,89.66,188823
2018-01-09,89.71,90.04,89.16,89.34,84750
2018-01-10,88.91,89.2,87.5,88.71,242410
2018-01-11,88.81,90.29,88.69,89.93,273834
2018-01-12,90.01,90.49,89.26,90.3,110102
2018-01-16,89.63,90.54,88.8975,89.44,129142
2018-01-17,90.07,90.95,89.49,90.76,95916
2018-01-18,90.53,92.24,90.4,92.11,152668
2018-01-19,92.58,93.11,92.23,93.03,108847
2018-01-22,93.1,93.9551,92.97,93.81,78144
2018-01-23,93.77,94.26,93.28,93.96,187429
2018-01-24,94.31,95.34,93.3,95.14,182196
2018-01-25,95.33,95.55,94.1,94.7,99967
2018-01-26,95.02,95.27,94.485,94.96,126174
2018-01-29,94.7,94.73,93.64,93.8,105974
2018-01-30,93.96,94.65,93.83,94.3,144992
2018-01-31,94.51,95.07,92.5779,94.64,123083
2018-02-01,94.39,95.6,93.85,93.9,180720
2018-02-02,94.18,98.53,94.18,96.16,295177
2018-02-05,96.26,97.1,92.67,92.94,327146
2018-02-06,91.52,92.13,89.58,91.33,202339
2018-02-07,91.18,91.91,89.91,90.32,136423
2018-02-08,90.38,90.38,86.35,86.5,174322
2018-02-09,87.25,87.75,84.92,86.04,369873
2018-02-12,86.58,89.42,86.48,89.09,134535
2018-02-13,89.03,89.03,88.08,88.78,114559
2018-02-14,88.34,90.04,88.22,89.95,92283
2018-02-15,90.13,91.73,89.57,91.46,75360
2018-02-16,90.97,92.74,90.87,91.88,66419
2018-02-20,91.96,91.98,90.5,90.73,92443
2018-02-21,91.04,92.51,90.56,91.11,197733
2018-02-22,91.11,91.77,89.24,89.46,155625
2018-02-23,89.78,91.76,89.25,91.61,62908
2018-02-26,91.75,91.91,90.77,91.07,136333
2018-02-27,91.1,91.3,89.39,89.45,131513
2018-02-28,89.84,90.0,87.3,87.38,136041
2018-03-01,88.12,88.58,85.8775,87.05,555071
2018-03-02,86.555,86.75,85.37,85.87,337403
2018-03-05,85.85,89.06,84.93,88.39,238691
2018-03-06,88.75,88.75,86.82,87.62,157045
2018-03-07,86.52,87.85,84.02,87.19,227325
2018-03-08,86.4,88.49,86.4,87.68,199044
2018-03-09,88.34,89.35,87.69,88.71,129518
2018-03-12,88.56,93.84,88.56,91.53,182150
2018-03-13,91.85,92.44,89.1,89.35,69616
2018-03-14,89.91,89.91,87.73,87.86,143565
2018-03-15,88.01,88.07,86.715,87.24,92896
2018-03-16,87.25,88.44,87.25,88.13,120696
2018-03-19,88.02,88.02,86.18,86.8,226838
2018-03-20,86.87,87.045,85.81,86.24,205935
2018-03-21,86.23,86.78,85.89,86.25,182397
2018-03-22,85.63,85.63,84.75,85.27,268596
2018-03-23,85.28,85.37,83.245,83.35,414108
2018-03-26,84.18,84.18,82.19,83.28,207186
2018-03-27,83.55,84.06,82.44,83.1,624616
2018-03-28,83.11,83.83,82.5,82.96,414907
2018-03-29,83.27,85.1,82.49,84.8,169661
2018-04-02,84.32,84.65,81.65,82.47,308698
2018-04-03,83.03,83.47,82.11,82.99,369428
2018-04-04,82.03,83.46,82.03,83.21,240215
2018-04-05,83.62,84.0828,82.58,83.56,111633
2018-04-06,82.87,83.42,81.69,82.38,169646
2018-04-09,82.73,83.97,82.39,82.95,197865
2018-04-10,83.64,84.18,82.23,82.31,190340
2018-04-11,82.0,82.0763,81.14,81.31,171192
2018-04-12,81.74,81.96,80.42,81.64,212774
2018-04-13,82.07,82.07,80.895,81.19,129578
2018-04-16,81.24,83.21,81.01,82.88,150058
2018-04-17,83.3,83.67,82.7,82.88,89762
2018-04-18,82.83,84.1844,82.83,83.84,98017
2018-04-19,84.04,84.87,82.88,83.3,67846
2018-04-20,83.1,83.8,82.09,82.46,85486
2018-04-23,82.47,83.18,82.33,82.7,87347
2018-04-24,82.98,83.59,80.27,80.85,175277
2018-04-25,80.86,81.31,79.81,81.11,156325
2018-04-26,81.14,81.69,80.58,81.05,145761
2018-04-27,77.24,77.24,68.28,69.25,1132588
2018-04-30,69.6,71.282,69.6,70.48,381380
2018-05-01,70.48,71.85,69.51,71.59,614579
2018-05-02,71.56,72.35,69.54,69.61,273508
2018-05-03,69.5,70.8,68.2,70.55,495941
2018-05-04,70.64,72.17,70.64,72.1,220700
2018-05-07,71.78,73.06,71.72,72.8,258637
2018-05-08,72.79,72.92,71.61,71.75,256318
2018-05-09,70.46,72.0325,70.46,70.54,245893
2018-05-10,70.51,71.75,70.51,71.13,145175
2018-05-11,70.87,71.1,70.28,70.73,131173
2018-05-14,70.93,72.03,70.74,71.71,144736
2018-05-15,70.89,71.48,70.63,71.39,303452
2018-05-16,71.18,72.38,71.03,71.85,179631
2018-05-17,71.74,71.85,70.86,70.94,179936
