date,open,high,low,close,volume
2018-01-02,198.5873,199.4258,195.7024,197.9185,100525
2018-01-03,197.9185,201.8016,196.8703,200.444,124472
2018-01-04,201.542,203.254,200.6935,202.131,94089
2018-01-05,202.1909,203.1392,200.6137,200.8333,117103
2018-01-08,200.1046,204.9859,199.1962,204.2273,108639
2018-01-09,204.2772,205.6348,202.4005,202.69,102340
2018-01-10,201.1927,201.9912,199.855,200.7035,82351
2018-01-11,201.003,202.7699,200.0547,202.2308,99317
2018-01-12,202.4305,206.3734,202.3706,206.084,126966
2018-01-16,206.3734,209.3082,205.0857,205.1856,168009
2018-01-17,207.1321,211.3546,206.5581,210.3963,442695
2018-01-18,210.1767,211.9635,207.4333,209.6077,272740
2018-01-19,209.9371,219.7996,209.9371,219.5401,227519
2018-01-22,219.6099,220.0991,216.2359,219.8395,391277
2018-01-23,219.0509,220.6671,213.7104,213.8202,288437
2018-01-24,215.2078,217.6534,211.7339,212.253,334981
2018-01-25,213.2712,215.8666,207.9806,208.7592,243586
2018-01-26,210.017,212.1232,207.5314,211.9935,391229
2018-01-29,211.6441,212.3428,208.4098,208.4797,189696
2018-01-30,206.4333,210.3713,205.6747,207.2918,212602
2018-01-31,211.6241,221.0174,211.6151,216.9547,340597
2018-02-01,216.6053,225.9287,214.6188,221.6064,277108
2018-02-02,220.9376,221.6064,213.9899,214.509,181523
2018-02-05,212.1232,215.627,206.7827,207.8209,328413
2018-02-06,203.4187,210.6858,199.0864,209.1286,285284
2018-02-07,208.31,209.5877,204.6266,205.5449,126398
2018-02-08,205.9143,206.2437,193.9056,194.0354,197739
2018-02-09,195.9719,200.3941,189.4934,199.1263,249195
2018-02-12,199.9449,202.2408,198.2302,199.9648,187505
2018-02-13,198.2479,200.8433,196.3513,198.168,108000
2018-02-14,195.8821,203.1092,195.8821,202.9096,118672
2018-02-15,204.6166,209.4879,200.973,208.31,181181
2018-02-16,207.192,208.9988,206.2636,207.6811,124475
2018-02-20,206.2437,209.8772,205.9642,208.29,146699
2018-02-21,207.0,211.41,205.57,208.77,118201
2018-02-22,210.18,211.91,208.89,210.15,92013
2018-02-23,211.57,211.7247,207.59,210.15,58126
2018-02-26,210.0,212.75,208.48,212.66,164109
2018-02-27,212.92,214.71,210.04,210.04,107079
2018-02-28,210.74,213.0,206.49,207.5,172425
2018-03-01,208.39,210.47,205.69,207.53,157257
2018-03-02,206.5,210.54,205.39,209.95,120368
2018-03-05,208.82,211.45,205.76,208.4,129891
2018-03-06,209.02,213.4,208.66,211.98,140629
2018-03-07,209.85,214.86,207.855,214.13,108875
2018-03-08,214.61,214.61,209.5,212.42,84837
2018-03-09,213.94,219.6,213.59,219.4,113092
2018-03-12,219.63,224.0,214.7225,222.52,177831
2018-03-13,223.37,225.3,220.1,221.21,152215
2018-03-14,222.08,222.08,217.68,220.07,158155
2018-03-15,219.83,221.09,214.86,220.94,120640
2018-03-16,221.0,224.22,216.52,223.19,250227
2018-03-19,222.24,223.72,211.24,219.7,116735
2018-03-20,220.17,224.95,219.08,219.43,128168
2018-03-21,218.96,222.84,218.96,219.23,108016
2018-03-22,217.34,219.6,210.33,210.56,148669
2018-03-23,211.43,211.5,204.25,204.73,202662
2018-03-26,207.91,208.5,204.445,207.54,140241
2018-03-27,207.53,207.53,200.69,201.89,129700
2018-03-28,201.76,203.92,197.82,201.61,163698
2018-03-29,203.28,210.25,203.28,208.18,133454
2018-04-02,207.43,208.28,199.04,201.02,88924
2018-04-03,202.26,209.0675,200.5,202.3,181373
2018-04-04,199.36,202.93,196.66,201.55,139616
2018-04-05,203.5,205.38,201.05,202.37,93934
2018-04-06,200.98,202.565,196.01,198.63,105843
2018-04-09,200.3,204.52,198.5,199.44,81801
2018-04-10,202.61,204.85,200.98,203.04,85086
2018-04-11,202.84,204.35,201.74,203.47,119016
2018-04-12,204.7,207.35,202.095,206.19,80269
2018-04-13,206.87,206.87,202.76,204.06,77333
2018-04-16,205.85,205.895,202.785,203.91,119543
2018-04-17,205.0,211.36,204.68,210.99,121180
2018-04-18,211.01,213.06,209.51,211.22,88596
2018-04-19,212.19,213.79,208.24,208.77,93789
2018-04-20,207.48,208.35,202.62,204.12,103418
2018-04-23,205.19,206.7972,202.09,203.09,118656
2018-04-24,203.96,205.1,197.23,199.26,106658
2018-04-25,199.45,200.94,196.77,199.2,63267
2018-04-26,200.22,200.25,197.7,198.04,94955
2018-04-27,199.09,199.09,192.55,192.59,204804
2018-04-30,192.51,195.085,186.19,186.92,245737
2018-05-01,186.73,187.4275,184.04,186.59,275575
2018-05-02,204.3,220.73,203.8,218.9,617349
2018-05-03,219.29,219.805,209.03,210.08,316131
2018-05-04,209.46,209.66,204.765,206.61,335990
2018-05-07,207.03,213.57,204.65,212.18,186972
2018-05-08,211.91,213.66,209.33,211.79,133925
2018-05-09,212.73,216.58,210.75,216.5,143807
2018-05-10,217.19,219.96,209.98,219.81,131031
2018-05-11,216.92,218.0,211.01,213.79,198033
2018-05-14,214.82,217.15,213.01,214.32,94952
2018-05-15,213.3,215.53,211.79,215.18,92077
2018-05-16,215.03,218.3,213.6,216.48,180347
2018-05-17,216.86,218.85,215.14,216.96,126090
