date,open,high,low,close,volume
2018-01-02,20.6,21.3,20.15,21.0,257727
2018-01-03,21.0,21.1,20.5,20.9,240967
2018-01-04,21.0,21.1,20.25,20.575,244306
2018-01-05,20.55,21.75,20.4,21.7,252834
2018-01-08,21.6,21.65,20.7,20.85,257666
2018-01-09,20.95,22.65,20.95,22.5,439669
2018-01-10,22.35,23.75,22.15,23.55,502424
2018-01-11,23.7,24.1,23.05,23.65,396939
2018-01-12,23.7,23.95,23.3,23.475,214257
2018-01-16,23.55,23.9,21.925,22.15,375119
2018-01-17,22.35,22.6,22.0,22.4,184370
2018-01-18,22.35,23.0,22.25,22.6,214969
2018-01-19,22.55,22.85,22.35,22.8,214328
2018-01-22,22.85,23.2,22.4,23.2,251104
2018-01-23,23.2,23.6,22.95,23.5,176278
2018-01-24,23.6,24.4,22.45,22.95,354447
2018-01-25,23.2,24.45,23.0,24.3,481162
2018-01-26,24.35,24.45,23.3,23.6,206268
2018-01-29,23.5,24.35,23.35,24.15,270537
2018-01-30,23.85,24.3,23.35,23.8,260905
2018-01-31,23.9,23.9,22.85,23.0,246094
2018-02-01,22.9,23.35,21.9,23.15,394322
2018-02-02,22.95,22.95,21.75,21.9,391952
2018-02-05,21.55,22.15,20.4,20.5,289675
2018-02-06,20.3,20.95,19.55,20.85,295202
2018-02-07,20.7,20.9,19.9,20.15,308997
2018-02-08,20.25,20.295,19.6,19.7,237067
2018-02-09,19.95,20.15,18.8,19.95,300702
2018-02-12,20.0,20.6,19.35,19.8,221422
2018-02-13,19.65,20.2,19.25,19.9,359479
2018-02-14,19.9,20.6,19.8,20.15,267471
2018-02-15,20.0,20.45,19.65,20.35,269587
2018-02-16,20.25,20.725,20.25,20.55,131409
2018-02-20,20.15,20.775,20.15,20.5,229367
2018-02-21,20.7,21.45,20.65,20.95,156603
2018-02-22,20.95,20.95,19.7,19.8,289059
2018-02-23,20.0,20.1,19.3,19.8,308242
2018-02-26,19.8,20.3,19.35,20.0,346801
2018-02-27,17.05,17.6,15.05,15.35,2355757
2018-02-28,15.25,15.7,15.15,15.3,639663
2018-03-01,15.4,15.85,14.8,14.85,880874
2018-03-02,14.9,16.5,14.45,16.4,914157
2018-03-05,16.15,16.4,15.55,15.8,542305
2018-03-06,15.8,15.9,15.0,15.35,532575
2018-03-07,15.15,15.75,15.15,15.7,480813
2018-03-08,15.65,15.9,15.55,15.7,267398
2018-03-09,15.85,16.55,15.7,16.0,396106
2018-03-12,15.95,17.0,15.95,16.8,348180
2018-03-13,16.95,16.95,16.35,16.45,289041
2018-03-14,16.45,16.85,16.25,16.4,394237
2018-03-15,16.4,16.55,16.15,16.2,311789
2018-03-16,16.2,16.7,16.1,16.2,528148
2018-03-19,16.1,16.15,15.5,15.55,393935
2018-03-20,15.65,16.15,15.65,16.1,246310
2018-03-21,16.05,16.3,15.9,16.15,185461
2018-03-22,15.9,15.9,15.05,15.1,473949
2018-03-23,15.15,15.725,15.15,15.5,403933
2018-03-26,15.9,16.45,15.5,16.45,421865
2018-03-27,16.55,16.55,15.65,15.8,570349
2018-03-28,15.8,16.0,15.5,15.65,634370
2018-03-29,15.8,16.15,15.65,15.9,837408
2018-04-02,15.75,16.5,15.6,15.9,410482
2018-04-03,15.75,15.875,15.05,15.4,439025
2018-04-04,15.25,15.95,15.1,15.9,448637
2018-04-05,16.1,16.25,15.8,16.1,211476
2018-04-06,15.9,16.1,15.1,15.35,198559
2018-04-09,15.5,15.645,14.8,14.85,280521
2018-04-10,15.0,15.5,14.925,15.3,301848
2018-04-11,15.1,15.6,14.1067,15.5,299409
2018-04-12,15.55,15.95,15.35,15.75,446835
2018-04-13,15.85,16.35,15.65,15.95,346004
2018-04-16,16.0,16.6,15.35,16.45,271057
2018-04-17,16.5,17.25,16.35,17.2,307670
2018-04-18,17.25,17.4,16.95,17.15,430144
2018-04-19,17.15,17.45,17.0,17.3,149867
2018-04-20,17.15,17.65,17.1,17.55,224353
2018-04-23,17.6,17.7,17.3,17.6,314237
2018-04-24,17.7,17.7,17.3,17.55,405053
2018-04-25,17.55,17.7,17.075,17.35,266520
2018-04-26,17.5,18.075,17.4,17.9,249960
2018-04-27,18.0,18.05,17.65,18.0,274922
2018-04-30,17.85,18.05,17.725,17.8,236768
2018-05-01,17.8,18.45,17.75,18.35,353713
2018-05-02,18.35,19.35,18.0252,18.7,436325
2018-05-03,19.35,19.95,17.7,17.9,679411
2018-05-04,17.85,17.85,16.1,16.425,761416
2018-05-07,16.4,16.5,15.55,15.65,587605
2018-05-08,15.55,15.55,14.2,14.35,781993
2018-05-09,14.35,14.6,13.875,14.0,714655
2018-05-10,14.1,14.95,14.0,14.8,547791
2018-05-11,14.9,15.0,14.15,14.9,357227
2018-05-14,14.85,15.095,14.425,14.45,322230
2018-05-15,14.45,14.55,14.2,14.3,209887
2018-05-16,14.4,14.7,14.1,14.5,346882
2018-05-17,14.4,14.65,14.1,14.15,356496
