symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
LOGM,2017-06-05,110.8181,113.4437,False,110.7933,112.7006,reg,401403
LOGM,2017-06-06,111.2144,112.1001,False,109.6787,110.4218,reg,381641
LOGM,2017-06-07,110.9667,112.4529,False,110.8181,111.8584,reg,597852
LOGM,2017-06-08,114.1620,115.3757,False,111.0658,111.7098,reg,703118
LOGM,2017-06-09,110.1741,115.5738,False,107.3504,114.8307,reg,800968
LOGM,2017-06-12,108.4898,108.9852,False,104.1304,106.8550,reg,772394
LOGM,2017-06-13,109.5301,110.9667,False,108.6879,109.0842,reg,883203
LOGM,2017-06-14,107.8458,110.3227,False,106.9541,110.3227,reg,393138
LOGM,2017-06-15,107.7467,107.8953,False,103.9322,103.9322,reg,715480
LOGM,2017-06-16,107.5981,108.9852,False,106.7559,107.0532,reg,690268
LOGM,2017-06-19,110.6695,110.7190,False,107.0581,108.7870,reg,414051
LOGM,2017-06-20,107.2018,111.2144,False,107.2018,110.3723,reg,351791
LOGM,2017-06-21,108.9356,109.3815,False,107.2513,107.8953,reg,523234
LOGM,2017-06-22,108.4898,109.4310,False,107.8953,108.4402,reg,399117
LOGM,2017-06-23,109.2824,111.6603,False,108.2916,108.3907,reg,5893709
LOGM,2017-06-26,109.2824,112.6260,False,109.1833,110.6199,reg,512378
LOGM,2017-06-27,104.9725,110.9172,False,104.8239,109.2329,reg,661633
LOGM,2017-06-28,106.8550,107.0036,False,104.2790,105.1212,reg,837116
LOGM,2017-06-29,104.2295,106.5082,False,102.4461,106.4092,reg,776751
LOGM,2017-06-30,103.5359,104.8239,False,102.9910,104.6258,reg,610174
LOGM,2017-07-05,103.3378,104.4276,False,102.1241,102.2479,reg,540720
LOGM,2017-07-06,103.1396,104.5267,False,102.0993,102.0993,reg,619725
LOGM,2017-07-07,106.1615,106.5578,False,103.5359,103.7836,reg,451117
LOGM,2017-07-10,108.8366,109.2329,False,105.3936,106.2605,reg,792551
LOGM,2017-07-11,108.9852,110.2732,False,108.0935,108.4402,reg,392420
LOGM,2017-07-12,111.6603,111.7593,False,109.6787,110.2732,reg,562510
LOGM,2017-07-13,109.4310,112.2547,False,109.3319,112.0070,reg,536702
LOGM,2017-07-14,109.2824,109.9759,False,108.8366,109.9759,reg,328654
LOGM,2017-07-17,110.3723,110.5209,False,109.2576,109.7283,reg,269411
LOGM,2017-07-18,110.6199,110.9667,False,109.4310,109.9759,reg,325610
LOGM,2017-07-19,112.2052,112.9483,False,110.7686,111.8089,reg,328616
LOGM,2017-07-20,111.4126,114.6078,False,111.2640,113.8400,reg,438054
LOGM,2017-07-21,110.2732,111.7098,False,109.0942,110.3723,reg,484187
LOGM,2017-07-24,110.8181,111.7098,False,110.1741,110.5209,reg,391755
LOGM,2017-07-25,111.5116,111.5612,False,110.1741,111.1153,reg,472849
LOGM,2017-07-26,112.2052,112.8852,False,111.0163,112.1556,reg,374737
LOGM,2017-07-27,110.4713,113.3941,False,108.2916,112.8987,reg,780801
LOGM,2017-07-28,115.1280,120.1314,False,113.8400,118.8929,reg,1783903
LOGM,2017-07-31,115.3757,118.0953,False,114.4840,115.8215,reg,771243
LOGM,2017-08-01,115.7224,117.6544,False,115.2271,116.0692,reg,575702
LOGM,2017-08-02,112.9483,117.1591,False,111.5612,116.3169,reg,561145
LOGM,2017-08-03,112.3043,113.5923,False,111.7593,112.9978,reg,337992
LOGM,2017-08-04,111.6603,112.5520,False,111.2640,112.4033,reg,382056
LOGM,2017-08-07,116.7741,116.9727,False,111.5610,112.3553,reg,539419
LOGM,2017-08-08,116.3273,117.5685,False,116.2280,116.9230,reg,649874
LOGM,2017-08-09,115.6818,116.3273,False,114.5995,114.7385,reg,481721
LOGM,2017-08-10,110.7169,115.3839,False,110.3694,114.2917,reg,670278
LOGM,2017-08-11,112.8518,113.2987,False,110.8659,111.0148,reg,475699
LOGM,2017-08-14,117.0223,117.2209,False,113.5469,114.0931,reg,474548
LOGM,2017-08-15,115.3343,117.4195,False,115.2350,117.3202,reg,389013
LOGM,2017-08-16,116.8734,117.8167,False,115.4832,116.2776,reg,383903
LOGM,2017-08-17,112.6532,116.5258,False,112.5539,115.9301,reg,508524
LOGM,2017-08-18,112.7029,114.1427,False,112.2560,112.5043,reg,296444
LOGM,2017-08-21,112.9015,113.2987,False,111.1638,113.0008,reg,240490
LOGM,2017-08-22,113.0504,114.1583,False,112.2064,113.5966,reg,308639
LOGM,2017-08-23,111.8092,113.1497,False,111.7596,112.1071,reg,273803
LOGM,2017-08-24,112.0575,113.1497,False,110.7666,112.3057,reg,421318
LOGM,2017-08-25,109.9226,113.0008,False,109.7240,112.6532,reg,422739
LOGM,2017-08-28,111.1638,111.3127,False,109.2771,110.0715,reg,388730
LOGM,2017-08-29,111.5113,112.1071,False,109.6247,109.6743,reg,279195
LOGM,2017-08-30,112.5539,112.7029,False,111.3127,111.4120,reg,236725
LOGM,2017-08-31,113.5966,114.7881,False,112.2560,112.8518,reg,395386
LOGM,2017-09-01,115.6818,115.9797,False,114.1924,114.3413,reg,519933
LOGM,2017-09-05,112.7029,115.8804,False,112.5937,115.5329,reg,610493
LOGM,2017-09-06,112.0078,113.3980,False,111.6106,113.3483,reg,445581
LOGM,2017-09-07,111.2134,113.3483,False,111.1638,112.3553,reg,323393
LOGM,2017-09-08,109.2275,111.5620,False,109.1282,111.1141,reg,322246
LOGM,2017-09-11,110.1211,112.2560,False,110.0219,110.7666,reg,692082
LOGM,2017-09-12,110.9155,110.9900,False,108.8799,110.0715,reg,559402
LOGM,2017-09-13,110.6673,111.6106,False,109.8233,110.1211,reg,560594
LOGM,2017-09-14,110.7666,110.8659,False,108.8799,110.3694,reg,544871
LOGM,2017-09-15,110.4190,111.1141,False,109.6247,110.7169,reg,650664
LOGM,2017-09-18,112.1071,113.0504,False,110.9652,110.9652,reg,381745
LOGM,2017-09-19,111.7596,112.8518,False,111.3624,112.0575,reg,184227
LOGM,2017-09-20,109.9722,112.0078,False,109.4757,111.5610,reg,476345
LOGM,2017-09-21,109.8233,110.0219,False,107.5990,109.5750,reg,278126
LOGM,2017-09-22,110.3694,110.7666,False,108.4381,109.1282,reg,251403
LOGM,2017-09-25,108.5820,110.6673,False,107.8870,110.1211,reg,407068
LOGM,2017-09-26,107.1919,109.4261,False,105.9010,109.0289,reg,621049
LOGM,2017-09-27,107.6387,108.7310,False,107.2912,107.7877,reg,305807
LOGM,2017-09-28,106.5464,107.7380,False,105.6031,107.5394,reg,502636
LOGM,2017-09-29,109.2771,109.8729,False,106.3975,106.6954,reg,500769
LOGM,2017-10-02,110.1708,110.3197,False,108.2841,109.2771,reg,503237
LOGM,2017-10-03,112.5043,112.9511,False,111.0645,111.9582,reg,639611
LOGM,2017-10-04,114.4406,114.7881,False,111.9582,112.6532,reg,580919
LOGM,2017-10-05,115.2350,116.1783,False,114.1924,114.3413,reg,481653
LOGM,2017-10-06,115.1853,115.8308,False,113.9441,114.5399,reg,293672
LOGM,2017-10-09,116.3273,117.2706,False,115.2350,115.5825,reg,309987
LOGM,2017-10-10,116.6748,117.3699,False,115.8308,117.0720,reg,284340
LOGM,2017-10-11,115.4336,116.9727,False,115.2350,116.6748,reg,346352
LOGM,2017-10-12,114.6392,116.1535,False,114.2420,115.2350,reg,329810
LOGM,2017-10-13,115.2350,115.5825,False,114.6888,115.3839,reg,320611
LOGM,2017-10-16,115.6818,116.7244,False,114.8378,116.1287,reg,228812
LOGM,2017-10-17,114.4902,115.8308,False,114.3909,115.3343,reg,246005
LOGM,2017-10-18,116.5258,117.4195,False,114.7881,115.5329,reg,417228
LOGM,2017-10-19,118.1146,118.5118,False,114.2726,115.3343,reg,352391
