date,open,high,low,close,volume
2018-01-02,41.2556,42.2979,41.0571,41.3748,338656
2018-01-03,41.3748,41.8612,40.8486,41.6428,183051
2018-01-04,42.0101,42.7149,41.6726,41.9902,173314
2018-01-05,42.2582,42.7943,41.9505,42.7645,213058
2018-01-08,42.6156,42.7844,42.1689,42.6057,241113
2018-01-09,42.7844,43.5388,42.4171,42.9928,187104
2018-01-10,43.0623,44.5712,42.7446,44.0649,231401
2018-01-11,44.3925,44.8392,41.7559,44.8193,198555
2018-01-12,45.137,45.6929,44.1245,44.7995,227681
2018-01-16,45.1271,45.5341,44.2039,44.2734,146821
2018-01-17,44.5712,44.5712,42.308,44.0252,271996
2018-01-18,44.0252,44.3329,43.777,43.8465,203598
2018-01-19,43.8068,44.4918,43.6976,44.4818,218455
2018-01-22,44.2535,44.5811,43.9465,44.1642,120615
2018-01-23,43.9855,45.0973,43.7572,44.4123,250390
2018-01-24,46.1098,46.1098,43.8267,44.5513,366380
2018-01-25,44.7896,44.7896,43.9855,44.5612,263766
2018-01-26,44.7598,44.7598,43.9954,44.4421,154366
2018-01-29,44.4521,44.7002,44.1642,44.184,193511
2018-01-30,43.7969,44.4024,43.3005,43.7473,189708
2018-01-31,43.9756,44.3131,43.7175,43.7175,174300
2018-02-01,43.6381,44.6804,43.3601,44.6704,212668
2018-02-02,44.6605,45.0391,43.9333,44.2022,286390
2018-02-05,43.5447,44.6107,42.4589,42.4589,370452
2018-02-06,41.4327,42.9784,41.0353,42.6481,352042
2018-02-07,42.4788,43.206,42.3393,42.7876,130255
2018-02-08,42.9271,42.9271,41.5722,41.8611,270901
2018-02-09,42.5884,42.8872,41.3032,42.5386,269985
2018-02-12,42.6979,43.2957,42.0155,42.3293,270018
2018-02-13,42.1201,42.5186,42.0106,42.3194,200840
2018-02-14,42.1301,43.3853,42.1301,43.2459,449634
2018-02-15,43.3853,44.531,42.937,43.2558,142154
2018-02-16,43.0267,43.8237,43.0267,43.6444,154238
2018-02-20,43.3156,44.013,42.7976,43.0865,188485
2018-02-21,43.0964,44.0329,43.0964,43.4949,220136
2018-02-22,43.5945,43.5945,42.1998,42.3493,140820
2018-02-23,42.419,42.8474,42.0305,42.6182,200250
2018-02-26,42.6083,43.2758,42.419,43.2359,126502
2018-02-27,43.1662,43.7639,42.419,42.5884,126859
2018-02-28,42.7976,43.0068,41.7017,41.7316,185287
2018-03-01,41.7814,42.409,41.5025,42.2397,245891
2018-03-02,41.9209,43.1263,41.373,42.9271,117502
2018-03-05,42.6382,44.2222,42.4788,43.9034,240187
2018-03-06,43.9333,44.6107,43.5945,44.3118,162699
2018-03-07,43.9034,44.8,43.9034,44.6306,240035
2018-03-08,44.7103,44.8797,43.6145,44.1425,321909
2018-03-09,44.5908,45.2682,44.1624,45.1686,127971
2018-03-12,45.1287,45.8903,44.7302,45.6169,204813
2018-03-13,45.8261,45.9456,45.2283,45.3579,213616
2018-03-14,45.5969,45.5969,44.5609,44.7402,144706
2018-03-15,44.9394,45.049,44.4214,44.9892,350119
2018-03-16,45.0689,45.836,44.6456,45.6468,564326
2018-03-19,45.6468,45.6468,44.6406,45.5571,176575
2018-03-20,45.6667,45.7464,45.0291,45.2682,102692
2018-03-21,45.3379,45.8261,45.1686,45.5172,267940
2018-03-22,45.0689,45.3778,44.0727,44.1724,658417
2018-03-23,44.3716,44.3716,41.7017,41.8312,346432
2018-03-26,42.5585,44.3019,42.3094,43.3654,248351
2018-03-27,43.5348,43.6643,41.901,42.15,135380
2018-03-28,42.2397,42.7776,41.4726,42.429,159514
2018-03-29,42.7378,43.3256,42.3592,42.6581,196902
2018-04-02,42.6282,43.9233,41.3431,41.8213,317723
2018-04-03,42.0205,42.3293,41.5423,42.16,266945
2018-04-04,41.3929,42.9271,41.2783,42.6581,193498
2018-04-05,43.0964,43.4551,42.5435,43.3455,199044
2018-04-06,42.9072,43.1462,41.7117,42.2895,180284
2018-04-09,42.4987,43.0765,41.7715,41.8412,223986
2018-04-10,42.4788,42.5585,41.9607,42.1899,646396
2018-04-11,41.891,42.2397,41.6718,42.1201,175891
2018-04-12,42.419,43.4003,42.1201,43.0167,389017
2018-04-13,43.4152,43.4152,42.2397,42.409,261709
2018-04-16,42.5784,42.957,42.2297,42.6182,194006
2018-04-17,42.8075,42.8175,41.9508,42.2795,168757
2018-04-18,36.6609,41.891,35.0271,40.2921,1857994
2018-04-19,39.3307,41.1239,39.3208,40.9048,646012
2018-04-20,40.7653,41.7615,40.4565,41.4527,585173
2018-04-23,41.6619,42.1998,41.4826,42.1102,217883
2018-04-24,42.3393,42.937,41.7715,42.5784,217689
2018-04-25,42.6382,42.937,42.1998,42.5784,231564
2018-04-26,42.4589,42.5186,41.9309,42.16,249548
2018-04-27,42.12,42.53,41.7,41.82,151470
2018-04-30,41.84,42.22,41.07,41.07,237637
2018-05-01,40.89,41.68,40.562,41.55,454726
2018-05-02,41.56,42.09,41.1,41.78,320331
2018-05-03,41.56,41.76,40.68,41.15,186283
2018-05-04,40.98,42.09,40.58,41.72,155889
2018-05-07,41.88,42.46,41.43,42.13,349528
2018-05-08,42.22,43.09,41.7,43.08,264104
2018-05-09,43.18,43.83,42.86,43.56,161687
2018-05-10,43.55,43.82,43.03,43.64,153904
2018-05-11,43.7,43.865,42.78,43.65,255311
2018-05-14,43.78,43.89,42.77,42.85,340686
2018-05-15,42.86,43.46,42.27,43.32,278378
2018-05-16,43.33,43.98,43.06,43.76,230260
2018-05-17,43.65,44.0,43.37,43.71,594231
