date,open,high,low,close,volume
2018-01-03,0.45,0.45,0.4,0.400051,31300
2018-01-04,0.45,0.45,0.38,0.38,72900
2018-01-05,0.38,0.38,0.38,0.38,36300
2018-01-08,0.44,0.45,0.44,0.45,5000
2018-01-09,0.44,0.44,0.44,0.44,5000
2018-01-12,0.43,0.43,0.43,0.43,2200
2018-01-16,0.46,0.46,0.4599,0.4599,1700
2018-01-17,0.4793,0.495,0.4696,0.495,800
2018-01-18,0.465,0.4949,0.465,0.474,4150
2018-01-19,0.474,0.474,0.474,0.474,4500
2018-01-22,0.6444,0.6444,0.4999,0.5398,500
2018-01-23,0.6699,0.6699,0.5999,0.5999,1000
2018-01-24,0.575,0.575,0.455,0.5298,900
2018-01-26,0.52,0.52,0.52,0.52,100
2018-01-29,0.442,0.442,0.442,0.442,100
2018-01-31,0.4968,0.4968,0.39,0.39,500
2018-02-01,0.46,0.46,0.45,0.45,500
2018-02-02,0.45,0.45,0.4499,0.4499,300
2018-02-06,0.435,0.435,0.435,0.435,100
2018-02-07,0.45,0.45,0.45,0.45,200
2018-02-08,0.48,0.4801,0.48,0.4801,200
2018-02-09,0.42,0.45,0.42,0.45,400
2018-02-12,0.4858,0.4858,0.4858,0.4858,100
2018-02-13,0.5205,0.54,0.5098,0.5098,600
2018-02-14,0.5197,0.5197,0.495,0.495,700
2018-02-15,0.5319,0.5319,0.5319,0.5319,100
2018-02-21,0.5999,0.62,0.59,0.59,400
2018-02-22,0.597,0.597,0.597,0.597,100
2018-02-23,0.59,0.601,0.58,0.601,1000
2018-02-26,0.5825,0.595,0.58,0.595,800
2018-02-27,0.718,0.89,0.65,0.7,954569
2018-02-28,0.7,0.7989,0.68,0.73,392400
2018-03-01,0.7899,0.7899,0.7,0.76,4200
2018-03-02,0.8399,0.8399,0.68,0.7299,200600
2018-03-05,0.67,0.7,0.6501,0.6899,34000
2018-03-06,0.7289,0.7489,0.67,0.71,30329
2018-03-07,0.799,0.7999,0.7001,0.7299,7550
2018-03-08,0.7962,0.7962,0.71,0.7399,64700
2018-03-09,0.7699,0.85,0.7498,0.82,258250
2018-03-12,0.8,0.845,0.7999,0.8395,28100
2018-03-13,0.83,0.8499,0.83,0.83,189031
2018-03-14,0.8499,0.9436,0.83,0.89,42600
2018-03-15,0.9399,0.945,0.8999,0.9395,8700
2018-03-16,0.9485,0.9488,0.9299,0.9299,1500
2018-03-19,0.94,0.94,0.8999,0.9099,8500
2018-03-20,0.9099,0.9099,0.9099,0.9099,100
2018-03-22,0.85,0.8998,0.8399,0.8898,48500
2018-03-23,0.81,0.9,0.8,0.8399,9511
2018-03-26,0.8989,0.8998,0.8799,0.8799,600
2018-03-27,0.87,0.87,0.84,0.8599,125800
2018-03-28,0.84,0.84,0.8,0.8,94993
2018-03-29,0.8,0.8,0.7999,0.7999,1100
2018-04-03,0.775,0.775,0.775,0.775,400
2018-04-04,0.8,0.8205,0.7998,0.7998,23200
2018-04-05,0.7999,0.7999,0.7998,0.7998,300
2018-04-10,0.7501,0.788,0.75,0.7699,26000
2018-04-11,0.7599,0.7599,0.7499,0.7499,400
2018-04-13,0.72,0.75,0.72,0.74,32044
2018-04-16,0.77,0.8,0.75,0.77,36000
2018-04-17,,,,0.77,100
2018-04-18,0.7299,0.7499,0.7199,0.72,18800
2018-04-19,0.7698,0.7699,0.7698,0.7699,300
2018-04-23,0.77,0.77,0.77,0.77,300
2018-04-24,0.77,0.7898,0.77,0.7897,14711
2018-04-25,0.7999,0.7999,0.77,0.799,1700
2018-04-26,0.7899,0.7998,0.7899,0.79,1900
2018-04-27,0.79,0.7999,0.7899,0.7999,225689
2018-04-30,0.79,0.7998,0.79,0.79,51701
2018-05-01,0.7998,0.7998,0.7997,0.7997,400
2018-05-02,0.7998,0.7998,0.7998,0.7998,200
2018-05-03,0.8,0.8,0.79,0.7996,5300
2018-05-04,0.79,0.792,0.7898,0.792,300
2018-05-07,0.75,0.8498,0.75,0.8399,6031
2018-05-08,0.8399,0.8497,0.8199,0.8199,400
2018-05-09,0.8298,0.8298,0.7996,0.7996,500
2018-05-10,0.7997,0.8498,0.7997,0.8398,16156
2018-05-11,0.8,0.85,0.8,0.85,123037
2018-05-14,0.84,0.84,0.8,0.8,100210
2018-05-15,0.8,0.83,0.8,0.8299,43794
2018-05-16,0.8599,0.9498,0.8399,0.8798,66800
2018-05-17,,,,0.8798,100
