date,open,high,low,close,volume
2018-01-02,19.7166,20.0158,19.5471,19.9061,84390
2018-01-03,19.7964,19.8962,19.4972,19.567,42131
2018-01-04,19.577,19.8069,19.5471,19.587,27032
2018-01-05,19.6157,19.7964,19.5471,19.6269,36988
2018-01-08,19.6468,20.3649,19.6269,20.2652,51302
2018-01-09,20.2552,20.2552,19.7067,19.7067,41162
2018-01-10,19.6568,20.1106,19.6568,19.956,57636
2018-01-11,19.9161,20.1704,19.8164,19.9759,49654
2018-01-12,19.966,21.1428,19.8662,21.0829,230114
2018-01-16,21.2226,21.6215,20.6142,21.3921,68939
2018-01-17,21.4519,21.7312,20.9533,21.1926,35841
2018-01-18,21.2425,21.5417,20.8236,21.2824,33775
2018-01-19,21.2525,21.811,20.3303,21.6215,98372
2018-01-22,21.9057,21.9406,21.4071,21.6414,17975
2018-01-23,21.6913,21.9387,21.4121,21.7811,21626
2018-01-24,21.7112,21.9007,20.704,20.8436,50770
2018-01-25,21.3123,21.7412,20.3948,20.5743,31610
2018-01-26,20.5643,20.7339,19.9959,20.3749,11889
2018-01-29,20.3948,21.1926,20.3948,21.0131,16091
2018-01-30,20.8436,21.073,20.0557,20.3549,26838
2018-01-31,20.4447,20.5544,20.2253,20.2452,11891
2018-02-01,20.4447,21.392,20.3449,21.3522,34037
2018-02-02,21.2026,21.5716,20.2851,20.5444,41169
2018-02-05,20.2602,20.5743,19.966,19.9859,48645
2018-02-06,19.8563,20.4347,19.8563,20.3449,22911
2018-02-07,20.2851,20.6042,20.0408,20.305,23124
2018-02-08,20.305,20.5643,19.936,19.936,76340
2018-02-09,20.5245,20.5245,19.936,19.966,33939
2018-02-12,20.2751,20.4836,19.936,20.0458,21325
2018-02-13,19.936,20.0757,19.936,20.0158,31727
2018-02-14,19.936,20.4447,19.936,20.4447,27627
2018-02-15,20.5245,20.5245,20.2153,20.4945,12352
2018-02-16,20.305,20.8536,20.305,20.7937,14820
2018-02-20,20.5544,20.8521,20.1505,20.6042,14693
2018-02-21,20.6142,20.8835,20.4945,20.7339,10304
2018-02-22,20.8336,20.8336,20.1156,20.325,16073
2018-02-23,20.4347,20.6342,20.2253,20.5843,10096
2018-02-26,20.5643,20.7139,20.4048,20.684,10137
2018-02-27,20.5843,20.6042,20.3749,20.4546,10016
2018-02-28,20.5344,20.7838,20.3948,20.4447,18034
2018-03-01,20.5643,21.442,20.335,21.2126,23843
2018-03-02,21.053,21.4918,20.5544,21.4918,33028
2018-03-05,21.3223,22.8881,21.245,22.5988,112110
2018-03-06,22.6687,22.8382,22.1899,22.3994,99492
2018-03-07,22.3894,22.6886,21.9905,22.2199,79872
2018-03-08,22.2996,22.5091,22.17,22.2398,30727
2018-03-09,22.4094,22.539,22.0503,22.4293,173576
2018-03-12,22.4193,22.4891,21.9906,22.0802,45790
2018-03-13,22.0902,22.4215,21.8409,22.17,74657
2018-03-14,22.14,22.59,21.873,22.25,66637
2018-03-15,22.3,22.7,21.9724,22.57,61382
2018-03-16,22.55,22.7,22.25,22.61,78042
2018-03-19,22.55,22.7,22.17,22.55,72314
2018-03-20,22.59,22.7,22.24,22.41,62191
2018-03-21,22.42,22.74,22.41,22.63,46067
2018-03-22,22.47,23.039,22.085,22.73,344010
2018-03-23,22.82,23.765,22.37,22.4,71330
2018-03-26,22.58,23.26,22.31,22.99,43453
2018-03-27,22.97,23.15,22.35,22.68,26918
2018-03-28,22.62,22.72,22.1,22.38,18707
2018-03-29,22.0746,22.6,21.5,21.5,39333
2018-04-02,21.53,22.09,21.53,21.74,36313
2018-04-03,21.85,21.9,21.32,21.48,65808
2018-04-04,21.28,21.7,21.1,21.11,19694
2018-04-05,21.18,21.25,20.67,20.8,18099
2018-04-06,20.75,21.84,20.75,21.39,59060
2018-04-09,21.58,21.58,20.19,20.28,86345
2018-04-10,20.52,20.52,19.9701,20.21,33820
2018-04-11,20.08,20.63,20.08,20.5,16972
2018-04-12,20.52,21.17,20.52,20.92,23041
2018-04-13,20.98,20.98,20.23,20.5,21063
2018-04-16,20.5,21.125,20.5,20.64,30553
2018-04-17,20.76,21.05,20.49,20.84,22298
2018-04-18,20.91,21.57,20.91,21.4,15154
2018-04-19,21.29,21.4,20.94,21.08,18085
2018-04-20,20.96,21.43,20.55,20.74,14887
2018-04-23,20.87,21.1834,20.56,20.89,10550
2018-04-24,20.98,21.2,20.6,20.99,14114
2018-04-25,21.0,21.5599,20.75,21.43,40632
2018-04-26,21.45,21.57,21.11,21.34,10130
2018-04-27,21.38,21.475,20.55,20.875,41448
2018-04-30,21.14,21.55,20.92,21.38,33043
2018-05-01,21.54,22.51,21.16,22.25,165736
2018-05-02,22.3,23.4,22.22,23.2,25850
2018-05-03,23.27,23.27,21.94,22.06,159551
2018-05-04,22.06,23.11,22.05,22.92,15419
2018-05-07,23.11,23.15,22.92,23.03,28664
2018-05-08,22.2,23.15,22.2,22.95,49898
2018-05-09,23.08,23.1,22.421,22.94,51537
2018-05-10,23.0,23.16,22.82,23.0,65708
2018-05-11,23.06,23.06,22.81,22.97,44776
2018-05-14,23.09,23.3,23.0,23.16,56025
2018-05-15,23.18,23.6699,23.13,23.64,40232
2018-05-16,23.65,24.74,23.65,24.47,56651
2018-05-17,24.44,25.325,24.25,25.18,81163
