date,open,high,low,close,volume
2018-01-02,317.49,322.635,316.27,322.58,366919
2018-01-03,324.67,329.97,322.5,329.28,444121
2018-01-04,329.89,332.94,322.55,325.88,389378
2018-01-05,329.2,336.485,328.595,330.87,589049
2018-01-08,328.12,341.47,327.66,340.79,491215
2018-01-09,343.29,344.18,336.18,337.65,285762
2018-01-10,336.12,339.98,333.23,339.55,658853
2018-01-11,341.11,343.19,336.67,342.02,311209
2018-01-12,342.63,344.52,338.01,342.47,305334
2018-01-16,345.94,348.17,339.0673,339.85,381624
2018-01-17,342.66,345.9,340.28,340.45,405067
2018-01-18,340.45,347.28,338.41,341.88,1036864
2018-01-19,340.94,345.86,340.0,345.31,337216
2018-01-22,355.5,355.66,343.35,352.27,491706
2018-01-23,354.08,356.8107,353.14,355.43,467444
2018-01-24,362.61,363.76,347.2,355.6,523427
2018-01-25,359.0,360.52,352.48,360.06,536890
2018-01-26,365.12,383.69,365.12,381.86,926867
2018-01-29,382.1,395.665,382.04,390.27,1078479
2018-01-30,385.88,387.02,375.02,386.37,659082
2018-01-31,386.15,392.0,384.07,387.1,361068
2018-02-01,385.75,387.68,377.55,378.76,402838
2018-02-02,377.04,379.94,367.001,368.39,591285
2018-02-05,363.1,374.455,351.9,351.99,610818
2018-02-06,345.09,358.35,336.66,350.46,1057576
2018-02-07,348.1,357.97,343.12,343.55,726958
2018-02-08,346.71,350.53,337.62,345.31,1017631
2018-02-09,348.68,358.19,320.2,335.86,1575995
2018-02-12,339.07,366.29,339.07,353.45,1121913
2018-02-13,352.62,367.7,351.44,366.51,542694
2018-02-14,361.82,378.75,361.82,375.71,435872
2018-02-15,381.01,383.26,367.34,379.05,536883
2018-02-16,377.21,380.22,369.675,369.87,447398
2018-02-20,368.99,376.2,366.85,375.78,523242
2018-02-21,380.0,383.5625,372.61,373.34,462311
2018-02-22,376.0,379.95,366.96,369.5,755244
2018-02-23,359.89,390.55,356.09,387.26,1939054
2018-02-26,388.66,392.92,381.02,392.56,815155
2018-02-27,392.56,397.88,373.02,375.44,1005883
2018-02-28,388.47,399.34,380.64,387.97,976035
2018-03-01,388.69,390.6,378.92,385.38,469897
2018-03-02,381.31,389.18,372.24,388.96,560170
2018-03-05,387.61,395.96,382.98,390.89,600147
2018-03-06,394.91,411.705,393.005,410.25,812237
2018-03-07,408.26,411.75,397.31,407.88,565816
2018-03-08,391.6,406.0,389.0622,397.32,950623
2018-03-09,401.62,415.659,400.0,413.94,497453
2018-03-12,414.81,415.715,401.18,410.05,562086
2018-03-13,413.41,417.91,402.31,406.41,477175
2018-03-14,406.74,412.17,402.81,404.97,315620
2018-03-15,394.52,397.78,386.24,387.11,667025
2018-03-16,389.04,390.573,373.35,378.44,717343
2018-03-19,374.74,383.95,363.545,366.51,1416148
2018-03-20,368.39,371.495,355.51,364.73,632015
2018-03-21,364.88,366.13,358.66,361.85,440414
2018-03-22,356.12,358.45,344.49,350.6,699087
2018-03-23,350.0,353.47,340.01,344.73,571687
2018-03-26,352.35,354.39,342.5801,353.4,476567
2018-03-27,356.02,363.39,348.91,352.21,1359976
2018-03-28,351.48,358.43,335.13,341.22,822437
2018-03-29,342.0,357.56,338.26,356.39,573675
2018-04-02,348.26,355.09,343.69,347.2,536754
2018-04-03,351.31,356.23,338.64,342.87,414816
2018-04-04,335.6,357.12,332.85,355.48,530376
2018-04-05,357.65,362.6863,350.51,351.96,697963
2018-04-06,348.7,353.0,340.0,342.54,371745
2018-04-09,345.0,351.42,340.07,342.67,361962
2018-04-10,349.64,352.776,341.48,347.83,741231
2018-04-11,348.21,348.21,328.38,328.7,1199635
2018-04-12,331.05,335.99,326.0,327.4,1001318
2018-04-13,330.12,334.29,326.51,329.67,1001230
2018-04-16,331.28,332.01,321.81,322.78,822024
2018-04-17,319.65,338.54,313.545,337.54,992544
2018-04-18,339.34,347.969,333.51,345.1,742791
2018-04-19,345.0,345.0,325.775,330.0,1323840
2018-04-20,329.45,332.41,318.2801,324.49,745490
2018-04-23,325.17,331.5,324.9,330.46,540249
2018-04-24,331.56,340.7,326.22,328.77,699919
2018-04-25,326.48,338.2,323.715,336.13,883168
2018-04-26,339.38,350.83,337.19,344.45,776354
2018-04-27,354.0,354.0,337.0,341.17,530701
2018-04-30,340.79,346.15,337.43,339.61,297868
2018-05-01,339.39,342.99,335.25,339.46,310408
2018-05-02,337.53,342.82,332.28,333.25,639138
2018-05-03,331.91,336.0285,328.745,330.59,678085
2018-05-04,327.29,331.34,325.47,329.97,847634
2018-05-07,332.69,342.19,327.02,339.31,625007
2018-05-08,334.22,338.16,331.18,333.44,396568
2018-05-09,336.32,339.0,325.06,325.31,1357119
2018-05-10,309.89,335.99,305.98,316.63,1857524
2018-05-11,315.43,321.29,308.17,309.01,835933
2018-05-14,310.63,314.78,296.68,298.58,1020468
2018-05-15,294.2,295.895,284.37,290.75,1201543
2018-05-16,289.56,305.73,285.07,305.13,1383151
2018-05-17,303.03,303.44,296.391,298.85,765524
