date,open,high,low,close,volume
2018-01-03,19.6059,19.6059,19.6059,19.6059,225
2018-01-04,,,,19.6059,13
2018-01-05,,,,19.6059,3
2018-01-08,18.7706,18.7706,18.7706,18.7706,156
2018-01-09,,,,18.7706,1
2018-01-10,,,,18.7706,98
2018-01-12,,,,18.7706,68
2018-01-16,18.8689,18.9672,18.8689,18.9672,13886
2018-01-17,,,,18.9672,1
2018-01-18,19.5568,19.5568,19.5568,19.5568,384
2018-01-19,19.1749,19.6551,18.9672,18.9672,6002
2018-01-22,18.8197,18.8689,18.8197,18.8689,600
2018-01-23,19.6059,19.6059,19.375,19.375,560
2018-01-24,,,,19.375,83
2018-01-25,,,,19.375,82
2018-01-26,19.7,19.9499,19.5999,19.7,10548
2018-01-29,,,,19.7,31
2018-01-30,,,,19.7,78
2018-01-31,19.8,19.875,19.8,19.875,528
2018-02-01,,,,19.875,66
2018-02-02,,,,19.875,4
2018-02-06,,,,19.875,42
2018-02-07,,,,19.875,73
2018-02-08,,,,19.875,2
2018-02-09,,,,19.875,31
2018-02-12,20.0,20.0,19.55,20.0,1122
2018-02-13,,,,20.0,50
2018-02-14,20.0,20.0,20.0,20.0,210
2018-02-15,,,,20.0,50
2018-02-16,19.5,19.5,19.5,19.5,510
2018-02-20,20.0,20.0,20.0,20.0,187
2018-02-21,,,,20.0,5
2018-02-22,19.4509,19.5869,19.1501,19.1501,1045
2018-02-23,,,,19.1501,25
2018-02-28,,,,19.1501,68
2018-03-01,,,,19.1501,22
2018-03-02,,,,19.1501,167
2018-03-05,,,,19.1501,115
2018-03-07,19.0,19.0,19.0,19.0,278
2018-03-08,19.4999,19.5,19.05,19.1,1605
2018-03-09,19.4,19.45,19.05,19.1,2076
2018-03-12,19.1,19.45,19.1,19.4,7518
2018-03-13,19.3,19.8,19.1,19.1,7114
2018-03-14,,,,19.1,3
2018-03-15,19.45,19.5467,19.45,19.5467,1057
2018-03-16,19.55,19.7,19.55,19.7,2823
2018-03-19,19.55,19.551,19.4412,19.4412,547
2018-03-20,19.5,20.0,19.5,19.95,2517
2018-03-21,20.0,20.0573,20.0,20.0573,529
2018-03-22,,,,20.0573,24
2018-03-23,20.1,20.1,20.05,20.05,425
2018-03-26,20.05,20.05,20.05,20.05,161
2018-03-27,20.5,20.5,20.25,20.25,216
2018-03-28,,,,20.25,21
2018-03-29,20.3413,20.4999,20.3413,20.4999,1570
2018-04-03,19.9,19.9,19.9,19.9,198
2018-04-05,,,,19.9,3
2018-04-06,,,,19.9,20
2018-04-11,,,,19.9,118
2018-04-12,20.2,20.2,20.0,20.0,5925
2018-04-13,20.136,20.136,20.0,20.0,1575
2018-04-16,,,,20.0,21
2018-04-17,,,,20.0,72
2018-04-18,19.9,19.9,19.25,19.3,1402
2018-04-19,,,,19.3,117
2018-04-20,,,,19.3,21
2018-04-23,19.2501,19.2501,19.25,19.25,3291
2018-04-24,,,,19.25,21
2018-04-25,,,,19.25,53
2018-04-26,20.0,20.0,20.0,20.0,1102
2018-04-27,20.0,20.0,20.0,20.0,255
2018-04-30,20.2,20.2,20.2,20.2,339
2018-05-01,,,,20.2,122
2018-05-02,19.725,19.725,19.725,19.725,139
2018-05-03,19.6,19.8,19.3983,19.7999,2806
2018-05-04,20.1,20.4,19.3463,19.3463,5657
2018-05-07,20.0,20.05,20.0,20.0,525
2018-05-08,20.0,20.0,20.0,20.0,3270
2018-05-09,20.0,20.0,20.0,20.0,1937
2018-05-10,20.05,20.05,20.05,20.05,5442
2018-05-11,19.4247,20.075,19.375,20.0,5766
2018-05-14,20.0099,20.2003,19.55,19.55,2403
2018-05-15,19.55,20.1253,19.55,19.65,6354
2018-05-16,19.5975,19.5975,19.25,19.25,7934
2018-05-17,19.35,19.35,19.3,19.3,689
