symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
MERC,2017-07-10,10.8423,10.9387,False,10.6014,10.7460,reg,157960
MERC,2017-07-11,10.8423,10.9387,False,10.6978,10.8905,reg,105107
MERC,2017-07-12,10.9869,11.1315,False,10.9387,10.9869,reg,90324
MERC,2017-07-13,11.0351,11.1556,False,10.9628,10.9869,reg,124001
MERC,2017-07-14,11.1315,11.2278,False,10.9869,11.1315,reg,351545
MERC,2017-07-17,11.2760,11.2760,False,11.1556,11.1797,reg,113556
MERC,2017-07-18,11.5170,11.6133,False,11.3242,11.3242,reg,247301
MERC,2017-07-19,11.6133,11.9025,False,11.5170,11.5652,reg,126885
MERC,2017-07-20,11.8061,11.9507,False,11.7097,11.7097,reg,203772
MERC,2017-07-21,11.6133,11.8061,False,11.5170,11.7097,reg,255174
MERC,2017-07-24,11.6615,11.8543,False,11.5893,11.7097,reg,213504
MERC,2017-07-25,11.7097,11.9507,False,11.6615,11.7579,reg,210770
MERC,2017-07-26,11.7579,11.9025,False,11.7097,11.7097,reg,202158
MERC,2017-07-27,11.5170,11.9989,False,11.3724,11.8543,reg,264300
MERC,2017-07-28,10.9387,11.9025,False,10.6978,11.3242,reg,344497
MERC,2017-07-31,10.6014,11.0351,False,10.5532,11.0351,reg,200852
MERC,2017-08-01,10.6978,10.7460,False,10.4809,10.6014,reg,159674
MERC,2017-08-02,10.6014,10.7460,False,10.3605,10.6014,reg,258677
MERC,2017-08-03,10.4568,10.7941,False,10.4086,10.6014,reg,227893
MERC,2017-08-04,10.4568,10.5532,False,10.3123,10.4568,reg,271656
MERC,2017-08-07,10.6014,10.7460,False,10.5532,10.5532,reg,152300
MERC,2017-08-08,10.5050,10.6978,False,10.3123,10.6496,reg,156476
MERC,2017-08-09,10.3605,10.6014,False,10.3123,10.4568,reg,89789
MERC,2017-08-10,10.2641,10.4568,False,10.2159,10.3123,reg,91179
MERC,2017-08-11,10.3605,10.4086,False,10.1195,10.2641,reg,101524
MERC,2017-08-14,10.6014,10.6496,False,10.3605,10.3605,reg,171898
MERC,2017-08-15,10.4568,10.6978,False,10.4086,10.6978,reg,158945
MERC,2017-08-16,10.7941,10.7941,False,10.5532,10.5532,reg,141933
MERC,2017-08-17,10.5532,10.8905,False,10.5050,10.7941,reg,224677
MERC,2017-08-18,10.5532,10.6978,False,10.4568,10.6014,reg,152903
MERC,2017-08-21,10.6014,10.6496,False,10.4568,10.5532,reg,175356
MERC,2017-08-22,10.5532,10.6737,False,10.4809,10.6014,reg,195444
MERC,2017-08-23,10.5050,10.5532,False,10.3605,10.5532,reg,93582
MERC,2017-08-24,10.5050,10.5532,False,10.4568,10.5532,reg,66476
MERC,2017-08-25,10.6978,10.7941,False,10.5050,10.5532,reg,184813
MERC,2017-08-28,10.8423,11.0351,False,10.7941,10.7941,reg,146319
MERC,2017-08-29,10.6014,10.8905,False,10.6014,10.7941,reg,167535
MERC,2017-08-30,10.6014,10.6978,False,10.4809,10.6014,reg,98128
MERC,2017-08-31,10.6496,10.7941,False,10.5532,10.6496,reg,100272
