date,open,high,low,close,volume
2018-01-02,9.75,10.38,9.5,10.31,275367
2018-01-03,10.3,10.3,9.6,9.72,197717
2018-01-04,9.68,9.87,9.4,9.73,161642
2018-01-05,9.91,10.38,8.91,9.1,384593
2018-01-08,9.1,9.1769,8.4601,8.56,193820
2018-01-09,8.4,8.58,7.76,8.38,251500
2018-01-10,8.5,8.61,8.3547,8.53,67634
2018-01-11,8.56,8.809,8.45,8.56,110840
2018-01-12,9.0,9.49,8.58,8.91,140851
2018-01-16,9.0,9.01,8.2188,8.28,149107
2018-01-17,8.25,8.25,7.64,8.13,226162
2018-01-18,8.13,8.13,7.75,7.92,140801
2018-01-19,7.92,8.24,7.8257,8.04,80657
2018-01-22,8.1,8.29,8.02,8.13,79863
2018-01-23,8.13,8.3975,8.0,8.11,72828
2018-01-24,8.12,8.41,8.09,8.37,116112
2018-01-25,8.42,8.6,8.33,8.53,83104
2018-01-26,8.56,8.67,8.37,8.58,73052
2018-01-29,8.49,8.6499,7.69,7.74,179044
2018-01-30,7.72,8.42,7.511,8.14,133844
2018-01-31,8.12,8.12,7.3512,7.5,258892
2018-02-01,7.5,8.11,7.25,7.98,174506
2018-02-02,8.06,8.94,8.0,8.6,320948
2018-02-05,8.25,8.29,7.58,7.75,208990
2018-02-06,7.71,7.71,6.85,7.46,283153
2018-02-07,7.43,7.43,6.98,6.99,286081
2018-02-08,7.16,7.31,6.4,6.52,691297
2018-02-09,5.25,5.48,5.01,5.38,3044174
2018-02-12,5.49,5.7,5.33,5.5,743907
2018-02-13,5.47,5.67,5.4386,5.5,236196
2018-02-14,5.55,5.9651,5.5,5.82,291758
2018-02-15,5.91,5.93,5.5399,5.59,319556
2018-02-16,5.54,5.6369,5.455,5.61,253049
2018-02-20,5.6,5.63,5.5,5.51,85134
2018-02-21,5.5,5.58,5.39,5.4,227126
2018-02-22,5.46,5.55,5.3868,5.48,130200
2018-02-23,5.5,5.6,5.361,5.57,102005
2018-02-26,5.56,5.69,5.5,5.62,141692
2018-02-27,5.6,5.68,5.435,5.57,131126
2018-02-28,5.58,5.675,5.5,5.55,131661
2018-03-01,5.51,5.98,5.51,5.71,205495
2018-03-02,5.68,5.9,5.6,5.86,118627
2018-03-05,5.87,6.35,5.85,6.32,208102
2018-03-06,6.32,6.33,6.01,6.23,128262
2018-03-07,6.14,6.33,6.08,6.15,103324
2018-03-08,6.2,6.49,6.11,6.44,145379
2018-03-09,6.91,7.4,6.76,6.86,530564
2018-03-12,7.02,7.5,6.8,7.08,296312
2018-03-13,7.07,7.2342,6.69,7.02,213283
2018-03-14,7.04,7.252,6.95,7.05,241295
2018-03-15,7.26,7.46,6.79,7.24,372001
2018-03-16,7.22,7.6,7.19,7.45,686999
2018-03-19,7.65,7.79,7.335,7.55,442426
2018-03-20,7.59,7.63,7.32,7.59,286187
2018-03-21,7.59,7.76,7.4,7.51,247658
2018-03-22,7.65,8.199,7.565,7.61,700520
2018-03-23,7.62,7.7001,7.08,7.11,365582
2018-03-26,7.24,7.62,6.67,7.51,439146
2018-03-27,7.49,7.68,7.0,7.02,303040
2018-03-28,7.04,7.22,6.72,6.82,218097
2018-03-29,7.36,7.68,6.95,7.01,936563
2018-04-02,7.0,7.021,6.21,6.51,403128
2018-04-03,6.59,6.92,6.13,6.79,455999
2018-04-04,6.63,6.92,6.25,6.8,301379
2018-04-05,6.9,6.97,6.6901,6.87,171710
2018-04-06,6.79,6.845,6.34,6.5,219209
2018-04-09,6.58,6.749,6.35,6.65,150097
2018-04-10,6.76,6.9254,6.57,6.83,105465
2018-04-11,6.81,7.2,6.67,7.1,83795
2018-04-12,7.14,7.14,6.84,7.07,160791
2018-04-13,7.08,7.08,6.34,6.47,208931
2018-04-16,6.53,6.75,6.42,6.64,86178
2018-04-17,6.64,6.69,6.25,6.42,239147
2018-04-18,6.42,6.655,6.3,6.6,136347
2018-04-19,6.61,6.74,6.47,6.49,66589
2018-04-20,6.47,6.61,6.33,6.39,88731
2018-04-23,6.39,6.86,6.39,6.7,155970
2018-04-24,6.73,6.75,6.37,6.42,58753
2018-04-25,6.46,6.73,6.35,6.62,82173
2018-04-26,6.65,7.079,6.6,6.93,223222
2018-04-27,6.93,7.01,6.77,6.92,71918
2018-04-30,6.95,6.95,6.67,6.86,64705
2018-05-01,6.82,6.95,6.51,6.89,98217
2018-05-02,6.89,7.36,6.84,7.24,149739
2018-05-03,7.33,7.36,6.98,7.3,140193
2018-05-04,7.25,7.68,7.25,7.44,136498
2018-05-07,7.55,7.75,7.5,7.55,260899
2018-05-08,7.53,7.5999,7.28,7.55,98157
2018-05-09,7.55,7.74,7.36,7.56,226438
2018-05-10,7.67,7.77,7.45,7.51,279624
2018-05-11,7.49,7.7,7.45,7.69,136594
2018-05-14,7.66,7.74,7.5433,7.71,174479
2018-05-15,7.71,7.71,7.44,7.5,143289
2018-05-16,7.54,7.54,7.36,7.51,147753
2018-05-17,7.52,7.61,7.271,7.43,182311
