date,open,high,low,close,volume
2018-01-02,8.4692,8.5677,8.42,8.5677,51640
2018-01-03,8.5677,8.5677,8.4717,8.5677,10369
2018-01-04,8.5185,8.8632,8.5185,8.8385,25332
2018-01-05,8.8632,8.8632,8.7647,8.7647,21381
2018-01-08,8.8139,8.8139,8.6662,8.6662,15100
2018-01-09,8.6662,8.7154,8.5923,8.6662,10874
2018-01-10,8.5677,8.7154,8.5677,8.7082,8963
2018-01-11,8.7154,8.8139,8.4692,8.5677,20596
2018-01-12,8.5677,8.8632,8.5677,8.8139,20678
2018-01-16,8.8139,8.8139,8.5496,8.7154,34929
2018-01-17,8.6367,8.8139,8.5677,8.617,14936
2018-01-18,8.617,8.6885,8.5677,8.5677,13189
2018-01-19,8.6662,8.6662,8.4289,8.5185,7382
2018-01-22,8.5677,8.617,8.4692,8.5677,14316
2018-01-23,8.4692,8.617,8.3708,8.617,18678
2018-01-24,8.5677,8.617,8.4692,8.4939,26904
2018-01-25,8.5677,9.1094,8.469,9.0109,222913
2018-01-26,9.0601,9.0601,8.8632,8.8632,29976
2018-01-29,8.8632,9.0109,8.8632,8.8878,55021
2018-01-30,8.8632,8.9616,8.8139,8.9616,24379
2018-01-31,8.8794,9.0266,8.8632,9.0109,12776
2018-02-01,9.0109,9.0601,8.9124,8.9616,10504
2018-02-02,8.8681,8.8878,8.7647,8.7647,25324
2018-02-05,8.7647,8.7647,8.42,8.42,45052
2018-02-06,8.42,8.5266,8.2723,8.4692,21224
2018-02-07,8.42,8.42,8.3215,8.42,11989
2018-02-08,8.3215,8.3461,7.9768,8.0556,51940
2018-02-09,8.0261,8.3215,7.9768,8.3215,63421
2018-02-12,8.2265,8.3215,8.1246,8.3174,17921
2018-02-13,8.223,8.2723,8.0753,8.1738,19478
2018-02-14,8.223,8.3001,8.223,8.2754,2145
2018-02-15,8.3215,8.3461,8.2723,8.3215,10112
2018-02-16,8.3708,8.42,8.3215,8.3215,4719
2018-02-20,8.4692,8.4692,8.2723,8.2723,4854
2018-02-21,8.223,8.4692,8.1246,8.4692,21852
2018-02-22,8.3215,8.3708,8.1738,8.1738,11119
2018-02-23,8.2723,8.3708,8.0753,8.3215,10969
2018-02-26,8.223,8.223,8.0753,8.1246,9124
2018-02-27,8.1246,8.1738,7.7799,7.7799,96415
2018-02-28,8.1738,8.2181,7.7304,7.7306,47877
2018-03-01,7.8291,7.8784,7.6322,7.8291,17873
2018-03-02,7.7799,7.9768,7.7306,7.9768,15956
2018-03-05,7.9768,8.1246,7.9768,8.0261,13941
2018-03-06,8.0753,8.1649,7.9768,8.0753,12361
2018-03-07,8.0261,8.0753,7.9977,7.9977,3691
2018-03-08,8.0471,8.0753,8.0261,8.0753,5028
2018-03-09,8.1738,8.5185,8.1689,8.42,37630
2018-03-12,8.35,8.495,8.35,8.35,13996
2018-03-13,8.5,8.6,8.4829,8.6,43711
2018-03-14,8.55,8.55,8.35,8.4,6219
2018-03-15,8.45,8.495,8.35,8.45,7045
2018-03-16,8.5,8.5,8.4,8.4,7779
2018-03-19,8.3,8.3,8.2,8.25,16823
2018-03-20,8.3,8.3,8.045,8.2,26538
2018-03-21,8.25,8.35,8.15,8.2,4084
2018-03-22,8.1,8.15,8.05,8.05,7892
2018-03-23,8.05,8.1,8.0,8.0,21155
2018-03-26,8.0,8.2,8.0,8.1,10633
2018-03-27,8.2,8.464,8.1,8.2,22380
2018-03-28,8.245,8.245,8.0,8.15,7524
2018-03-29,8.25,8.5,8.0,8.5,41559
2018-04-02,8.4,8.4,8.1,8.1,13110
2018-04-03,8.2,8.2,8.05,8.1161,2553
2018-04-04,8.3,8.3,8.05,8.1,4720
2018-04-05,8.26,8.26,8.05,8.15,4504
2018-04-06,8.05,8.1,8.034,8.1,5368
2018-04-09,8.1,8.32,8.1,8.15,7182
2018-04-10,8.45,8.45,8.25,8.35,6586
2018-04-11,8.1,8.35,8.1,8.1,16166
2018-04-12,8.15,8.15,8.1,8.15,4656
2018-04-13,8.15,8.15,8.05,8.15,2253
2018-04-16,8.2,8.2,8.05,8.1,61760
2018-04-17,8.1,8.2,8.1,8.15,65388
2018-04-18,8.1,8.295,8.1,8.2,4986
2018-04-19,8.25,8.3,8.25,8.3,2047
2018-04-20,8.35,8.35,8.055,8.2,10979
2018-04-23,8.35,8.4,8.05,8.15,26730
2018-04-24,8.15,8.15,8.0,8.1,26108
2018-04-25,8.15,8.3,8.05,8.25,18508
2018-04-26,8.2,8.5,8.1,8.5,13174
2018-04-27,8.45,8.525,8.28,8.3,9771
2018-04-30,8.15,8.35,8.05,8.15,13796
2018-05-01,8.15,8.25,8.05,8.15,14230
2018-05-02,8.15,8.35,8.1,8.2,12812
2018-05-03,8.225,8.3,8.15,8.2,7076
2018-05-04,8.275,8.3,8.15,8.15,4579
2018-05-07,8.15,8.25,8.1,8.15,9494
2018-05-08,8.15,8.25,8.1,8.25,13492
2018-05-09,8.25,8.2503,8.0,8.15,45381
2018-05-10,8.15,8.1908,8.1,8.125,4251
2018-05-11,8.1,8.2,8.1,8.2,154588
2018-05-14,8.15,8.2,8.0,8.05,26065
2018-05-15,8.05,8.1,8.0,8.0,22434
2018-05-16,8.6,8.9,8.15,8.85,117516
2018-05-17,8.7,8.75,8.65,8.7,7706
