date,open,high,low,close,volume
2018-01-02,28.97,29.17,28.14,28.23,295802
2018-01-03,28.38,29.15,28.26,29.03,177655
2018-01-04,29.23,29.31,28.73,29.28,179677
2018-01-05,30.0,31.71,29.7,31.56,669030
2018-01-08,31.52,31.92,31.08,31.87,304043
2018-01-09,31.87,33.05,31.51,32.77,342618
2018-01-10,32.5,32.64,31.62,32.17,415259
2018-01-11,32.1,32.98,31.71,32.75,251671
2018-01-12,32.5,32.85,31.6,32.29,184644
2018-01-16,32.35,32.55,31.91,32.03,203943
2018-01-17,32.13,32.13,31.58,32.1,212163
2018-01-18,32.07,32.35,31.93,32.34,162079
2018-01-19,32.49,32.82,32.1,32.74,281071
2018-01-22,32.73,32.73,32.31,32.51,190362
2018-01-23,32.5,32.75,31.96,32.55,160134
2018-01-24,32.6,32.75,32.075,32.46,164182
2018-01-25,32.75,32.8,31.81,32.08,129227
2018-01-26,32.21,32.27,31.5,32.22,139474
2018-01-29,31.9,32.2,31.14,31.37,307091
2018-01-30,31.02,31.31,30.39,30.85,248763
2018-01-31,31.12,31.2063,30.65,30.75,108991
2018-02-01,30.45,31.1,30.051,30.94,143649
2018-02-02,30.57,31.18,30.56,31.02,278024
2018-02-05,30.59,31.48,30.57,31.19,293977
2018-02-06,30.44,31.75,30.01,31.66,517985
2018-02-07,31.59,32.5,31.25,32.44,512628
2018-02-08,32.5,32.53,31.955,32.07,501264
2018-02-09,32.46,32.55,30.77,31.87,433431
2018-02-12,32.44,33.38,32.2,33.22,430030
2018-02-13,33.01,35.053,31.511,34.24,1346366
2018-02-14,34.0,34.91,33.515,34.34,499753
2018-02-15,34.03,34.25,32.67,33.42,642397
2018-02-16,33.32,33.73,33.1,33.23,236342
2018-02-20,33.04,34.95,32.85,34.32,690705
2018-02-21,34.11,34.73,34.01,34.12,296983
2018-02-22,34.68,34.68,33.69,34.01,348201
2018-02-23,34.03,35.0,34.0,34.95,320296
2018-02-26,34.97,35.01,34.55,34.84,211655
2018-02-27,34.97,35.65,34.76,35.12,437170
2018-02-28,35.23,35.51,34.7292,34.74,237626
2018-03-01,35.02,35.4,34.26,34.94,374414
2018-03-02,34.65,36.0,34.02,35.75,547619
2018-03-05,35.68,36.23,35.265,36.11,313438
2018-03-06,36.0,37.41,35.87,37.32,294198
2018-03-07,37.03,37.88,36.91,37.45,516145
2018-03-08,37.45,38.0,37.29,37.83,448242
2018-03-09,38.15,39.33,38.15,38.67,578127
2018-03-12,38.75,38.81,38.42,38.62,309986
2018-03-13,38.64,38.98,38.23,38.56,600824
2018-03-14,38.57,38.85,38.09,38.7,224530
2018-03-15,38.75,38.75,38.04,38.23,169850
2018-03-16,38.08,38.08,36.91,37.1,398489
2018-03-19,37.09,37.59,36.46,37.49,224150
2018-03-20,37.56,38.415,37.205,38.13,267742
2018-03-21,38.1,38.22,37.69,37.77,100107
2018-03-22,37.57,37.6,36.58,36.63,232344
2018-03-23,36.77,36.95,35.885,35.99,209102
2018-03-26,36.59,37.4899,36.22,36.92,175766
2018-03-27,37.2,37.36,35.15,35.39,151854
2018-03-28,35.21,35.5,34.58,34.66,173868
2018-03-29,34.67,35.895,34.36,35.43,164199
2018-04-02,35.12,35.705,34.64,34.82,121383
2018-04-03,35.09,35.26,34.46,34.99,103156
2018-04-04,34.26,35.65,34.02,35.59,160111
2018-04-05,35.95,36.015,35.31,35.46,77516
2018-04-06,35.22,35.89,34.89,35.01,76293
2018-04-09,35.25,35.97,35.1,35.39,131649
2018-04-10,35.74,36.89,35.48,36.7,214697
2018-04-11,36.45,37.63,36.2,37.55,406968
2018-04-12,38.06,38.26,37.73,38.05,385559
2018-04-13,38.01,38.01,36.93,37.35,90762
2018-04-16,37.59,37.72,37.17,37.41,108309
2018-04-17,37.73,38.33,37.54,38.08,222039
2018-04-18,38.2,39.51,37.5739,38.84,382816
2018-04-19,39.0,39.27,38.5,39.08,191320
2018-04-20,38.99,39.36,38.55,38.62,211192
2018-04-23,38.56,38.9299,37.265,38.0,385252
2018-04-24,38.56,38.85,37.54,37.68,275125
2018-04-25,37.99,38.46,37.0,37.58,222612
2018-04-26,37.72,38.67,37.63,38.38,174067
2018-04-27,38.81,38.975,37.67,37.84,130755
2018-04-30,38.04,38.97,37.92,38.05,225462
2018-05-01,38.36,38.36,37.5,38.05,133839
2018-05-02,38.19,38.27,37.59,38.09,202807
2018-05-03,37.95,38.52,37.73,38.27,220010
2018-05-04,38.38,39.44,38.21,39.33,275451
2018-05-07,39.5,40.88,39.041,40.57,304557
2018-05-08,40.54,41.37,40.3221,41.37,166072
2018-05-09,40.99,41.96,40.711,41.94,331485
2018-05-10,41.0,42.86,40.09,42.43,346628
2018-05-11,42.59,42.77,41.51,41.71,291367
2018-05-14,41.93,42.465,40.71,40.85,458623
2018-05-15,43.39,43.39,39.5,41.04,494473
2018-05-16,41.35,42.57,41.11,42.02,345387
2018-05-17,41.5,44.04,41.121,43.95,1156157
