date,open,high,low,close,volume
2018-01-02,2.4777,2.509,2.42,2.4467,30184
2018-01-03,2.4511,2.4556,2.42,2.42,22700
2018-01-04,2.4022,2.4556,2.3844,2.4379,29413
2018-01-05,2.3577,2.4467,2.3577,2.4111,39379
2018-01-08,2.4022,2.4645,2.3577,2.4022,46478
2018-01-09,2.4022,2.4467,2.3933,2.3933,31973
2018-01-10,2.3666,2.4111,2.3666,2.4022,23081
2018-01-11,2.4022,2.4022,2.3844,2.3933,21342
2018-01-12,2.4022,2.4096,2.3755,2.3932,25792
2018-01-16,2.4022,2.4111,2.3577,2.38,75649
2018-01-17,2.4111,2.4467,2.4023,2.4289,111547
2018-01-18,2.4289,2.4556,2.3844,2.4173,63724
2018-01-19,2.4467,2.4556,2.4098,2.4288,46129
2018-01-22,2.4734,2.4912,2.4381,2.4778,53393
2018-01-23,2.4556,2.5188,2.4378,2.4912,96990
2018-01-24,2.509,2.5357,2.4734,2.5134,49465
2018-01-25,2.5357,2.5535,2.4734,2.5268,44302
2018-01-26,2.5535,2.5535,2.4575,2.5001,25366
2018-01-29,2.5357,2.5526,2.4912,2.5178,36614
2018-01-30,2.5357,2.5535,2.5001,2.5179,57182
2018-01-31,2.509,2.5268,2.4912,2.4912,54280
2018-02-01,2.509,2.5268,2.4966,2.497,10149
2018-02-02,2.509,2.5179,2.4556,2.4645,65454
2018-02-05,2.4467,2.4912,2.4022,2.4022,42455
2018-02-06,2.4022,2.5179,2.4013,2.4467,52253
2018-02-07,2.4467,2.4823,2.4289,2.4556,12868
2018-02-08,2.4603,2.4734,2.4378,2.4378,25959
2018-02-09,2.4556,2.4912,2.4111,2.4645,32482
2018-02-12,2.4912,2.4912,2.4126,2.4378,32302
2018-02-13,2.4467,2.4912,2.4467,2.4823,15020
2018-02-14,2.4777,2.509,2.42,2.4645,30056
2018-02-15,2.5001,2.5001,2.4022,2.4556,15053
2018-02-16,2.4734,2.4734,2.4266,2.4461,7026
2018-02-20,2.4467,2.4467,2.4378,2.4467,26382
2018-02-21,2.4467,2.4556,2.4022,2.4248,52730
2018-02-22,2.4378,2.4378,2.331,2.3488,149185
2018-02-23,2.3488,2.3933,2.3234,2.331,19967
2018-02-26,2.3755,2.3933,2.3648,2.3666,75948
2018-02-27,2.3844,2.3844,2.331,2.3488,24692
2018-02-28,2.3666,2.3844,2.331,2.331,26050
2018-03-01,2.331,2.3844,2.331,2.3399,63330
2018-03-02,2.3577,2.4467,2.3486,2.4289,81777
2018-03-05,2.4556,2.4823,2.3844,2.42,125570
2018-03-06,2.4111,2.4289,2.4022,2.42,185364
2018-03-07,2.29,2.4423,2.21,2.38,199279
2018-03-08,2.39,2.48,2.39,2.4,129972
2018-03-09,2.4,2.45,2.36,2.41,32465
2018-03-12,2.43,2.45,2.36,2.39,79683
2018-03-13,2.39,2.41,2.36,2.36,41589
2018-03-14,2.36,2.43,2.32,2.34,48373
2018-03-15,2.36,2.389,2.331,2.34,25884
2018-03-16,2.36,2.38,2.351,2.37,10260
2018-03-19,2.37,2.38,2.29,2.29,77678
2018-03-20,2.35,2.38,2.27,2.35,56221
2018-03-21,2.38,2.38,2.291,2.36,7905
2018-03-22,2.35,2.36,2.3,2.31,45429
2018-03-23,2.33,2.38,2.3,2.32,71528
2018-03-26,2.37,2.38,2.31,2.32,72412
2018-03-27,2.3,2.35,2.26,2.26,56796
2018-03-28,2.26,2.3,2.25,2.3,51221
2018-03-29,2.34,2.34,2.19,2.21,117181
2018-04-02,2.2,2.27,2.2,2.2,54680
2018-04-03,2.23,2.24,2.2,2.23,52962
2018-04-04,2.22,2.35,2.21,2.28,26205
2018-04-05,2.29,2.29,2.2,2.21,72077
2018-04-06,2.2,2.27,2.2,2.25,33215
2018-04-09,2.23,2.26,2.2,2.2,56264
2018-04-10,2.2,2.25,2.19,2.21,46550
2018-04-11,2.22,2.24,2.2,2.2,44540
2018-04-12,2.21,2.25,2.19,2.21,36488
2018-04-13,2.25,2.25,2.19,2.22,43749
2018-04-16,2.26,2.26,2.19,2.21,65745
2018-04-17,2.21,2.22,2.2,2.2,65729
2018-04-18,2.2,2.27,2.2,2.23,44883
2018-04-19,2.21,2.25,2.21,2.22,11904
2018-04-20,2.2,2.2447,2.2,2.2,41873
2018-04-23,2.22,2.22,2.2,2.21,6514
2018-04-24,2.2,2.22,2.2,2.22,26007
2018-04-25,2.2,2.22,2.2,2.22,29620
2018-04-26,2.21,2.22,2.2,2.2,38735
2018-04-27,2.21,2.22,2.2,2.21,49267
2018-04-30,2.22,2.22,2.21,2.21,24980
2018-05-01,2.22,2.22,2.21,2.211,13102
2018-05-02,2.21,2.23,2.2,2.2,48266
2018-05-03,2.2,2.24,2.19,2.2,71741
2018-05-04,2.2,2.22,2.17,2.2,58320
2018-05-07,2.2,2.25,2.2,2.23,42662
2018-05-08,2.23,2.26,2.23,2.24,42870
2018-05-09,2.24,2.28,2.22,2.225,50055
2018-05-10,2.21,2.26,2.21,2.245,29577
2018-05-11,2.21,2.26,2.21,2.23,27418
2018-05-14,2.23,2.26,2.2,2.2,73238
2018-05-15,2.2,2.23,2.19,2.2,76145
2018-05-16,2.2,2.23,2.1934,2.21,35746
2018-05-17,2.21,2.28,2.21,2.27,23759
