symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
MNKD,2017-06-06,1.5700,1.5801,False,1.5200,1.5700,reg,1730455
MNKD,2017-06-07,1.5800,1.5900,False,1.5000,1.5600,reg,2070611
MNKD,2017-06-08,1.5900,1.6200,False,1.5000,1.5600,reg,1892370
MNKD,2017-06-09,1.5600,1.5900,False,1.5300,1.5900,reg,1212598
MNKD,2017-06-12,1.5100,1.5490,False,1.4000,1.5300,reg,1913286
MNKD,2017-06-13,1.4300,1.5300,False,1.4000,1.5300,reg,1825570
MNKD,2017-06-14,1.3600,1.4700,False,1.3500,1.4000,reg,2780232
MNKD,2017-06-15,1.4800,1.4900,False,1.3100,1.3100,reg,1930107
MNKD,2017-06-16,1.5500,1.5800,False,1.4500,1.5600,reg,2518632
MNKD,2017-06-19,1.5400,1.5700,False,1.5000,1.5300,reg,1416401
MNKD,2017-06-20,1.5300,1.5600,False,1.4800,1.5500,reg,1301369
MNKD,2017-06-21,1.4900,1.5600,False,1.4500,1.5400,reg,1857873
MNKD,2017-06-22,1.5300,1.5500,False,1.4400,1.5100,reg,1425962
MNKD,2017-06-23,1.5100,1.7500,False,1.5000,1.5400,reg,10721647
MNKD,2017-06-26,1.5100,1.5900,False,1.5000,1.5100,reg,1830801
MNKD,2017-06-27,1.5600,1.6000,False,1.5000,1.5000,reg,1409584
MNKD,2017-06-28,1.5500,1.5650,False,1.5000,1.5500,reg,1425818
MNKD,2017-06-29,1.4500,1.5600,False,1.3900,1.5300,reg,2755216
MNKD,2017-06-30,1.4100,1.4862,False,1.4100,1.4300,reg,856640
MNKD,2017-07-05,1.2400,1.3300,False,1.2100,1.3100,reg,2291229
MNKD,2017-07-06,1.2200,1.2400,False,1.1638,1.2000,reg,1709946
MNKD,2017-07-07,1.1700,1.2100,False,1.1000,1.2000,reg,1633253
MNKD,2017-07-10,1.1800,1.2400,False,1.1800,1.1900,reg,1039466
MNKD,2017-07-11,1.1600,1.2000,False,1.1400,1.2000,reg,1189025
MNKD,2017-07-12,1.1700,1.1900,False,1.1400,1.1500,reg,917797
MNKD,2017-07-13,1.3200,1.3900,False,1.1500,1.1500,reg,2891090
MNKD,2017-07-14,1.2800,1.4300,False,1.2700,1.3700,reg,3497147
MNKD,2017-07-17,1.3500,1.3500,False,1.2700,1.2900,reg,1582402
MNKD,2017-07-18,1.4500,1.4800,False,1.3150,1.3200,reg,3034857
MNKD,2017-07-19,1.3800,1.4400,False,1.3700,1.4400,reg,1591003
MNKD,2017-07-20,1.3600,1.4000,False,1.3300,1.3500,reg,1014767
MNKD,2017-07-21,1.3000,1.3600,False,1.2700,1.3500,reg,1443775
MNKD,2017-07-24,1.2500,1.3000,False,1.2200,1.3000,reg,1715323
MNKD,2017-07-25,1.2600,1.2900,False,1.2300,1.2600,reg,1810819
MNKD,2017-07-26,1.3200,1.3499,False,1.2599,1.2600,reg,1082359
MNKD,2017-07-27,1.2800,1.3150,False,1.2300,1.3000,reg,942656
MNKD,2017-07-28,1.3200,1.3200,False,1.2800,1.2900,reg,1127724
MNKD,2017-07-31,1.3000,1.3200,False,1.2500,1.3000,reg,1038451
MNKD,2017-08-01,1.2700,1.3300,False,1.2600,1.3300,reg,836484
MNKD,2017-08-02,1.1900,1.2700,False,1.1700,1.2500,reg,2028730
MNKD,2017-08-03,1.1800,1.2000,False,1.1150,1.1600,reg,1806452
MNKD,2017-08-04,1.2200,1.2500,False,1.1650,1.2000,reg,1371990
MNKD,2017-08-07,1.1700,1.2200,False,1.1500,1.2000,reg,2126039
MNKD,2017-08-08,1.1500,1.2200,False,1.0850,1.1100,reg,2033558
MNKD,2017-08-09,1.1500,1.1900,False,1.0900,1.1100,reg,1358431
MNKD,2017-08-10,1.1600,1.1900,False,1.1299,1.1500,reg,808770
MNKD,2017-08-11,1.1900,1.2686,False,1.1800,1.2600,reg,1671423
MNKD,2017-08-14,1.2600,1.3100,False,1.1800,1.2300,reg,1931024
MNKD,2017-08-15,1.2700,1.2825,False,1.2200,1.2700,reg,702678
MNKD,2017-08-16,1.4300,1.4600,False,1.2600,1.2700,reg,3560557
MNKD,2017-08-17,1.4000,1.5200,False,1.3700,1.4600,reg,3672286
MNKD,2017-08-18,1.4600,1.5300,False,1.3750,1.4100,reg,2357104
MNKD,2017-08-21,1.4100,1.4500,False,1.4000,1.4500,reg,968630
MNKD,2017-08-22,1.4200,1.4400,False,1.3900,1.4200,reg,542702
MNKD,2017-08-23,1.4300,1.4300,False,1.3950,1.4100,reg,530425
MNKD,2017-08-24,1.4700,1.5200,False,1.3950,1.4200,reg,1627378
MNKD,2017-08-25,1.5500,1.6600,False,1.5000,1.5000,reg,4371511
MNKD,2017-08-28,1.6600,1.7000,False,1.5301,1.5500,reg,3555280
MNKD,2017-08-29,1.6500,1.7100,False,1.6300,1.6500,reg,1958413
MNKD,2017-08-30,1.8900,2.0000,False,1.6500,1.6500,reg,8748469
MNKD,2017-08-31,2.0700,2.2900,False,1.9300,1.9700,reg,14876148
MNKD,2017-09-01,1.8700,2.2400,False,1.8500,2.2200,reg,7809379
MNKD,2017-09-05,2.0400,2.0900,False,1.8600,1.9200,reg,3830613
MNKD,2017-09-06,1.9700,2.1699,False,1.9300,2.0700,reg,3530138
MNKD,2017-09-07,1.9800,2.0762,False,1.9500,2.0300,reg,3136192
MNKD,2017-09-08,1.9800,2.0300,False,1.8800,1.9600,reg,2731633
MNKD,2017-09-11,2.0400,2.1500,False,1.8600,1.9500,reg,3967477
MNKD,2017-09-12,2.2300,2.2500,False,2.0400,2.0700,reg,4382364
MNKD,2017-09-13,2.2200,2.3500,False,2.1600,2.2500,reg,5160769
MNKD,2017-09-14,2.2500,2.3000,False,2.2000,2.2600,reg,2572579
MNKD,2017-09-15,2.2900,2.2900,False,2.1600,2.2500,reg,3182168
MNKD,2017-09-18,2.2800,2.2990,False,2.2000,2.2900,reg,2044482
MNKD,2017-09-19,2.0200,2.2500,False,2.0000,2.2400,reg,4128109
MNKD,2017-09-20,1.9800,2.0700,False,1.9200,2.0400,reg,2552497
MNKD,2017-09-21,1.9400,2.0000,False,1.8900,1.9900,reg,2020994
MNKD,2017-09-22,1.9800,2.0700,False,1.9300,1.9500,reg,2148927
MNKD,2017-09-25,1.9500,2.0100,False,1.9100,2.0100,reg,1808886
MNKD,2017-09-26,1.8800,1.9899,False,1.8400,1.9600,reg,2499486
MNKD,2017-09-27,1.8500,1.9100,False,1.8007,1.8500,reg,1963536
MNKD,2017-09-28,2.2200,2.2400,False,1.8100,1.8600,reg,6049715
MNKD,2017-09-29,2.1700,2.2500,False,2.0900,2.2500,reg,3345845
MNKD,2017-10-02,2.3400,2.4550,False,2.0100,2.3400,reg,9296925
MNKD,2017-10-03,2.8200,2.9900,False,2.3100,2.3600,reg,12880928
MNKD,2017-10-04,3.5400,3.5900,False,3.0100,3.0300,reg,18970860
MNKD,2017-10-05,4.9600,6.5100,False,3.6200,3.6900,reg,75826761
MNKD,2017-10-06,5.0300,5.7500,False,4.3801,5.1700,reg,36140201
MNKD,2017-10-09,5.3300,5.4750,False,4.8500,5.4500,reg,13217450
MNKD,2017-10-10,6.7100,6.9600,False,5.7200,5.8900,reg,48234731
MNKD,2017-10-11,5.4700,6.2700,False,4.9900,6.2300,reg,33602747
MNKD,2017-10-12,5.4700,5.8700,False,4.8450,5.0300,reg,20830007
MNKD,2017-10-13,5.2800,5.5900,False,5.2100,5.3200,reg,6418298
MNKD,2017-10-16,5.4200,5.7200,False,5.3750,5.5000,reg,10125010
MNKD,2017-10-17,4.7500,5.4200,False,4.7100,5.3700,reg,12768052
MNKD,2017-10-18,4.1300,4.7600,False,4.0800,4.7500,reg,12835187
MNKD,2017-10-19,3.9600,4.1600,False,3.7300,3.9000,reg,11113254
MNKD,2017-10-20,4.1100,4.4500,False,3.8659,3.9300,reg,11426135
MNKD,2017-10-23,3.7000,4.2500,False,3.7000,4.2100,reg,9517721
MNKD,2017-10-24,3.6100,3.8400,False,3.3400,3.6500,reg,13300393
MNKD,2017-10-25,3.4100,3.7500,False,3.3800,3.6400,reg,6632855
MNKD,2017-10-26,3.5200,3.6799,False,3.2450,3.3800,reg,7120894
MNKD,2017-10-27,3.3700,3.6200,False,3.3700,3.5100,reg,4577622
MNKD,2017-10-30,3.4300,3.5500,False,3.3700,3.3700,reg,4264663
