date,open,high,low,close,volume
2018-01-02,11.6,11.7,11.575,11.6,17636
2018-01-03,11.55,11.65,11.15,11.65,7731
2018-01-04,11.75,11.75,11.55,11.55,7963
2018-01-05,11.55,11.6232,11.3,11.35,10626
2018-01-08,11.25,11.7,11.25,11.65,5837
2018-01-09,11.6,11.6,11.6,11.6,3281
2018-01-10,11.6,11.75,11.6,11.75,17317
2018-01-11,11.65,11.8,11.6,11.7,11682
2018-01-12,11.6,11.95,11.6,11.95,53048
2018-01-16,11.9,12.15,11.9,12.05,7912
2018-01-17,12.0,12.0,11.8,11.85,4756
2018-01-18,11.745,11.85,11.675,11.7,6749
2018-01-19,11.65,12.1,11.65,12.0,7514
2018-01-22,12.0,12.1,11.95,12.1,5541
2018-01-23,12.05,12.15,12.045,12.15,5006
2018-01-24,12.15,12.15,12.05,12.05,7573
2018-01-25,12.05,12.05,11.9,11.95,3567
2018-01-26,11.9,11.9,11.65,11.675,4451
2018-01-29,11.55,11.8,11.55,11.65,7440
2018-01-30,11.65,11.8,11.505,11.75,27542
2018-01-31,11.65,12.15,11.6,12.1,29337
2018-02-01,12.05,12.15,12.0,12.1,3325
2018-02-02,11.95,12.0,11.15,11.25,38390
2018-02-05,11.1,11.45,11.05,11.05,20118
2018-02-06,11.0,11.55,11.0,11.55,14558
2018-02-07,11.3,11.6,11.3,11.35,15395
2018-02-08,11.4118,11.6,11.3,11.3,8640
2018-02-09,11.3,11.45,11.3,11.3,7437
2018-02-12,11.3,11.4,11.05,11.2,12817
2018-02-13,11.15,11.2,11.1,11.2,9212
2018-02-14,11.1,11.4,11.1,11.25,9097
2018-02-15,11.4,11.55,11.305,11.45,2929
2018-02-16,11.4,11.95,11.4,11.95,5084
2018-02-20,11.65,11.85,11.5,11.5,7969
2018-02-21,11.6,11.9,11.5,11.55,4517
2018-02-22,11.65,11.655,11.5,11.6,5645
2018-02-23,11.55,11.7,11.55,11.7,3167
2018-02-26,11.65,12.0,11.5893,12.0,5755
2018-02-27,12.05,12.05,11.8,11.85,7462
2018-02-28,11.555,11.7706,11.25,11.25,13380
2018-03-01,11.35,11.35,11.0,11.1,7329
2018-03-02,10.75,11.0,10.2,10.95,15156
2018-03-05,11.0,11.15,11.0,11.05,11992
2018-03-06,11.2,11.2,10.9,11.2,5899
2018-03-07,11.2,11.3,11.1,11.25,8709
2018-03-08,11.05,11.4,11.05,11.3,3396
2018-03-09,11.45,12.1,11.05,11.65,27801
2018-03-12,11.6,12.1,11.6,12.0,4552
2018-03-13,12.15,12.15,11.4,11.7,8090
2018-03-14,11.4,12.0,11.15,11.75,6215
2018-03-15,12.1,12.1,11.2,11.35,27367
2018-03-16,11.25,11.45,11.15,11.45,68131
2018-03-19,11.3,11.3,11.2,11.25,4631
2018-03-20,11.3,11.35,11.25,11.25,15324
2018-03-21,11.15,11.35,11.125,11.3,5638
2018-03-22,11.175,11.25,11.1,11.1,8819
2018-03-23,10.95,11.3,10.8,10.8,14822
2018-03-26,10.5,11.2,10.5,11.05,6510
2018-03-27,10.825,11.1,10.6,10.75,10579
2018-03-28,10.8,11.1,10.5845,10.7,13921
2018-03-29,10.85,11.05,10.85,11.0,7704
2018-04-02,10.95,10.95,10.1,10.25,10359
2018-04-03,10.35,10.8,10.25,10.45,6035
2018-04-04,10.2,10.5,9.55,10.0,24352
2018-04-05,10.26,10.26,10.1,10.2,8058
2018-04-06,10.2,10.725,10.2,10.3,7871
2018-04-09,10.2,10.45,10.1,10.2,6304
2018-04-10,10.35,10.4,10.15,10.25,10425
2018-04-11,10.0,10.35,10.0,10.1,9435
2018-04-12,10.25,10.25,10.1,10.1,5899
2018-04-13,10.25,10.35,10.1,10.2,7907
2018-04-16,11.0,11.0,9.15,9.2,34102
2018-04-17,9.3,9.55,9.3,9.55,8455
2018-04-18,9.625,9.625,9.255,9.4,11849
2018-04-19,9.4,9.5,9.4,9.5,4211
2018-04-20,9.3,9.75,9.25,9.65,7443
2018-04-23,9.45,9.5,9.25,9.35,4348
2018-04-24,9.55,9.55,9.275,9.45,7586
2018-04-25,9.25,9.6,9.25,9.4,6148
2018-04-26,9.35,9.5,9.25,9.45,8137
2018-04-27,9.5,9.5,9.052,9.3,16795
2018-04-30,9.45,9.65,9.25,9.25,30226
2018-05-01,9.2,9.35,9.1,9.3,12642
2018-05-02,9.3,9.65,9.245,9.4,27865
2018-05-03,9.4,9.5,9.05,9.25,19833
2018-05-04,9.3,9.5,9.2,9.5,3488
2018-05-07,9.6,9.7,9.6,9.7,13889
2018-05-08,9.7,9.85,9.7,9.8,3493
2018-05-09,9.85,9.95,9.75,9.85,9176
2018-05-10,9.229,9.3,9.1,9.225,3672
2018-05-11,9.8,10.45,9.05,9.1,18072
2018-05-14,9.05,9.25,8.75,8.8,8421
2018-05-15,8.3,9.1,8.3,9.0,14948
2018-05-16,8.95,9.7312,8.95,9.3,17604
2018-05-17,9.445,9.5,9.375,9.4,10317
