symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
NAUH,2017-06-06,2.4058,2.4058,False,2.3674,2.3674,reg,1979
NAUH,2017-06-07,2.3673,2.3709,False,2.3298,2.3298,reg,719
NAUH,2017-06-08,2.4636,2.5213,False,2.2711,2.3288,reg,15901
NAUH,2017-06-09,2.5020,2.5694,False,2.4924,2.5309,reg,19649
NAUH,2017-06-12,2.5790,2.5983,False,2.4856,2.5983,reg,15069
NAUH,2017-06-13,2.5213,2.5790,False,2.4636,2.5502,reg,9960
NAUH,2017-06-14,2.5213,2.5213,False,2.5213,2.5213,reg,327
NAUH,2017-06-15,2.5502,2.6368,False,2.4754,2.6368,reg,2017
NAUH,2017-06-16,2.5405,2.5694,False,2.5405,2.5405,reg,2539
NAUH,2017-06-19,2.6175,2.6175,False,2.5887,2.5887,reg,1465
NAUH,2017-06-20,2.6123,2.6123,False,2.6123,2.6123,reg,2186
NAUH,2017-06-21,2.5020,2.5370,False,2.5020,2.5370,reg,1457
NAUH,2017-06-22,2.4347,2.6156,False,2.4154,2.5309,reg,2230
NAUH,2017-06-23,2.6656,2.6656,False,2.4732,2.5069,reg,6114
NAUH,2017-06-26,2.4732,2.5935,False,2.4732,2.5020,reg,6747
NAUH,2017-06-27,2.4636,2.5694,False,2.4636,2.5694,reg,3732
NAUH,2017-06-28,2.5566,2.5664,False,2.3607,2.5076,reg,17570
NAUH,2017-06-29,2.5370,2.5860,False,2.4685,2.4685,reg,4026
NAUH,2017-06-30,2.4489,2.5174,False,2.4489,2.4662,reg,2394
NAUH,2017-07-05,2.4097,2.4489,False,2.4097,2.4488,reg,644
NAUH,2017-07-06,2.3509,2.4880,False,2.3509,2.4440,reg,3217
NAUH,2017-07-07,2.2334,2.4782,False,2.0766,2.4782,reg,6040
NAUH,2017-07-10,2.4097,2.4391,False,2.3646,2.4391,reg,6046
NAUH,2017-07-11,2.2236,2.4490,False,2.2236,2.4489,reg,3328
NAUH,2017-07-12,2.2628,2.3999,False,2.2628,2.3999,reg,914
NAUH,2017-07-13,2.2628,2.2628,False,2.1981,2.2463,reg,1579
NAUH,2017-07-14,2.2236,2.3117,False,2.2236,2.3054,reg,1104
NAUH,2017-07-17,2.3019,2.3803,False,2.2092,2.3803,reg,3247
NAUH,2017-07-18,2.3509,2.3705,False,2.2236,2.3117,reg,5596
NAUH,2017-07-19,2.3803,2.3803,False,2.1844,2.1942,reg,900
NAUH,2017-07-20,2.3313,2.3411,False,2.3313,2.3411,reg,1176
NAUH,2017-07-21,2.3082,2.3215,False,2.1648,2.1648,reg,2123
NAUH,2017-07-24,2.3509,2.3509,False,2.3117,2.3117,reg,2292
NAUH,2017-07-25,2.1550,2.2236,False,2.0277,2.1893,reg,57160
NAUH,2017-07-26,2.1942,2.2285,False,2.1746,2.2285,reg,5216
NAUH,2017-07-27,2.1060,2.2040,False,2.1060,2.2040,reg,5930
NAUH,2017-07-28,2.2040,2.3509,False,2.1648,2.1648,reg,1273
