symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
NEPT,2017-06-20,0.8500,0.8634,False,0.8300,0.8300,reg,120081
NEPT,2017-06-21,0.8752,0.8900,False,0.8501,0.8700,reg,108928
NEPT,2017-06-22,0.9000,0.9000,False,0.8800,0.8800,reg,83073
NEPT,2017-06-23,0.8700,0.9000,False,0.8500,0.9000,reg,131068
NEPT,2017-06-26,0.8630,0.8800,False,0.8452,0.8500,reg,95625
NEPT,2017-06-27,0.8340,0.8630,False,0.8340,0.8630,reg,156743
NEPT,2017-06-28,0.8481,0.8500,False,0.8300,0.8300,reg,79146
NEPT,2017-06-29,0.8500,0.8600,False,0.8400,0.8500,reg,64042
NEPT,2017-06-30,0.8410,0.8600,False,0.8403,0.8500,reg,38075
NEPT,2017-07-05,0.8400,0.8592,False,0.8400,0.8500,reg,48267
NEPT,2017-07-06,0.8520,0.9000,False,0.8300,0.9000,reg,57135
NEPT,2017-07-07,0.8400,0.8900,False,0.8400,0.8900,reg,31903
NEPT,2017-07-10,0.8500,0.8899,False,0.8400,0.8500,reg,127407
NEPT,2017-07-11,0.8200,0.8700,False,0.8200,0.8700,reg,130720
NEPT,2017-07-12,0.8449,0.8600,False,0.8200,0.8600,reg,44422
NEPT,2017-07-13,0.8200,0.8666,False,0.8200,0.8450,reg,187465
NEPT,2017-07-14,0.8598,0.8750,False,0.8200,0.8600,reg,90488
NEPT,2017-07-17,0.8200,0.8662,False,0.8200,0.8600,reg,167713
NEPT,2017-07-18,0.8200,0.8600,False,0.8100,0.8500,reg,223580
NEPT,2017-07-19,0.8100,0.8380,False,0.8000,0.8250,reg,142396
NEPT,2017-07-20,0.8060,0.8380,False,0.8010,0.8124,reg,127496
NEPT,2017-07-21,0.8015,0.8300,False,0.8015,0.8200,reg,71894
NEPT,2017-07-24,0.8150,0.8300,False,0.8016,0.8300,reg,85770
NEPT,2017-07-25,0.8440,0.8500,False,0.8199,0.8200,reg,445777
NEPT,2017-07-26,0.9000,0.9199,False,0.8500,0.8500,reg,124653
NEPT,2017-07-27,0.8711,0.9500,False,0.8601,0.9300,reg,129814
NEPT,2017-07-28,0.8673,0.9100,False,0.8214,0.9100,reg,49222
NEPT,2017-07-31,0.8900,0.8900,False,0.8500,0.8900,reg,94955
NEPT,2017-08-01,0.8599,0.9000,False,0.8300,0.8387,reg,18531
NEPT,2017-08-02,0.9020,0.9200,False,0.8700,0.8800,reg,219543
NEPT,2017-08-03,0.9110,0.9500,False,0.9100,0.9285,reg,69084
NEPT,2017-08-04,0.9050,0.9300,False,0.9010,0.9240,reg,51836
NEPT,2017-08-07,0.8900,0.9100,False,0.8900,0.9100,reg,49457
NEPT,2017-08-08,0.8900,0.8900,False,0.8000,0.8300,reg,273961
NEPT,2017-08-09,0.8500,0.8700,False,0.8500,0.8500,reg,127029
NEPT,2017-08-10,0.8324,0.8500,False,0.8300,0.8500,reg,150824
NEPT,2017-08-11,0.8288,0.8399,False,0.8011,0.8200,reg,259805
NEPT,2017-08-14,0.8300,0.8300,False,0.8010,0.8176,reg,106115
NEPT,2017-08-15,0.7199,0.8200,False,0.7000,0.8100,reg,1280788
NEPT,2017-08-16,0.7700,0.7700,False,0.7100,0.7100,reg,647463
NEPT,2017-08-17,0.9000,0.9100,False,0.7774,0.7799,reg,652989
NEPT,2017-08-18,0.8800,0.9000,False,0.8400,0.8800,reg,1618430
NEPT,2017-08-21,0.8480,0.8910,False,0.8388,0.8800,reg,221064
NEPT,2017-08-22,0.8400,0.8790,False,0.8400,0.8790,reg,150158
NEPT,2017-08-23,0.8700,0.8700,False,0.8400,0.8400,reg,78917
NEPT,2017-08-24,0.8899,0.9199,False,0.8539,0.9199,reg,73327
NEPT,2017-08-25,0.8500,0.9099,False,0.8400,0.9098,reg,42945
NEPT,2017-08-28,0.8500,0.8898,False,0.8400,0.8731,reg,117471
NEPT,2017-08-29,0.8790,0.9800,False,0.8200,0.8202,reg,61927
NEPT,2017-08-30,0.8580,0.8979,False,0.8300,0.8500,reg,45401
NEPT,2017-08-31,0.8600,0.8600,False,0.8350,0.8500,reg,83913
NEPT,2017-09-01,0.8586,0.8765,False,0.8300,0.8503,reg,37504
NEPT,2017-09-05,0.8499,0.8600,False,0.8350,0.8410,reg,35016
NEPT,2017-09-06,0.8589,0.8599,False,0.8300,0.8499,reg,52066
NEPT,2017-09-07,0.8799,0.9000,False,0.8409,0.8600,reg,189789
NEPT,2017-09-08,0.8877,0.9000,False,0.8600,0.8900,reg,29055
NEPT,2017-09-11,0.8800,0.9000,False,0.8702,0.9000,reg,96338
NEPT,2017-09-12,0.8601,0.8699,False,0.8400,0.8600,reg,61561
NEPT,2017-09-13,0.8500,0.8700,False,0.8400,0.8505,reg,179523
NEPT,2017-09-14,0.8600,0.8700,False,0.8400,0.8400,reg,133590
NEPT,2017-09-15,0.8700,0.8700,False,0.8300,0.8600,reg,160131
NEPT,2017-09-18,0.8700,0.9000,False,0.8500,0.8898,reg,159982
NEPT,2017-09-19,0.8520,0.8800,False,0.8300,0.8800,reg,159336
NEPT,2017-09-20,0.8500,0.8798,False,0.8329,0.8500,reg,111821
NEPT,2017-09-21,0.8500,0.8500,False,0.8200,0.8410,reg,121518
NEPT,2017-09-22,0.8200,0.8498,False,0.8000,0.8290,reg,76368
NEPT,2017-09-25,0.8461,0.8600,False,0.8000,0.8600,reg,65277
NEPT,2017-09-26,0.8538,0.8559,False,0.8300,0.8500,reg,47369
NEPT,2017-09-27,0.8800,0.8900,False,0.8539,0.8600,reg,131090
NEPT,2017-09-28,0.9198,0.9400,False,0.8801,0.8900,reg,288020
