date,open,high,low,close,volume
2018-01-02,0.3345,0.39,0.326,0.357,7198986
2018-01-03,0.349,0.3634,0.3312,0.346,1717147
2018-01-04,0.35,0.3655,0.345,0.3606,1265517
2018-01-05,0.3651,0.368,0.335,0.3524,1319558
2018-01-08,0.35,0.3749,0.331,0.3655,3129109
2018-01-09,0.375,0.38,0.3413,0.3525,1306333
2018-01-10,0.37,0.37,0.332,0.3371,1069847
2018-01-11,0.331,0.379,0.32,0.36,4699614
2018-01-12,0.36,0.3624,0.34,0.343,1335966
2018-01-16,0.3435,0.3672,0.335,0.348,3577963
2018-01-17,0.3485,0.3485,0.325,0.3328,1962515
2018-01-18,0.3301,0.3327,0.3024,0.307,3411322
2018-01-19,0.3125,0.3288,0.3,0.314,5355357
2018-01-22,0.3154,0.33,0.3055,0.3252,2065024
2018-01-23,0.325,0.3676,0.3152,0.3543,8596782
2018-01-24,0.35,0.397,0.3315,0.361,9685605
2018-01-25,0.36,0.3614,0.3225,0.3241,3662279
2018-01-26,0.3245,0.3395,0.32,0.3328,1884860
2018-01-29,0.337,0.3389,0.31,0.3151,1859607
2018-01-30,0.32,0.32,0.3096,0.3126,1061309
2018-01-31,0.3125,0.3199,0.3081,0.313,702281
2018-02-01,0.3242,0.3242,0.31,0.316,1286074
2018-02-02,0.3151,0.317,0.29,0.2999,1963237
2018-02-05,0.305,0.305,0.2802,0.29,1645429
2018-02-06,0.285,0.29,0.26,0.2806,1352504
2018-02-07,0.323,0.323,0.282,0.282,770548
2018-02-08,0.295,0.295,0.276,0.2894,930276
2018-02-09,0.2799,0.3,0.275,0.2815,782956
2018-02-12,0.2852,0.299,0.28,0.2802,621730
2018-02-13,0.28,0.2875,0.28,0.281,999434
2018-02-14,0.291,0.295,0.277,0.2851,983950
2018-02-15,0.291,0.2938,0.286,0.2869,840607
2018-02-16,0.2905,0.2905,0.2751,0.2771,631046
2018-02-20,0.2845,0.29,0.2771,0.2832,563923
2018-02-21,0.2815,0.319,0.2811,0.314,1717508
2018-02-22,0.312,0.3395,0.307,0.3288,2355506
2018-02-23,0.335,0.335,0.2851,0.305,1184534
2018-02-26,0.32,0.32,0.2922,0.302,611429
2018-02-27,0.3025,0.305,0.2955,0.297,488907
2018-02-28,0.3,0.307,0.29,0.2955,862767
2018-03-01,0.3,0.3022,0.2837,0.2885,369410
2018-03-02,0.3,0.3,0.283,0.29,630353
2018-03-05,0.2942,0.2999,0.2861,0.29,704776
2018-03-06,0.29,0.29,0.284,0.284,437212
2018-03-07,0.288,0.29,0.2781,0.2785,941020
2018-03-08,0.285,0.285,0.26,0.262,1532548
2018-03-09,0.2688,0.28,0.26,0.274,3034287
2018-03-12,0.29,0.29,0.276,0.2811,2451926
2018-03-13,0.2811,0.2819,0.2595,0.265,2191663
2018-03-14,0.2699,0.2725,0.25,0.2604,1605203
2018-03-15,0.272,0.272,0.255,0.2599,728413
2018-03-16,0.26,0.2751,0.2501,0.2751,1230246
2018-03-19,0.275,0.2751,0.257,0.2674,757957
2018-03-20,0.265,0.276,0.2541,0.2714,2299856
2018-03-21,0.275,0.275,0.26,0.2695,580121
2018-03-22,0.27,0.27,0.247,0.265,719656
2018-03-23,0.255,0.2601,0.2279,0.2508,1012796
2018-03-26,0.2562,0.26,0.245,0.2599,740088
2018-03-27,0.27,0.2896,0.2523,0.277,2228021
2018-03-28,0.28,0.28,0.23,0.2425,2577627
2018-03-29,0.24,0.2403,0.212,0.231,1860577
2018-04-02,0.23,0.24,0.218,0.2272,877957
2018-04-03,0.24,0.24,0.22,0.22,697495
2018-04-04,0.217,0.2378,0.2109,0.2313,639496
2018-04-05,0.2155,0.2398,0.2155,0.2302,472872
2018-04-06,0.2301,0.238,0.2251,0.232,216399
2018-04-09,0.23,0.2384,0.225,0.2255,349847
2018-04-10,0.23,0.2347,0.22,0.2288,639551
2018-04-11,0.2296,0.23,0.225,0.229,241703
2018-04-12,0.23,0.257,0.2253,0.24671,1193876
2018-04-13,0.26,0.26,0.2351,0.2526,311346
2018-04-16,0.2447,0.2545,0.24,0.2492,1096820
2018-04-17,0.19,0.191,0.175,0.18,4265613
2018-04-18,0.19,0.191,0.1713,0.175,1942496
2018-04-19,0.1755,0.1758,0.165,0.1657,1529153
2018-04-20,0.165,0.1725,0.16,0.16,2662882
2018-04-23,0.168,0.1687,0.14,0.1457,2578691
2018-04-24,0.1496,0.15,0.141,0.1465,1878641
2018-04-25,0.1497,0.151,0.1415,0.1461,1142263
2018-04-26,0.1495,0.19,0.145,0.1689,5883145
2018-04-27,0.1732,0.18,0.15,0.1552,2469765
2018-04-30,0.1598,0.165,0.15,0.1559,1321428
2018-05-01,0.1555,0.1599,0.155,0.1586,525097
2018-05-02,0.16,0.165,0.1582,0.1614,683260
2018-05-03,0.169,0.169,0.15751,0.1582,687638
2018-05-04,0.16,0.16,0.15,0.153,835258
2018-05-07,0.1599,0.1599,0.145,0.1529,401387
2018-05-08,0.15,0.16,0.15,0.15311,312473
2018-05-09,0.1529,0.16,0.15,0.1587,526020
2018-05-10,0.1587,0.159,0.1537,0.1574,355321
2018-05-11,0.16,0.16,0.155,0.1597,464168
2018-05-14,0.1661,0.175,0.1577,0.1699,1201029
2018-05-15,0.1795,0.1874,0.172,0.186028,2588266
2018-05-16,0.1425,0.164,0.1425,0.1585,1847658
2018-05-17,0.1512,0.16,0.148,0.15,1622618
