date,open,high,low,close,volume
2018-01-02,55.1274,55.7036,55.038,55.197,1386156
2018-01-03,55.187,56.9352,55.0778,56.6869,2406945
2018-01-04,56.7268,57.883,56.6769,57.6239,2711268
2018-01-05,57.8033,58.8001,57.4743,58.6605,2347793
2018-01-08,58.4811,59.5427,58.0226,59.4579,3281048
2018-01-09,59.5576,60.375,59.2087,59.4779,3062916
2018-01-10,59.2984,60.4647,58.8898,60.4547,2021635
2018-01-11,60.5444,61.6608,60.0361,61.611,3558329
2018-01-12,61.7705,62.5978,61.4914,62.5679,2510505
2018-01-16,62.7373,63.2357,61.5113,62.0695,2769207
2018-01-17,62.538,63.764,62.4782,63.3852,1807458
2018-01-18,63.2955,63.6444,62.5778,63.0962,3294207
2018-01-19,63.146,63.5248,62.7872,62.8869,3420795
2018-01-22,62.8071,63.3254,62.5778,63.3155,2796907
2018-01-23,63.4052,63.7241,62.8579,63.6344,2419485
2018-01-24,63.6843,63.8536,61.9499,62.7274,2821544
2018-01-25,63.3553,63.4849,62.219,62.2888,1949999
2018-01-26,62.7573,63.2058,62.518,63.136,3671649
2018-01-29,63.0563,63.2856,62.4782,62.5978,2266877
2018-01-30,62.1094,62.4981,61.1774,62.1094,1984802
2018-01-31,62.4881,63.0164,60.9431,61.302,2950302
2018-02-01,61.1724,62.1692,60.9431,61.9598,3995490
2018-02-02,61.3319,61.8004,59.9763,60.0261,1914342
2018-02-05,59.2885,59.9663,56.5673,56.6271,3943504
2018-02-06,59.8566,60.7936,59.8125,60.2055,2700138
2018-02-07,57.4943,58.5309,57.0358,57.4444,2395719
2018-02-08,57.6637,57.7036,55.6702,55.6702,2259549
2018-02-09,56.328,56.6669,53.9457,55.9891,3585912
2018-02-12,56.8464,58.1521,56.4477,57.5441,4354364
2018-02-13,59.3981,59.9463,58.2618,58.5509,3915013
2018-02-14,58.1222,60.7936,58.0624,60.4447,5811265
2018-02-15,54.3943,57.5541,51.8326,57.4843,16677473
2018-02-16,57.2152,58.81,56.1785,56.328,5438737
2018-02-20,55.8994,58.6605,55.5505,57.893,4146145
2018-02-21,58.0126,59.6872,57.9927,58.3515,3404984
2018-02-22,58.4412,59.3283,58.3216,58.4013,3209035
2018-02-23,58.9296,59.438,57.9578,59.428,3216984
2018-02-26,59.8068,60.4348,59.3084,60.2155,4061683
2018-02-27,59.8566,60.7936,59.8125,60.2055,2708492
2018-02-28,60.3451,61.3518,59.8367,60.355,5440866
2018-03-01,60.4348,61.3717,59.7171,60.4049,2532910
2018-03-02,60.1756,60.7039,59.3184,60.5644,2648372
2018-03-05,60.1656,62.4183,59.9164,61.9897,3504908
2018-03-06,63.0164,64.2225,62.7074,63.5946,4874282
2018-03-07,62.9267,63.5447,62.6576,63.146,2657118
2018-03-08,63.4151,63.7042,62.9377,63.6743,2092415
2018-03-09,64.083,65.1097,63.6743,65.0499,2142510
2018-03-12,65.1495,65.2293,64.3122,64.3222,2457679
2018-03-13,64.3222,65.309,64.2923,64.6212,2571420
2018-03-14,65.0399,65.3688,64.2624,64.3421,2237570
2018-03-15,64.4518,64.4518,63.161,63.465,2492228
2018-03-16,63.4251,64.0182,63.1859,63.7241,2631199
2018-03-19,63.445,63.6843,62.1293,62.6377,3063495
2018-03-20,62.8869,63.6145,62.6277,63.1061,2030393
2018-03-21,63.1959,64.3421,62.7473,63.9036,2146089
2018-03-22,63.1061,63.4052,61.5013,61.9598,2951667
2018-03-23,62.4383,63.1859,60.9531,60.9531,1953876
2018-03-26,61.8901,63.136,61.3119,63.0962,2224912
2018-03-27,63.1859,63.6843,60.5544,60.993,2708920
2018-03-28,60.9631,61.4016,58.9097,59.2785,3253949
2018-03-29,59.5576,61.8103,59.5576,61.4914,3690263
