date,open,high,low,close,volume
2018-01-02,84.8584,87.1288,83.5665,85.9447,13909
2018-01-03,85.4076,88.0781,84.5354,87.9998,19675
2018-01-04,88.4696,88.998,86.1795,86.1991,9070
2018-01-05,86.9918,87.0897,84.5256,86.7276,7562
2018-01-08,85.9838,86.3948,85.2401,86.2187,8025
2018-01-09,86.3655,86.3655,85.152,85.152,4878
2018-01-10,85.1422,87.5986,85.1422,87.5986,15349
2018-01-11,85.4214,91.9927,85.4214,91.7382,20354
2018-01-12,91.9829,91.9829,88.9002,89.4971,25165
2018-01-16,89.9473,90.514,88.2885,88.3032,11983
2018-01-17,88.6261,90.2703,86.5318,87.1582,25316
2018-01-18,86.9331,89.0861,85.6315,86.708,10765
2018-01-19,86.708,87.4616,85.6021,86.9722,20935
2018-01-22,87.4518,88.285,86.3753,87.5888,10674
2018-01-23,87.7943,87.7943,86.4195,86.708,8244
2018-01-24,86.708,87.535,84.0754,85.9153,20943
2018-01-25,86.5221,88.0781,84.9464,84.9464,12651
2018-01-26,85.1148,86.0949,84.4514,84.4613,15510
2018-01-29,84.1544,86.1246,84.1544,84.8574,6774
2018-01-30,84.293,84.8803,83.1446,83.8673,8084
2018-01-31,84.1544,85.2213,81.6793,82.9862,16749
2018-02-01,82.699,84.1544,81.9466,83.9861,4265
2018-02-02,83.8277,84.9168,82.2139,84.0653,16972
2018-02-05,83.1941,84.4633,81.1942,81.1942,13538
2018-02-06,79.8873,82.302,78.4715,79.2339,24307
2018-02-07,79.1448,80.8602,78.62,78.8972,9335
2018-02-08,79.4021,79.4021,73.1177,73.4124,11933
2018-02-09,74.1747,80.0338,74.1747,75.937,17529
2018-02-12,76.7983,79.1943,75.2836,75.7093,9933
2018-02-13,75.3133,75.3133,72.2738,72.4718,9232
2018-02-14,71.759,74.6301,71.759,73.2539,12288
2018-02-15,73.7589,74.737,73.4223,73.8084,4184
2018-02-16,73.3629,76.5873,73.3629,75.5509,6984
2018-02-20,75.2638,75.2638,71.3332,71.759,10239
2018-02-21,71.8877,73.0963,71.2837,71.462,14928
2018-02-22,72.056,75.5223,69.8878,69.8977,21710
2018-02-23,70.1551,72.8084,67.8186,71.2837,32537
2018-02-26,71.2837,72.0362,68.8284,70.1947,21884
2018-02-27,70.1452,71.566,69.7987,69.7987,15772
2018-02-28,70.0462,70.5907,67.8483,68.8185,30215
2018-03-01,68.769,73.5336,68.3116,73.0658,16569
2018-03-02,72.9965,75.5113,72.0764,74.8776,40596
2018-03-05,74.5905,76.5459,73.7391,73.7391,12929
2018-03-06,73.7391,76.6622,72.3411,76.3528,14474
2018-03-07,75.4519,76.1053,74.8578,75.5707,8200
2018-03-08,75.8281,75.8281,72.749,72.7886,12873
2018-03-09,73.0757,75.5806,71.8902,74.5113,25519
2018-03-12,74.4519,82.6198,73.6203,82.3723,39258
2018-03-13,82.798,84.996,78.4121,82.0357,21406
2018-03-14,82.5406,82.5406,79.7487,81.6793,15332
2018-03-15,81.9565,82.7583,79.4713,81.0061,9567
2018-03-16,80.8773,82.9367,79.914,82.1941,34245
2018-03-19,81.7684,84.2434,79.6992,80.4021,13301
2018-03-20,80.61,83.0654,79.2042,79.818,9087
2018-03-21,80.214,81.1744,79.2042,80.3427,7393
2018-03-22,79.6893,80.9658,76.8874,77.0557,11041
2018-03-23,77.5013,80.1843,74.9446,77.9468,13527
2018-03-26,78.7091,81.6595,77.4518,77.9666,10334
2018-03-27,78.1646,80.1942,76.3825,78.0359,13091
2018-03-28,77.9864,79.2629,76.0657,77.026,7375
2018-03-29,77.4221,84.1049,77.0399,82.2832,27270
2018-04-02,82.0159,82.0159,77.6993,78.125,12172
2018-04-03,78.6101,78.7101,76.828,77.0458,7098
2018-04-04,76.0855,80.0754,75.739,79.5012,13838
2018-04-05,79.8081,80.0531,77.5409,78.5111,10097
2018-04-06,77.828,77.963,75.739,77.2439,14493
2018-04-09,77.6795,79.2042,77.6795,78.7487,14855
2018-04-10,79.5903,80.5605,77.4221,79.2735,8562
2018-04-11,79.0062,82.6099,79.0062,81.4813,11027
2018-04-12,81.2932,88.5998,81.2833,85.392,17985
2018-04-13,85.3524,85.3524,80.5803,80.907,10812
2018-04-16,81.3823,81.3823,79.0458,79.0953,10750
2018-04-17,79.6794,85.0752,79.6794,84.3425,11195
2018-04-18,84.5405,86.8276,81.214,84.4514,9432
2018-04-19,84.3722,86.9415,82.6149,85.9365,7984
2018-04-20,85.6296,85.6296,80.0655,80.214,34065
2018-04-23,80.6892,84.8475,80.6892,84.4613,16227
2018-04-24,85.0554,85.5306,82.7089,83.0456,20294
2018-04-25,82.105,84.5108,82.105,83.8574,17547
2018-04-26,85.5801,87.1246,84.6692,85.3821,9960
2018-04-27,85.5306,86.1897,83.2238,83.6495,13122
2018-04-30,83.8277,85.6296,82.3921,83.7287,34515
2018-05-01,83.303,86.3919,82.5406,86.1345,28886
2018-05-02,85.9662,88.8968,85.887,88.8968,14473
2018-05-03,87.9958,90.5007,86.1345,90.2531,14860
2018-05-04,90.0056,91.0848,89.1344,90.4512,24132
2018-05-07,89.8472,92.8174,89.8472,92.5501,16771
2018-05-08,92.461,95.5202,89.1047,95.243,19612
2018-05-09,95.7776,97.7775,94.5054,96.5103,10502
2018-05-10,96.3667,100.2527,96.3667,99.52,16535
2018-05-11,99.7,100.1,96.5051,100.07,16290
2018-05-14,100.53,104.0,100.5,101.8,17759
2018-05-15,101.56,102.6065,100.06,100.35,21133
2018-05-16,100.58,103.49,99.9,101.98,12250
2018-05-17,102.08,103.156,96.47,102.65,15205
