symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
NWFL,2017-05-30,37.6650,37.8591,False,37.0230,37.8009,reg,3918
NWFL,2017-05-31,37.7620,38.1018,False,36.1603,36.7039,reg,4185
NWFL,2017-06-01,37.6650,37.8591,False,37.4999,37.8022,reg,4339
NWFL,2017-06-02,38.7328,38.7328,False,37.1310,37.8591,reg,8482
NWFL,2017-06-05,37.3252,38.8298,False,37.3155,37.6164,reg,9063
NWFL,2017-06-06,37.2281,38.8007,False,35.7161,35.7161,reg,6543
NWFL,2017-06-07,37.3155,38.2474,False,36.3178,38.2474,reg,5194
NWFL,2017-06-08,37.5873,38.8289,False,37.3543,38.8289,reg,5333
NWFL,2017-06-09,38.2086,38.7813,False,37.5485,37.5485,reg,3403
NWFL,2017-06-12,37.6164,38.6842,False,35.6749,35.6749,reg,13069
NWFL,2017-06-13,37.4902,37.9562,False,36.7816,37.6164,reg,14284
NWFL,2017-06-14,37.8688,38.7328,False,36.5001,37.5388,reg,13118
NWFL,2017-06-15,38.7813,38.7813,False,36.8884,38.3445,reg,14502
NWFL,2017-06-16,40.0433,40.8393,False,37.7378,38.5580,reg,19390
NWFL,2017-06-19,42.2566,42.7128,False,39.2875,39.2875,reg,13747
NWFL,2017-06-20,42.2760,42.7128,False,40.8684,42.1304,reg,13728
NWFL,2017-06-21,40.5287,42.2760,False,40.5287,42.2760,reg,11034
NWFL,2017-06-22,40.2568,40.8975,False,39.8006,39.8006,reg,10893
NWFL,2017-06-23,39.4220,40.8684,False,37.8591,39.3249,reg,377825
NWFL,2017-06-26,40.4801,40.7713,False,38.9463,39.2181,reg,21262
NWFL,2017-06-27,41.2276,41.2373,False,36.9369,36.9369,reg,18078
NWFL,2017-06-28,41.2470,41.2567,False,39.3152,41.2373,reg,8574
NWFL,2017-06-29,41.2664,41.3053,False,40.3152,40.3152,reg,7016
NWFL,2017-06-30,41.0140,41.2567,False,40.3054,40.3054,reg,8166
NWFL,2017-07-05,40.4995,41.2469,False,40.4995,41.1305,reg,6528
NWFL,2017-07-06,40.4995,40.7713,False,40.3442,40.3442,reg,3099
NWFL,2017-07-07,40.7131,40.7713,False,40.5385,40.7047,reg,5076
NWFL,2017-07-10,40.7228,41.0043,False,40.6401,41.0043,reg,8297
NWFL,2017-07-11,40.9946,41.0043,False,40.7034,40.7034,reg,11562
NWFL,2017-07-12,41.3174,41.3174,False,41.0143,41.1782,reg,4743
NWFL,2017-07-13,41.0337,41.1902,False,40.9164,41.1902,reg,3227
NWFL,2017-07-14,40.9359,41.5424,False,40.9066,41.0240,reg,9668
NWFL,2017-07-17,41.1902,41.1902,False,40.3979,40.3979,reg,11017
NWFL,2017-07-18,41.5228,41.5228,False,40.6131,40.6131,reg,8376
NWFL,2017-07-19,41.5717,41.5717,False,41.0240,41.0240,reg,5209
NWFL,2017-07-20,41.8163,41.8163,False,40.5936,40.5936,reg,12619
NWFL,2017-07-21,42.0999,42.4325,False,41.0826,42.4325,reg,18377
NWFL,2017-07-24,42.5010,42.7357,False,42.1488,42.1488,reg,14570
NWFL,2017-07-25,42.9803,43.0390,False,41.9141,42.5499,reg,26070
NWFL,2017-07-26,42.9803,43.4009,False,42.5499,42.9118,reg,2210
NWFL,2017-07-27,43.0096,43.0390,False,42.3053,43.0390,reg,8432
NWFL,2017-07-28,41.9239,42.8629,False,41.5815,42.8629,reg,5326
NWFL,2017-07-31,41.9043,42.0510,False,41.5815,42.0510,reg,4923
NWFL,2017-08-01,41.8065,42.0510,False,41.5789,42.0510,reg,5789
NWFL,2017-08-02,41.6500,41.9043,False,41.6500,41.9043,reg,2724
NWFL,2017-08-03,41.6598,41.7771,False,41.1582,41.1582,reg,3303
NWFL,2017-08-04,41.2489,41.3761,False,41.0435,41.3761,reg,1875
NWFL,2017-08-07,41.5619,41.5619,False,41.2138,41.2685,reg,5081
NWFL,2017-08-08,40.3979,41.4543,False,40.3979,41.4543,reg,7687
NWFL,2017-08-09,40.0654,40.6914,False,39.9135,40.6425,reg,5731
NWFL,2017-08-10,39.7230,40.1045,False,39.7133,40.1045,reg,2205
NWFL,2017-08-11,39.1948,39.8697,False,39.0970,39.8599,reg,5996
NWFL,2017-08-14,41.9728,41.9728,False,39.3611,39.3709,reg,11916
NWFL,2017-08-15,42.5499,42.9411,False,42.2075,42.2858,reg,6169
NWFL,2017-08-16,42.8629,42.8629,False,42.3935,42.4423,reg,5018
NWFL,2017-08-17,42.5597,43.2737,False,42.3053,42.6575,reg,10570
NWFL,2017-08-18,43.0390,43.2248,False,42.2662,42.2662,reg,10814
NWFL,2017-08-21,43.2248,43.2737,False,42.6281,42.8188,reg,4966
NWFL,2017-08-22,43.1661,43.2737,False,42.9411,43.2737,reg,8492
NWFL,2017-08-23,43.1466,43.2150,False,43.0194,43.2150,reg,1601
NWFL,2017-08-24,43.1955,43.2737,False,43.1561,43.2346,reg,2177
NWFL,2017-08-25,43.3128,43.3226,False,42.9998,42.9998,reg,2914
NWFL,2017-08-28,43.0977,43.2835,False,43.0390,43.2835,reg,6959
NWFL,2017-08-29,42.9901,43.1955,False,42.6966,42.9705,reg,6828
NWFL,2017-08-30,43.1368,43.2101,False,42.8238,42.8238,reg,6944
NWFL,2017-08-31,43.0781,43.2444,False,43.0390,43.0390,reg,23916
NWFL,2017-09-01,42.8433,43.0781,False,42.1195,43.0781,reg,17240
NWFL,2017-09-05,39.3807,42.6770,False,38.3536,41.8896,reg,15961
NWFL,2017-09-06,40.1534,40.2512,False,38.5590,39.5372,reg,11252
NWFL,2017-09-07,41.5619,41.8652,False,40.3490,40.3490,reg,3150
