date,open,high,low,close,volume
2018-01-02,9.63,10.0,9.63,10.0,6766
2018-01-03,10.0,10.17,10.0,10.17,1070
2018-01-04,10.09,10.45,10.09,10.3597,2049
2018-01-05,10.0982,10.0982,10.0982,10.0982,543
2018-01-08,9.85,10.49,9.85,10.49,4432
2018-01-09,,,,10.49,1
2018-01-10,10.5,10.5,10.4999,10.5,700
2018-01-11,10.55,10.6122,10.51,10.55,4000
2018-01-12,10.65,10.7,10.65,10.69,2160
2018-01-16,10.02,10.02,10.02,10.02,150
2018-01-17,,,,10.02,109
2018-01-18,,,,10.02,29
2018-01-19,10.65,11.0076,10.65,10.77,1000
2018-01-23,,,,10.77,20
2018-01-24,10.3949,10.3949,10.3455,10.3455,800
2018-01-30,10.2,10.2,10.2,10.2,2576
2018-02-01,10.21,10.23,10.2,10.23,2222
2018-02-07,,,,10.23,1
2018-02-08,9.21,9.21,9.21,9.21,1000
2018-02-12,9.0,9.9,9.0,9.9,200
2018-02-22,9.79,9.85,9.79,9.85,5400
2018-02-27,10.0,10.0,10.0,10.0,500
2018-03-01,9.95,10.0,9.95,10.0,2500
2018-03-05,8.0,10.4999,8.0,10.0201,3604
2018-03-06,10.5,10.5,10.5,10.5,202
2018-03-07,10.49,10.51,10.02,10.45,7248
2018-03-08,10.6,10.6,10.6,10.6,400
2018-03-09,10.75,10.75,10.75,10.75,1300
2018-03-12,,,,10.75,7
2018-03-14,,,,10.75,1
2018-03-16,10.8,13.0,10.8,13.0,1828
2018-03-19,,,,13.0,7
2018-03-20,13.0,13.0,10.84,10.84,1900
2018-03-21,10.71,10.71,10.71,10.71,132
2018-03-22,10.76,10.76,10.76,10.76,102
2018-03-23,,,,10.76,5
2018-03-26,11.1,11.1,11.1,11.1,415
2018-03-27,,,,11.1,2
2018-03-28,,,,11.1,49
2018-03-29,11.05,11.05,11.05,11.05,104
2018-04-02,9.95,11.09,8.96,11.09,836
2018-04-03,11.1,11.1,11.1,11.1,278
2018-04-05,11.5,11.5,11.5,11.5,301
2018-04-06,,,,11.5,2
2018-04-10,10.35,11.5,10.35,11.09,1544
2018-04-17,,,,11.09,17
2018-04-18,11.5,11.5,11.5,11.5,333
2018-04-25,10.62,10.62,10.62,10.62,159
2018-04-26,11.75,11.75,11.75,11.75,100
2018-04-27,12.0,12.0,12.0,12.0,400
2018-05-04,10.35,10.35,10.35,10.35,203
2018-05-07,,,,10.35,26
2018-05-16,,,,10.35,3
